FEDERAL ELECTION YEAR,TOTAL ELECTORATE,TOTAL NUMBER OF SEATS,NUMBER OF UNCONTESTED CONSTITUENCIES,TURNOUT (%),LOWEST TURNOUT (%),LOWEST TURNOUT CONSTITUENCY,HIGHEST TURNOUT (%),HIGHEST TURNOUT CONSTITUENCY,REJECTED VOTES (%),LOWEST REJECTED VOTES (%),LOWEST REJECTED VOTES CONSTITUENCY,HIGHEST REJECTED VOTES (%),HIGHEST REJECTED VOTES CONSTITUENCY,THINNEST WINNING MAJORITY,THINNEST WINNING MAJORITY CONSTITUENCY,WIDEST WINNING MAJORITY,WIDEST WINNING MAJORITY CONSTITUENCY
1955,1268248,52,1,82.84,52.65,GEORGE TOWN,89.31,NEGRI SEMBILAN UTARA,2.5,0.6,KUALA LUMPUR BARAT,10,IPOH AND MENGLEMBU,450,KRIAN,29646,KEDAH TENGAH
1959,2177755,104,3,73.34,63.99,LARUT SELATAN,83.4,SEGAMAT UTARA,1.11,0.36,ULU KELANTAN,5.6,BRUAS,163,BAGAN,12287,MUAR SELATAN
1964,2763077,104,2,78.92,65.7,BUKIT BINTANG,85.88,SEGAMAT UTARA,4.15,1.65,BANDAR MALACCA,10.82,BATU PAHAT DALAM,136,BESUT,14169,BATU PAHAT DALAM
1969,3843182,144,20,73.59,57.23,SETAPAK,89.76,BAU - LUNDU,5.32,1.5,KANOWIT,28,MIRI - SUBIS,35,TANJONG MALIM,27402,BUNGSAR
1974,4013012,154,47,75.1,59.19,DAMANSARA,87.56,NIBONG TEBAL,4.52,0.83,SETAPAK,12.43,SETAPAK,63,KAPIT,18250,SUNGAI PETANI
1978,5059702,154,9,71.09,47.97,MARUDU,82.54,PADANG TERAP,3.43,0.54,TANAH MERAH,10.63,PARIT BUNTAR,44,BANDAU,33687,SUNGAI BESI
1982,6080628,154,12,74.39,47.07,MUKAH,84.18,TANAH MERAH,3.04,0.75,SIBU,7.08,MUKAH,81,SARIKEI,30909,SELAYANG
1986,6964960,177,6,70,42.99,SILAM,84.07,HULU TERENGGANU,2.66,0.33,GAYA,11.62,BATU PAHAT,153,RAJANG,31472,SELAYANG
1990,7958640,180,2,73,40.08,KINABATANGAN,86.79,HULU TERENGGANU,2.74,0.34,BATU,9.47,PENAMPANG,77,SEREMBAN,31142,SELAYANG
1995,9012481,192,11,68.27,50.09,BARAM,84.5,HULU TERENGGANU,3.19,0.5,CHERAS,14.54,GUA MUSANG,114,MARUDU,40715,SHAH ALAM
1999,9590274,193,1,71.76,42.75,BARAM,83.69,KUALA NERUS,2.08,0.46,TANJONG ARU,4.68,MENTEKAB,104,BUKIT BENDERA,35485,TEBRAU
2004,10284571,219,17,72.95,47.21,BARAM,91.79,PUTRAJAYA,2.29,0,"SEKIJANG, SRI GADING",6.64,CAMERON HIGHLANDS,50,PENDANG,46792,JOHOR BAHRU
2008,10922140,222,8,75.98,49.65,BARAM,87.54,HULU TERENGGANU,2.17,0.3,SEPUTEH,7.21,CAMERON HIGHLANDS,51,SARIKEI,36492,SEPUTEH
2013,13268002,222,0,84.6,63.96,BARAM,91.6,PUTRAJAYA,1.53,0.42,SEPUTEH,3.85,CAMERON HIGHLANDS,194,BARAM,51552,SEPUTEH
2018,14940624,222,0,82.32,60.29,KAPIT,91.12,PUTRAJAYA,1.33,0.39,BANDAR KUCHING,3.85,BELURAN,45,KENINGAU,106903,DAMANSARA
2022,21173638,222,0,74.7,47.93,LIMBANG,86.21,PUTRAJAYA,1.01,0.37,KEPONG,2.48,CAMERON HIGHLANDS,100,LUBOK ANTU,124619,DAMANSARA
