UNIQUE CODE,STATE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED BALLOTS,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLIANCE CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE NAME,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE NAME,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE NAME,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE NAME,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE NAME,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE NAME,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
,JOHORE,JOHORE BAHRU CENTRAL,ALLIANCE - UMNO,,6224,,75,4668,,93,4575,UMNO,SULEIMAN BIN ABDUL RAHMAN,MALE,,3749,,NEGARA,MOKHTAR BIN ZAM ZAM,MALE,,826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JOHORE,JOHORE BAHRU COASTAL,ALLIANCE - UMNO,,6039,,81.85,4943,,238,4705,UMNO,HAJI MOHAMED AMIN BIN AMRAN,MALE,,3995,,NEGARA,HAJI ANWAR BIN HAJI ABDUL MALEK,MALE,,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JOHORE,JOHORE BAHRU INLAND,ALLIANCE - MCA,,1612,,72.33,1166,,43,1123,MCA,YAP KIM HOCK,MALE,,1022,,NEGARA,HAJI ARSHAD BIN AWANG,MALE,,101,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JOHORE,KOTA TINGGI,ALLIANCE - UMNO,Y,,,,,,,,UMNO,INCHE MOHAMED YASIN BIN ABDUL RAHMAN,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JOHORE,BATU PAHAT CENTRAL,ALLIANCE - UMNO,,11083,,85.01,9422,,194,9228,UMNO,CHELVASINGAM-MACINTYRE,MALE,,8623,,,,,,,,,,,,,,INDEPENDENT - PERAMBULATOR,FRANK TAN AH MONG,MALE,,605,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
,JOHORE,BATU PAHAT COASTAL,ALLIANCE - UMNO,Y,,,,,,,,UMNO,TUAN HAJI TAHA BIN HAJI ZAKARIA,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JOHORE,BATU PAHAT INLAND,ALLIANCE - MCA,,12009,,83.35,10009,,200,9809,MCA,TAN SUAN KOK,MALE,,9256,,,,,,,,,,,,,,INDEPENDENT - TABLE,UNGKU ABDUL MAJID BIN ALI,MALE,,553,LOST DEPOSIT,INDEPENDENT - BANANA,HARON BIN SAMAN,MALE,,1001,LOST DEPOSIT,,,,,,,,,,,,
,JOHORE,PONTIAN,ALLIANCE - UMNO,Y,,,,,,,,UMNO,PENGHULU ABDULLAH BIN MOHSIN,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JOHORE,MUAR CENTRAL,ALLIANCE - MCA,,10942,,82.91,9072,,177,8895,MCA,CHAN SHI SHI,MALE,,7559,,NEGARA,DATO OTHMAN BIN BUJANG,MALE,,1336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JOHORE,MUAR COASTAL,ALLIANCE - UMNO,,19501,,92.39,18016,,541,17475,UMNO,SULEIMAN BIN NINAM SHAH,MALE,,15450,,NEGARA,OMAR BIN DATO AHMAD,MALE,,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JOHORE,MUAR INLAND,ALLIANCE - UMNO,,13897,,90.64,12596,,339,12257,UMNO,HJ HASSAN BIN HAJI YUNOS,MALE,47,9959,,NEGARA,DATO MAHMUD BIN MOHD. SHAH,MALE,,2298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JOHORE,TANGKAK,ALLIANCE - MCA,,11437,,91.55,10471,,278,10193,MCA,CHUA SONG LIM,MALE,,8828,,NEGARA,OTHMAN BIN ABDULLAH,MALE,,394,LOST DEPOSIT,,,,,,,INDEPENDENT - TORCHLIGHT,ARUL CHINASAMY JOHN,MALE,,971,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
,JOHORE,SEGAMAT NORTH,ALLIANCE - UMNO,,9788,,88.54,8666,,206,8460,UMNO,HAJI MOHAMED NOAH BIN OMAR,MALE,,7210,,NEGARA,HAJI AHMAD BIN DAHLAN,MALE,,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JOHORE,SEGAMAT SOUTH,ALLIANCE - MCA,,5291,,84.99,4497,,170,4327,MCA,CHIA CHIN KOON,MALE,,3094,,NEGARA,PONNIAH S/O KURUNATHAR,MALE,,1233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JOHORE,KLUANG,ALLIANCE - UMNO,Y,,,,,,,,UMNO,INCHE SARDON BIN HAJI JUBIR,MALE,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,JOHORE,MERSING,ALLIANCE - UMNO,Y,,,,,,,,UMNO,INCHE ABDUL GHANI BIN ALIAS,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
