UNIQUE CODE,STATE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLIANCE CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE NAME,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE NAME,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE NAME,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE NAME,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE NAME,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE NAME,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT,
A.,TRENGGANU,KUALA BESUT,ALLIANCE - UMNO,,5457,2778,100,5457,,179,5278,UMNO,"CHE' ABUL AZIZ BIN HUSSAIN, J.P",MALE,,3876,,NEGARA,WAN ALI BIN JUSOH,MALE,,1098,,,,,,,,INDEPENDENT - CUP,"TENGKU LELA SEGARA, J.P.",MALE,,304,,,,,,,,,,,,,,,,,,,,
B.,TRENGGANU,ULU BESUT,ALLIANCE - UMNO,Y,,,,,,,,UMNO,CHE ZAINAL ABIDIN BIN MOHD. AMIN,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,TRENGGANU,SETIU,ALLIANCE - UMNO,,6876,4373,74.77,5141,,401,4740,UMNO,CHE ISMAIL BIN YUSOF,MALE,,4501,,NEGARA,CHE MOHAMED SALLEH BIN AHMAD,MALE,,128,,,,,,,,INDEPENDENT - HOE,CHE YUSOF BIN IDRIS,MALE,,111,,,,,,,,,,,,,,,,,,,,
D.,TRENGGANU,BANDAR KUALA TRENGGANU,ALLIANCE - UMNO,,2981,837,99.53,2967,,60,2907,UMNO,MAIDIN BIN MOHAMED IBRAHIM,MALE,,1872,,NEGARA,SULAIMAN BIN ALI,MALE,32,1035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.,TRENGGANU,LADANG,ALLIANCE - UMNO,,3374,31,95.97,3238,,183,3055,UMNO,CHE MUDA ABDULLAH,MALE,,1543,,NEGARA,MOHD. ALI BIN HAJI AWANG OMAR,MALE,,1512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.,TRENGGANU,BUKIT BESAR,ALLIANCE - UMNO,,4833,3159,100,4833,,176,4657,UMNO,WAN IBRAHIM BIN ALI,MALE,,3908,,NEGARA,CHE AWANG IBRAHIM BIN MOHAMED,MALE,,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G.,TRENGGANU,KUALA TRENGGANU UTARA,ALLIANCE - UMNO,,10826,6017,86.31,9344,,255,9089,UMNO,CHE IBRAHIM FIKRI BIN MUHAMMAD,MALE,,7553,,NEGARA,HAJI ABAS BIN HAJI MUHAMMAD,MALE,,1536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H.,TRENGGANU,KUALA TRENGGANU BARAT,ALLIANCE - UMNO,,9304,4926,62.27,5794,,98,5696,UMNO,MOHAMED SAID BIN ABDULLAH,MALE,,5311,,NEGARA,MOHAMED TAIB BIN HAJI ISMAIL,MALE,,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.,TRENGGANU,KUALA TRENGGANU TENGAH,ALLIANCE - UMNO,,3614,2729,99.7,3603,,110,3493,UMNO,CHE NGAH BIN HAJI ISMAIL,MALE,,3111,,NEGARA,WAN DAUD BIN HAJI WAN MAHMUD,MALE,,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.,TRENGGANU,KUALA TRENGGANU SELATAN,ALLIANCE - UMNO,,4841,3519,100,4841,,496,4345,UMNO,CHE ABDULLAH BIN ABDUL RAHMAN,MALE,,3932,,,,,,,,,,,,,,INDEPENDENT - BOTTLE,HAJI ALI BIN OMAR (DATO' BENTARA MUDA),MALE,,413,,,,,,,,,,,,,,,,,,,,
