UNIQUE CODE,STATE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLIANCE CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE NAME,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE NAME,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE NAME,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE NAME,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE NAME,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE NAME,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
1st,KEDAH,KUBANG PASU BARAT,ALLIANCE - UMNO,Y,,,,,,,,UMNO,IBRAHIM BIN SALLEH,MALE,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2nd,KEDAH,JITRA-PADANG TERAP,ALLIANCE - UMNO,Y,,,,,,,,UMNO,HAJI OMAR BIN HAJI SALLEH,MALE,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3rd,KEDAH,ALOR STAR-LANGKAWI,ALLIANCE - MCA,Y,,,,,,,,MCA,"DR. CHEAH TOON LOK, J. P.",MALE,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4th,KEDAH,KOTA STAR BARAT LAUT,ALLIANCE - UMNO,Y,,,,,,,,UMNO,HAJI ISMAIL BIN IBRAHIM,MALE,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5th,KEDAH,KOTA STAR TIMOR PADANG,ALLIANCE - UMNO,Y,,,,,,,,UMNO,ARSHAD BIN ISMAIL,MALE,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6th,KEDAH,KOTA STAR SELATAN,ALLIANCE - MCA,Y,,,,,,,,MCA,LIM JOO KONG,MALE,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7th,KEDAH,JERAI,ALLIANCE - UMNO,Y,,,,,,,,UMNO,HAJI HUSSAIN BIN HAJI CHE DOL,MALE,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8th,KEDAH,SIK-GURUN-KOTA,ALLIANCE - UMNO,Y,,,,,,,,UMNO,NORMAH BINTI KAMARUDDIN,FEMALE,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9th,KEDAH,SUNGEI PATANI,ALLIANCE - MCA,Y,,,,,,,,MCA,LOW CHIN SEANG,MALE,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10th,KEDAH,BALING,ALLIANCE - UMNO,Y,,,,,,,,UMNO,AZHARI BIN MD. TAIB,MALE,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11th,KEDAH,KULIM UTARA,ALLIANCE - UMNO,Y,,,,,,,,UMNO,BIBI AISHAH BINTI HAMID DON,FEMALE,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12th,KEDAH,KULIM-BANDAR BAHARU,ALLIANCE - UMNO,Y,,,,,,,,UMNO,ZAINUDDIN BIN HAJI DIN,MALE,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
