UNIQUE CODE,STATE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLIANCE CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE NAME,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE NAME,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE NAME,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT
,KELANTAN,BACHOK UTARA,ALLIANCE - UMNO,,13046,5417,63.09,8231,,158,8073,UMNO,ISMAIL BIN HAJI IBRAHIM,MALE,,6745,N/A,,,,,,,,,,,,,INDEPENDENT - CUP,HAJI OSMAN BIN HAJI ISMAIL,MALE,,1328,N/A
,KELANTAN,BACHOK SELATAN,ALLIANCE - UMNO,,10190,5301,66.09,6735,,106,6629,UMNO,AZAHARI BIN ABDUL RAHMAN,MALE,,5965,N/A,,,,,,,,,,,,,INDEPENDENT - FLAG,NIK MUSTAPHA FATHIL BIN HAJI NIK MAHMOOD (DATO' SRI AMAR D'RAJA),MALE,,664,N/A
,KELANTAN,PASIR MAS UTARA,ALLIANCE - UMNO,,11975,4016,60.58,7254,,48,7206,UMNO,CHE OMAR BIN HAJI ALI,MALE,,5611,N/A,,,,,,,,,,,,,INDEPENDENT - KITE,HAJI AWANG BIN HAJI ABDUL SAMAD,MALE,,1595,N/A
,KELANTAN,PASIR MAS TENGAH,ALLIANCE - UMNO,,11982,2130,64.33,7708,,102,7606,UMNO,CHE ABDUL RAHMAN BIN HAJI DAUD,MALE,,4868,N/A,PMIP,CHE ABDULLAH BIN AHMAD,MALE,,2738,N/A,,,,,,,,,,,,
,KELANTAN,BANDAR KOTA BHARU,ALLIANCE - UMNO,,9061,4233,50.59,4584,,41,4543,UMNO,DR. ABDUL AZIZ BIN OMAR,MALE,,4388,N/A,,,,,,,,,,,,,INDEPENDENT - KEY,LEE KENG CHUAN,MALE,,155,N/A
,KELANTAN,KOTA BHARU SELATAN,ALLIANCE - MCA,,16737,6110,60.2,10076,,130,9946,MCA,WONG YEOW WYE,MALE,,8028,N/A,,,,,,,,,,,,,INDEPENDENT - ANCHOR,ABDUL HAMID BIN HAJI YA'ACOB,MALE,,1918,N/A
,KELANTAN,MACHANG,ALLIANCE - UMNO,,16500,6636,76.08,12554,,108,12446,UMNO,HAJI TUAN YA'ACOB BIN ENGKU YUNUS,MALE,,8838,N/A,PMIP,HAJI MOHD. NOOR BIN HAJI YUSOFF,MALE,,2202,N/A,NEGARA,HAJI ABDUL MAJID BIN HAJI NOH,MALE,,1406,N/A,,,,,,
,KELANTAN,ULU KELANTAN,ALLIANCE - UMNO,,10210,4935,70.37,7185,,75,7110,UMNO,MOHAMED ALI BIN ABDULLAH,MALE,,5908,N/A,PMIP,CHE OTHMAN BIN MINAL,MALE,,229,N/A,,,,,,,INDEPENDENT - ELEPHANT,HAJI MOHD. YUSUF BANGS,MALE,,973,N/A
,KELANTAN,PASIR MAS SELATAN,ALLIANCE - UMNO,Y,,,,,,,,UMNO,YA'ACOB BIN AWANG,MALE,,,,,,,,,,,,,,,,,,,,,
,KELANTAN,TUMPAT UTARA,ALLIANCE - UMNO,Y,,,,,,,,UMNO,BASIR BIN RASHID,MALE,,,,,,,,,,,,,,,,,,,,,
,KELANTAN,TUMPAT SELATAN,ALLIANCE - UMNO,Y,,,,,,,,UMNO,OTHMAN BIN MOHAMMAD UDIN,MALE,,,,,,,,,,,,,,,,,,,,,
,KELANTAN,KOTA BHARU UTARA,ALLIANCE - UMNO,Y,,,,,,,,UMNO,HASSAN BIN HAJI YA'ACOB,MALE,,,,,,,,,,,,,,,,,,,,,
,KELANTAN,KOTA BHARU TENGAH,ALLIANCE - UMNO,Y,,,,,,,,UMNO,NIK MOHAMED AMIN BIN ALI,MALE,,,,,,,,,,,,,,,,,,,,,
,KELANTAN,PASIR PUTEH UTARA,ALLIANCE - UMNO,Y,,,,,,,,UMNO,MOHAMED BIN IDRIS,MALE,,,,,,,,,,,,,,,,,,,,,
,KELANTAN,PASIR PUTEH SELATAN,ALLIANCE - UMNO,Y,,,,,,,,UMNO,HAJI ABDUL RAHMAN BIN HAJI YUSOFF,MALE,,,,,,,,,,,,,,,,,,,,,
,KELANTAN,TANAH MERAH,ALLIANCE - UMNO,Y,,,,,,,,UMNO,CHE ABDUL GHANI BIN MOHAMED,MALE,,,,,,,,,,,,,,,,,,,,,
