UNIQUE CODE,STATE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED BALLOTS,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLIANCE CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE NAME,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE NAME,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE NAME,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE NAME,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE NAME,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE NAME,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
,NEGRI SEMBILAN,SEREMBAN TIMUR,ALLIANCE - UMNO,Y,,,,,,,,UMNO,DATO' MOHD. HANIFAH BIN HJ. A. GHANI,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NEGRI SEMBILAN,SEREMBAN BARAT,ALLIANCE - UMNO,Y,,,,,,,,UMNO,AHMAD BIN HJ. OMAR,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NEGRI SEMBILAN,LUKUT,ALLIANCE - MIC,Y,,,,,,,,MIC,BUDH KAHER SINGH,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NEGRI SEMBILAN,LINGGI,ALLIANCE - UMNO,Y,,,,,,,,UMNO,DR. MOHD. SAID BIN MOHAMED,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NEGRI SEMBILAN,TAMPIN,ALLIANCE - UMNO,Y,,,,,,,,UMNO,ABDUL WAHAB BIN IDUS,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NEGRI SEMBILAN,JELEBU,ALLIANCE - UMNO,Y,,,,,,,,UMNO,IBRAHIM BIN HJ. MANSUR,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NEGRI SEMBILAN,PILAH TENGAH,ALLIANCE - MCA,Y,,,,,,,,MCA,LEE TEE SIONG,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NEGRI SEMBILAN,JOHOL,ALLIANCE - UMNO,Y,,,,,,,,UMNO,ABDUL SAMAD BIN IDRIS,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NEGRI SEMBILAN,JEMPOL,ALLIANCE - UMNO,Y,,,,,,,,UMNO,ARIFIN BIN ALI,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NEGRI SEMBILAN,SEREMBAN UTARA,ALLIANCE - UMNO,,2796,,75,2097,,17,2080,UMNO,ALIAS BIN RASUL,MALE,,1731,N/A,,,,,,,,,,,,,INDEPENDENT - SCISSORS,ISMAIL BIN TAMIN,MALE,,349,N/A,,,,,,,,,,,,,,,,,,
,NEGRI SEMBILAN,SEREMBAN TENGAH,ALLIANCE - MCA,,4861,,59.84,2909,,28,2881,MCA,CHIN SEE YIN,MALE,,2064,N/A,LABOUR,ROBERT SINGAM,MALE,,817,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NEGRI SEMBILAN,REMBAU,ALLIANCE - UMNO,,9551,,78.98,7543,,102,7441,UMNO,ABDUL HAMID BIN MAHMUD,MALE,,5162,N/A,NEGARA,ABD. HAMID BIN EDOK,MALE,,2279,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
