UNIQUE CODE,STATE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLIANCE CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE NAME,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE NAME,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE NAME,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE NAME,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE NAME,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
,PAHANG,CAMERON HIGHLANDS,ALLIANCE - UMNO,,733,89,55.53,407,,22,385,UMNO,WAN IBRAHIM BIN WAN TANJONG,MALE,,237,N/A,,,,,,,,,,,,,INDEPENDENT - WATER CAN,RAMLI BIN MOHAMAD SAID,MALE,,148,N/A,,,,,,,,,,,,
,PAHANG,LIPIS EAST,ALLIANCE - UMNO,,4729,2517,74.48,3522,,39,3483,UMNO,ABDULLAH BIN HAJI MOHAMAD AKIL,MALE,,3000,N/A,,,,,,,,,,,,,INDEPENDENT - TORCH,"HAJI HAMZAH BIN DAHAMAN, I.S.M.",MALE,,483,N/A,,,,,,,,,,,,
,PAHANG,TEMERLOH TENGAH,ALLIANCE - UMNO,,4225,1820,67.93,2870,,34,2836,UMNO,CHE YAHAYA BIN MOHAMED SEH,MALE,,2328,N/A,PMIP,MOHAMAD LIKI BIN ISMAIL,MALE,,508,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,PAHANG,TEMERLOH UTARA,ALLIANCE - UMNO,,5384,1374,61.13,3291,,31,3260,UMNO,USTAZ MOHAMAD YUSOF BIN HAJI LONG,MALE,,2317,N/A,PMIP,LEBAI HASSAN,MALE,,943,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,PAHANG,TEMERLOH SELATAN,ALLIANCE - UMNO,,2192,727,66.83,1465,,16,1449,UMNO,CHE RAMLAH BINTI DAHALAN,FEMALE,,1088,N/A,PMIP,HAJI ARIFFIN BIN HAJI CHOT,MALE,,361,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,PAHANG,TEMERLOH TIMOR,ALLIANCE - UMNO,,4135,2151,70.57,2918,,59,2859,UMNO,SALEHUDDIN BIN AWANG PEKAN,MALE,,2505,N/A,PMIP,MOHAMAD DIN BIN SANDANG,MALE,,354,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,PAHANG,KUANTAN WEST AND SOUTH,ALLIANCE - UMNO,,3666,1845,68.85,2524,,21,2503,UMNO,ZAINUDDIN BIN HAJI AHMAD,MALE,,2174,N/A,,,,,,,,,,,,,INDEPENDENT - STEAMSHIP,ABDUL RAHMAN JOHAR BIN HITAM,MALE,,329,N/A,,,,,,,,,,,,
,PAHANG,PEKAN UTARA,ALLIANCE - UMNO,,8917,5717,73.75,6576,,77,6499,UMNO,AHMAD BIN OTHMAN @ HAJI AHMAD BIN OTHMAN,MALE,,6108,N/A,PMIP,SYED MOHAMAD BIN TUAN NGAH,MALE,,391,N/A,,,,,,,,,,,,,,,,,,,,,,,,
,PAHANG,PEKAN SELATAN,ALLIANCE - UMNO,,3557,1930,68.20,2426,,25,2401,UMNO,IBRAHIM BIN ARSHAD,MALE,,2128,N/A,PMIP,ABDUL MAJID BIN HUSSAIN,MALE,,198,N/A,,,,,,,INDEPENDENT - TORCHLIGHT,AHMAD BIN HAJI MUSTAFFA,MALE,,75,N/A,,,,,,,,,,,,
,PAHANG,KUALA LIPIS NORTH WEST,ALLIANCE - UMNO,Y,,,,,,,,UMNO,MOHD. NOR BIN SULAIMAN,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
