UNIQUE CODE,STATE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLIANCE CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE NAME,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE NAME,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE NAME,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE NAME,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE NAME,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE NAME,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
,PERAK,KRIAN EAST,ALLIANCE - UMNO,,12911,240,59.6,7695,,241,7454,UMNO,AHMAD BIN HAJI YUSOF,MALE,,3847,,,,,,,,PMIA,USTAZ OTHMAN BIN HAMZAH,MALE,,3607,,,,,,,,,,,,,,,,,,,,,,,,,
,PERAK,KRIAN WEST,PMIA,,14062,1190,72.59,10207,,243,9964,UMNO,HAJI SALLEH BIN HAJI ABDUL HAMID,MALE,,4387,,,,,,,,PMIA,MD. KAMIL BIN HAJI AHMAD,MALE,34,5577,,,,,,,,,,,,,,,,,,,,,,,,,
,PERAK,BATANG PADANG NORTH,ALLIANCE - MCA,Y,,,,,,,,MCA,KOK YOON SAN,FEMALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PERAK,BATANG PADANG SOUTH,ALLIANCE - UMNO,,7111,2764,63.63,4525,,43,4482,UMNO,MOHAMED SHAZILLI BIN HAJI TAJUDDIN,MALE,,3623,,NAP,MOHAMED SHAMSUDDIN BIN HAJI HAMZAH,MALE,,859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PERAK,TAIPING,ALLIANCE - MCA,Y,,,,,,,,MCA,LEE KIM LOON,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PERAK,SELAMA AND LARUT NORTH,ALLIANCE - UMNO,,15023,4951,74.78,11234,,200,11034,UMNO,HAJI HUSSEIN BIN HAJI YAACOB,MALE,,7369,,NAP,HAJI BAHAZIN BIN HAJI ALI AHMAD,MALE,,1247,LOST DEPOSIT,PURTOBOHAN,HAJI MOHD. YUNUS BIN HAJI MOHD. HASHIM,MALE,,2418,,,,,,,,,,,,,,,,,,,,,,,,,
,PERAK,LARUT SOUTH AND MATANG,ALLIANCE - UMNO,,12569,3074,48.29,6069,,123,5946,UMNO,MOHAMAD GHAZALI BIN JAWI,MALE,31,4183,,NAP,ABU BAKAR BIN MAD DAK,MALE,,654,LOST DEPOSIT,PMIA,USTAZ BAHARUDDIN BIN HAJI A. LATIF,MALE,,1109,,,,,,,,,,,,,,,,,,,,,,,,,
,PERAK,DINDINGS,ALLIANCE - UMNO,Y,,,,,,,,UMNO,HAJI ISHAK BIN HAJI MAHMUD,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PERAK,KUALA KANGSAR,ALLIANCE - UMNO,,17959,7066,67.6,12140,,130,12010,UMNO,KHALID ABAS BIN ADAM,MALE,,9129,,NAP,HAJI MUHAIYUDDIN BIN HAJI ABDUL RAHMAN,MALE,,818,LOST DEPOSIT,PURTOBOHAN,HASSAN BIN ALI,MALE,,2063,,,,,,,,,,,,,,,,,,,,,,,,,
,PERAK,UPPER PERAK,ALLIANCE - UMNO,Y,,,,,,,,UMNO,CHE AHMAD BIN SAID,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
