UNIQUE CODE,STATE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED BALLOTS,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLIANCE CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE NAME,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE NAME,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE NAME,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE NAME,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE NAME,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE NAME,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
,PENANG,TANJONG EAST,ALLIANCE - MCA,,10536,2975,60.77,6403,,146,6257,MCA,WONG LOH HUN @ LU PAGODA HARN,MALE,,4616,,NEGARA,M.A. ABDUL WAHAB S/O ABDUL RAHIM,MALE,,1641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PENANG,TANJONG WEST,ALLIANCE - UMNO,,6897,1947,50.96,3515,,102,3415,UMNO,ABDUL REHMAN MOHAMED ABU BAKAR,MALE,,2681,,NEGARA,M.S.A. ZACHARIAH,MALE,,734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PENANG,KELAWEI,ALLIANCE - MCA,,3274,900,68.72,2250,,80,2170,MCA,LIM CHONG EU,MALE,36,1535,,,,,,,,,,,,,,INDEPENDENT - BRIDGE,(MADAM) OEI SIOE NIO,FEMALE,,635,,,,,,,,,,,,,,,,,,,
,PENANG,JELUTONG,ALLIANCE - MIC,,9837,4310,60.8,5981,,143,5838,MIC,N.K. MENON,MALE,60,5074,,NEGARA,MOHAMED SHARIFF BIN WALI MOHAMED,MALE,,764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PENANG,WEST COAST,ALLIANCE - UMNO,,7451,2553,84.31,6282,,179,6103,UMNO,NYAK HASHIM BIN NYAK PUTEH,MALE,,4328,,,,,,,,,,,,,,INDEPENDENT - TIFFIN CARRIER,MOO CHEUNG FATT,MALE,,1775,,,,,,,,,,,,,,,,,,,
,PENANG,PROVINCE NORTH,ALLIANCE - UMNO,,19176,15294,87.97,16870,,382,16488,UMNO,HASHIM BIN AWANG,MALE,,15891,,PWL,IBRAHIM BIN DARUS @ BOAY KOK ENG,MALE,,597,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PENANG,PROVINCE SOUTH,ALLIANCE - UMNO,,4562,1255,87.48,3991,,203,3788,UMNO,HAJI SULAIMAN BIN HAJI AHMAD,MALE,,2076,,PWL,MOHAMED BIN HAJI ARSHAD,MALE,,214,LOST DEPOSIT,PL,LIM TEIK HOE,MALE,,821,,INDEPENDENT - SWING,DORAISAMY S/O NARAYANASAMY,MALE,,677,,,,,,,,,,,,,,,,,,,
,PENANG,BUKIT MERTAJAM,ALLIANCE - MCA,,7693,4108,79.28,6099,,88,6011,MCA,WONG POW NEE,MALE,44,4966,,PWL,NG CHYE GAIK (JOSEPH),MALE,,187,LOST DEPOSIT,,,,,,,INDEPENDENT - BICYCLE,MUTHUPALANIYAPPA YEGAPAN,MALE,,858,,,,,,,,,,,,,,,,,,,
,PENANG,BUTTERWORTH,ALLIANCE - MCA,,8088,1680,67.99,5499,,195,5304,MCA,WEE TIONG GHEE,MALE,,3492,,PWL,G.Y. OON,MALE,,1812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PENANG,BATU KAWAN,ALLIANCE - MIC,,4403,2226,83.13,3660,,256,3404,MIC,MARTIN LUTHER SAMUEL,MALE,,2815,,PWL,WILLIAMS DAVID,MALE,,589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
