STATE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE GENDER,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLIANCE CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE NAME,OTHER PARTY (1) CANDIDATE GENDER,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE NAME,OTHER PARTY (2) CANDIDATE GENDER,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE NAME,INDEPENDENT (1) CANDIDATE GENDER,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT
PENANG,TANJONG EAST,ALLIANCE - MCA,,,2975,60.78,6403,,146,6257,MCA,MR WONG LOH HUN,MALE,,4616,,NEGARA,INCHE M.A. ABDUL WAHAB,MALE,,1641,,,,,,,,,,,,,
PENANG,TANJONG WEST,ALLIANCE - UMNO,,,1947,50.99,3515,,100,3415,UMNO,MR A.M. ABU BAKAR,MALE,,2681,,NEGARA,MR M.S.A. ZACHARIAH,MALE,,734,,,,,,,,,,,,,
PENANG,KELAWEI,ALLIANCE - MCA,,,900,68.72,2250,,80,2170,MCA,DR. LIM CHONG EU,MALE,36,1535,,,,,,,,,,,,,,INDEPENDENT,MADAM OEI SIOE NIO,FEMALE,,635,
PENANG,JELUTONG,ALLIANCE - MIC,,,4310,60.6,5981,,143,5838,MIC,DR. N.K. MENON,MALE,,5074,,NEGARA,INCHE MD. SHARIFF BIN WALI MOHAMED,MALE,,764,,,,,,,,,,,,,
PENANG,WEST COAST,ALLIANCE - UMNO,,,2553,84.31,6282,,179,6103,UMNO,INCHE NYAK HASHIM BIN NYAK PUTEH,MALE,,4328,,,,,,,,,,,,,,INDEPENDENT,MR. MOO CHEUNG FATT,MALE,,1775,
PENANG,PROVINCE WELLESLEY NORTH,ALLIANCE - UMNO,,,15294,87.97,16870,,382,16488,UMNO,INCHE HASHIM BIN AWANG,MALE,,15891,,PWL,INCHE IBRAHIM BIN DARUS,MALE,,597,LOST DEPOSIT,,,,,,,,,,,,
PENANG,PROVINCE WELLESLEY SOUTH,ALLIANCE - UMNO,,,1255,87.4,3991,,203,3788,UMNO,HAJI SULAIMAN BIN HAJI AHMAD,MALE,,2076,,PWL,INCHE MOHAMED BIN HAJI ARSHAD,MALE,,214,LOST DEPOSIT,PL,MR LIM TEIK HOE,MALE,,821,,INDEPENDENT,MR. N. DORAISAMY,MALE,,677,
PENANG,BUKIT MERTAJAM,ALLIANCE - MCA,,,4108,78,6099,,88,6011,MCA,MR. WONG POW NEE,MALE,44,4966,,PWL,MR. NG CHYE GAIK,MALE,,187,LOST DEPOSIT,,,,,,,INDEPENDENT,DR. M.P.L. YEGAPPAN,MALE,,858,
PENANG,BUTTERWORTH,ALLIANCE - MCA,,,1680,67.9,5499,,195,5304,MCA,MR. WEE TIONG GHEE,MALE,,3492,,PWL,DR G.Y. OON,MALE,,1812,,,,,,,,,,,,,
PENANG,BATU KAWAN,ALLIANCE - MIC,,,2226,83.2,3660,,256,3404,MIC,MR M.L. SAMUEL,MALE,,2815,,PWL,WILLIAM DAVID,MALE,,589,,,,,,,,,,,,,
PENANG,NORTH COAST,ALLIANCE - MCA,Y,,,,,,,,MCA,MR. CHEAH SENG KHIM,MALE,,,,,,,,,,,,,,,,,,,,,
PENANG,EAST COAST,ALLIANCE - UMNO,Y,,,,,,,,UMNO,INCHE AZIZ IBRAHIM,MALE,,,,,,,,,,,,,,,,,,,,,
PENANG,SOUTH COAST,ALLIANCE - UMNO,Y,,,,,,,,UMNO,INCHE S.M. HUSSAIN,MALE,,,,,,,,,,,,,,,,,,,,,
PENANG,PROVINCE WELLESLEY CENTRAL,ALLIANCE - UMNO,Y,,,,,,,,UMNO,INCHE MD NOOR B. HAMZAH,MALE,,,,,,,,,,,,,,,,,,,,,
