UNIQUE CODE,STATE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLIANCE CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE NAME,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE NAME,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE NAME,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE NAME,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE NAME,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE NAME,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
,SELANGOR,KUALA SELANGOR,ALLIANCE - UMNO,Y,,,,,,,,UMNO,RAJA RASTAM SHAHROME BIN RAJA SAID TAUPHY,MALE,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SELANGOR,SELANGOR ULU,ALLIANCE - UMNO,Y,,,,,,,,UMNO,HAJI NORDIN BIN NAWI,MALE,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SELANGOR,KLANG SOUTH,ALLIANCE - MIC,Y,,,,,,,,MIC,V. MANICKAVASAGAM,MALE,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SELANGOR,KUALA LUMPUR TIMOR,ALLIANCE - MCA,Y,,,,,,,,MCA,Y. T. LEE,MALE,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SELANGOR,KUALA LUMPUR SELATAN,ALLIANCE - MCA,Y,,,,,,,,MCA,CHAN CHEE HONG,MALE,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SELANGOR,KUALA LUMPUR MUNICIPALITY EAST,ALLIANCE - UMNO,Y,,,,,,,,UMNO,ABDULLAH BIN HAJI MOHAMED YASSIN,MALE,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SELANGOR,KUALA LUMPUR MUNICIPALITY WEST,ALLIANCE - MIC,Y,,,,,,,,MIC,K. GURUPATHAM,MALE,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SELANGOR,KUALA LUMPUR MUNICIPALITY SOUTH,ALLIANCE - MCA,Y,,,,,,,,MCA,DOUGLAS K. LEE,MALE,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SELANGOR,ULU LANGAT,ALLIANCE - UMNO,Y,,,,,,,,UMNO,HAJI ZAKARIA BIN HAJI MOHAMED TAIB,MALE,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SELANGOR,KUALA LANGAT,ALLIANCE - UMNO,Y,,,,,,,,UMNO,SA'ADAN KHADRI BIN TAHRIM,MALE,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SELANGOR,KUALA LUMPUR BARAT,ALLIANCE - UMNO,,3122,1268,68.1,2126,,,2126,UMNO,RAJA MOHAMED BIN RAJA ALLANG,MALE,51,1697,N/A,LABOUR,HAJI ABDUL RAHMAN BIN HAJI AHMAD,MALE,39,429,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SELANGOR,KLANG NORTH,ALLIANCE - UMNO,,5172,2079,74.15,3835,,,3835,UMNO,MOHAMED SIDIN BIN IDRIS,MALE,33,2957,N/A,PMIP,HAJI ALIAS BIN HAJI ABDUL MANAN,MALE,46,878,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SELANGOR,SABAK BERNAM,ALLIANCE - UMNO,,11406,N/A,N/A,N/A,,,N/A,UMNO,HAJI MUSTAFFA BIN HAJI ABDUL JABBAR,MALE,32,N/A,N/A,PMIP,USTAZ ABDUL HAKIM HILMI,MALE,40,N/A,N/A,,,,,,,INDEPENDENT,HAJI ABDUL HAMID BIN HAJI MOHAMED,MALE,35,N/A,N/A,INDEPENDENT,M. RAMALINGGAM,MALE,35,N/A,N/A,,,,,,,,,,,,
