UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY SEAT,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE GENDER,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,PMIP,PMIP CANDIDATE,PMIP CANDIDATE GENDER,PMIP CANDIDATE AGE,PMIP VOTE,LABOUR,LABOUR CANDIDATE,LABOUR CANDIDATE GENDER,LABOUR CANDIDATE AGE,LABOUR CANDIDATE VOTE,NEGARA,NEGARA CANDIDATE,NEGARA CANDIDATE GENDER,NEGARA CANDIDATE AGE,NEGARA CANDIDATE VOTE,NAP,NAP CANDIDATE,NAP CANDIDATE GENDER,NAP CANDIDATE AGE,NAP CANDIDATE VOTE,PPP,PPP CANDIDATE,PPP CANDIDATE GENDER,PPP CANDIDATE AGE,PPP CANDIDATE VOTE,PML,PML CANDIDATE,PML CANDIDATE GENDER,PML CANDIDATE AGE,PML CANDIDATE VOTE,INDEPENDENT,INDEPENDENT CANDIDATE,INDEPENDENT CANDIDATE GENDER,INDEPENDENT CANDIDATE AGE,INDEPENDENT VOTE,INDEPENDENT,INDEPENDENT CANDIDATE,INDEPENDENT CANDIDATE GENDER,INDEPENDENT CANDIDATE AGE,INDEPENDENT VOTE
1,PULAU PINANG,,WELLESLEY NORTH,YES,28190,,,,,,,UMNO,HASHIM BIN AWANG,MALE,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,PULAU PINANG,,WELLESLEY SOUTH,,24320,12174,80.02%,19460,,240,19220,MCA,TAY HOOI SOO,MALE,N/A,15697,PMIP,HAJI ZABIDI BIN HAJI ALI,MALE,N/A,3523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PULAU PINANG,,GEORGE TOWN,,19935,4603,52.65%,10495,,163,10332,MCA,CHEE SWEE EE,MALE,53,7253,,,,,,LABOUR,OOI THIAM SIEW,MALE,41,2650,,,,,,,,,,,,,,,,,,,,,INDEPENDENT*,CHEAH PHEE AIK,MALE,40,429,,,,,
4,PULAU PINANG,,PENANG ISLAND,,27281,11940,66.48%,18136,,346,17790,UMNO,ZAINUL ABIDN BIN SULTAN MYDIN,MALE,57,14865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,MD. ISA BIN SULAIMAN,MALE,37,2925,,,,,
5,MELAKA,,MALACCA CENTRAL,,25511,13910,81.25%,20727,,429,20298,MCA,TAN SIEW SIN,MALE,39,17104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,ABDUL KARIM BIN BAKAR,MALE,33,3194,,,,,
6,MELAKA,,MALACCA LUAR,,34204,23969,88.17%,30158,,547,29611,UMNO,ABDUL GHAFFAR BIN BABA,MALE,30,26790,,,,,,,,,,,NEGARA*,JAAFAR BIN MOHD. TAN,MALE,29,2821,,,,,,,,,,,,,,,,,,,,,,,,,
7,PERAK,,KRIAN,,27239,450,78.22%,21306,,1071,20235,UMNO,HAJI SULAIMAN BIN HAJI AHMAD,MALE,30,8235,PMIP,HAJI AHMAD BIN HAJI HUSSAIN,MALE,50,8685,,,,,,,,,,,NAP,MOHAMED JAN BIN NGAH MOHAMED,MALE,55,3315,,,,,,,,,,,,,,,,,,,,
8,PERAK,,BATANG PADANG,,13677,7952,83.10%,11366,,212,11154,UMNO,ABDUL HAMID KHAN BIN HAJI SAKHAWAT ALI KHAN,MALE,54,9170,,,,,,,,,,,,,,,,NAP*,MOHAMED SHAMSHUDDIN BIN HAJI HAMZAH,MALE,53,1218,,,,,,PML*,ABDUL MAJID BIN ARIFFIN,MALE,41,766,,,,,,,,,,
9,PERAK,,LARUT AND MATANG,,30454,10954,81.73%,24891,,833,24058,MCA,DR. CHEAH KAY CHUAN,N/A,51,15407,,,,,,LABOUR*,DR. PURAN SINGH,MALE,46,761,,,,,,NAP,WAN ZARAZILLAH BIN WAN HAJI ISMAIL,MALE,56,3437,,,,,,PML,ABU BAKAR BIN SAID,MALE,47,4453,,,,,,,,,,
10,PERAK,,DINDINGS,,16512,8882,82.75%,13663,,326,13337,UMNO,HAJI MIOR ARIFF BIN MIOR ALWI,MALE,50,10511,PMIP*,ABDUL WAHAB BIN HAJI MD. NOOR,MALE,33,1197,,,,,,,,,,,NAP*,MOHD. YUNUS BIN MAHMOOD,MALE,42,1629,,,,,,,,,,,,,,,,,,,,
11,PERAK,,SUNGEI PERAK ULU,,28206,12186,84.82%,23924,,449,23475,UMNO,MOHAMED GHAZALI BIN JAWI,MALE,30,16781,,,,,,,,,,,,,,,,NAP*,SYED NORDIN WAFA,MALE,55,2099,,,,,,,,,,,INDEPENDENT,MAT JUDIN BIN HAJI AHMAD,MALE,39,4595,,,,,
12,PERAK,,SUNGEI PERAK HILIR,,25677,12689,89.20%,22904,,363,22541,UMNO,ABDUL AZIZ BIN HAJI MAT JABAR,MALE,46,17483,,,,,,,,,,,,,,,,NAP,MEOR AHMAD BIN MEOR YUSUF,MALE,38,4794,,,,,,,,,,,INDEPENDENT*,MOHD. DAHAM BIN KHATIB,MALE,38,264,,,,,
13,PERAK,,TELUK ANSON,,18131,6702,82.07%,14881,,555,14326,UMNO,BAHAMAN BIN SAMSUDIN,MALE,48,10514,PMIP,HAJI HASSAN ADLI BIN HAJI ARSHAD,MALE,26,3812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PERAK,,IPOH AND MENGLEMBU,,12948,6438,82.79%,10720,,1069,9651,MCA,LEONG YEW KOH,MALE,67,7421,,,,,,,,,,,,,,,,NAP*,LOH AH KEE,MALE,51,983,PPP*,D.R. SEENIVASAGAM,MALE,34,808,,,,,,INDEPENDENT*,W.E. BALASINGAM,MALE,36,439,,,,,
15,PERAK,,KINTA UTARA,,12304,6068,85.85%,10563,,260,10303,MIC,V.T. SAMBANTHAM,MALE,35,7900,,,,,,LABOUR*,K.R.R. CHOUDHARY,MALE,46,357,,,,,,NAP,CHIK MOHAMED YUSUF BIN SHEIK ABDUL RAHMAN,MALE,47,1832,,,,,,PML*,MOHAMED RAMLY BIN ABDULLAH,,,214,,,,,,,,,,
16,PERAK,,KINTA SELATAN,,16216,9922,87.31%,14158,,184,13974,MCA,TOO JOON HING,MALE,42,11611,,,,,,,,,,,,,,,,NAP*,MOHD. BAKI BIN HAJI DAUD,MALE,50,1689,PPP*,ZAHARIE BIN HASSAN,MALE,34,273,,,,,,INDEPENDENT*,MOHAMED IDRIS BIN HAKIM,,,401,,,,,
17,SELANGOR,,KUALA LUMPUR BARAT,,8862,3296,80.13%,7101,,45,7056,MCA,ONG YOKE LIN,MALE,37,4667,,,,,,LABOUR,TAN TUAN BOON,MALE,44,1018,NEGARA,ABDULLAH BIN IBRAHIM,MALE,46,1371,,,,,,,,,,,,,,,,,,,,,,,,,
18,SELANGOR,,KUALA LUMPUR TIMOR,,13184,4359,78.78%,10387,,163,10224,MCA,CHEAH EWE KEAT,MALE,52,6790,,,,,,,,,,,NEGARA,MOHD. SALLEH BIN HAKIM,MALE,49,2431,,,,,,,,,,,,,,,,INDEPENDENT*,ABDUL WAHAB BIN ABDUL MAJID,MALE,25,1003,,,,,
19,SELANGOR,,ULU SELANGOR,,7835,4270,85.78%,6721,,131,6590,UMNO,HALIMAHTHON BINTI ABDUL MAJID,FEMALE,36,5430,,,,,,,,,,,NEGARA,AB. RAHMAN BIN HAJI MAULANA,MALE,40,1160,,,,,,,,,,,,,,,,,,,,,,,,,
20,SELANGOR,,KUALA SELANGOR,,21410,7079,83.21%,17816,,425,17391,UMNO,RAJA RASTAN SHAHROME BIN RAJA SAID TAUPHY,MALE,47,11857,PMIP,OTHMAN BIN ABDULLAH,MALE,30,4778,,,,,,NEGARA*,MD. AMBIA BIN SANUSI,MALE,34,756,,,,,,,,,,,,,,,,,,,,,,,,,
