UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
1,PULAU PINANG (SETTLEMENT OF PENANG),,WELLESLEY NORTH,ALLIANCE - UMNO,HASHIM BIN AWANG,MALE,,YES
2,PULAU PINANG (SETTLEMENT OF PENANG),,WELLESLEY SOUTH,ALLIANCE - MCA,TAY HOOI SOO,MALE,58,
3,PULAU PINANG (SETTLEMENT OF PENANG),,GEORGE TOWN,ALLIANCE - MCA,CHEE SWEE EE,MALE,53,
4,PULAU PINANG (SETTLEMENT OF PENANG),,PENANG ISLAND,ALLIANCE - UMNO,ZAINUL ABIDN BIN SULTAN MYDIN,MALE,57,
5,MALACCA (SETTLEMENT OF MALACCA),,MALACCA CENTRAL,ALLIANCE - MCA,TAN SIEW SIN,MALE,39,
6,MALACCA (SETTLEMENT OF MALACCA),,MALACCA LUAR,ALLIANCE - UMNO,ABDUL GHAFFAR BIN BABA,MALE,30,
7,PERAK,,KRIAN,PMIP,HAJI AHMAD BIN HAJI HUSSAIN,MALE,55,
8,PERAK,,BATANG PADANG,ALLIANCE - UMNO,ABDUL HAMID KHAN BIN HAJI SAKHAWAT ALI KHAN,MALE,54,
9,PERAK,,LARUT AND MATANG,ALLIANCE - MCA,DR. CHEAH KAY CHUAN,MALE,51,
10,PERAK,,DINDINGS,ALLIANCE - UMNO,HAJI MIOR ARIFF BIN MIOR ALWI,MALE,50,
11,PERAK,,SUNGEI PERAK ULU,ALLIANCE - UMNO,MOHAMED GHAZALI BIN JAWI,MALE,30,
12,PERAK,,SUNGEI PERAK HILIR,ALLIANCE - UMNO,ABDUL AZIZ BIN HAJI MAT JABAR,MALE,46,
13,PERAK,,TELUK ANSON,ALLIANCE - UMNO,BAHAMAN BIN SAMSUDIN,MALE,48,
14,PERAK,,IPOH AND MENGLEMBU,ALLIANCE - MCA,LEONG YEW KOH,MALE,67,
15,PERAK,,KINTA UTARA,ALLIANCE - MIC,V.T. SAMBANTHAM,MALE,35,
16,PERAK,,KINTA SELATAN,ALLIANCE - MCA,TOO JOON HING,MALE,42,
17,SELANGOR,,KUALA LUMPUR BARAT,ALLIANCE - MCA,ONG YOKE LIN,MALE,37,
18,SELANGOR,,KUALA LUMPUR TIMOR,ALLIANCE - MCA,CHEAH EWE KEAT,MALE,53,
19,SELANGOR,,ULU SELANGOR,ALLIANCE - UMNO,HALIMAHTHON BINTI ABDUL MAJID,FEMALE,36,
20,SELANGOR,,KUALA SELANGOR,ALLIANCE - UMNO,RAJA RASTAN SHAHROME BIN RAJA SAID TAUPHY,MALE,48,
21,SELANGOR,,LANGAT,ALLIANCE - UMNO,ABU BAKAR BIN BAGINDA,MALE,56,
22,SELANGOR,,SELANGOR BARAT,ALLIANCE - UMNO,ABDUL AZIZ BIN ISHAK,MALE,41,
23,SELANGOR,,SELANGOR TENGAH,ALLIANCE - MCA,LEE ENG TEH,MALE,46,
24,NEGERI SEMBILAN,,NEGRI SEMBILAN UTARA,ALLIANCE - UMNO,MOHD. IDRIS BIN MAT SIL,MALE,42,
25,NEGERI SEMBILAN,,NEGRI SEMBILAN SELATAN,ALLIANCE - UMNO,ABDUL JALIL BIN HAJI AMINUDIN,MALE,52,
26,NEGERI SEMBILAN,,SEREMBAN,ALLIANCE - MCA,LEE KEE SIONG,MALE,48,
27,PAHANG,,ULU PAHANG,ALLIANCE - UMNO,MOHAMED SULONG BIN MOHAMED ALI,MALE,55,
28,PAHANG,,SEMANTAN,ALLIANCE - UMNO,DATO ABDUL RAZAK BIN HUSSAIN,MALE,33,
29,PAHANG,,PAHANG TIMOR,ALLIANCE - UMNO,ABDUL RAHMAN BIN HAJI TALIB,MALE,40,
30,JOHOR,,JOHORE TIMOR,ALLIANCE - UMNO,DR. ISMAIL BIN DATO ABDUL RAHMAN,MALE,40,
31,JOHOR,,JOHORE BAHRU,ALLIANCE - UMNO,SULEIMAN BIN DATO ADUL RAHMAN,MALE,43,
32,JOHOR,,JOHORE SELATAN,ALLIANCE - MCA,DR. L.H. TAN,MALE,,
33,JOHOR,,JOHORE TENGAH,ALLIANCE - MCA,TEO CHZE CHONG,MALE,41,
34,JOHOR,,BATU PAHAT,ALLIANCE - MIC,S. CHELVASINGAM MACINTYRE,MALE,52,
35,JOHOR,,MUAR SELATAN,ALLIANCE - MCA,TAN SUAN KOK,MALE,,
36,JOHOR,,MUAR UTARA,ALLIANCE - UMNO,HAJI HASSAN BIN HAJI YUNOS,MALE,,
37,JOHOR,,SEGAMAT,ALLIANCE - UMNO,SARDON BIN JUBIR,MALE,38,
38,KEDAH,,ALOR STAR,ALLIANCE - MCA,LEE THEAN HIN,MALE,50,
39,KEDAH,,KOTA STAR,ALLIANCE - UMNO,TUNKU KASSIM IBNI ALMARHUM SULTAN ABDUL HAMID,MALE,62,
40,KEDAH,,KEDAH UTARA,ALLIANCE - UMNO,SYED AHMAD BIN SYED MAHMUD SHAHABUDIN,MALE,30,
