UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY SEAT,UNCONTESTED VICTORY,TOTAL ELECTORATE,TOTAL BALLOTS ISSUED,NUMBER OF POSTAL BALLOT PAPERS DESPATCHED,NUMBER OF POSTAL BALLOT PAPERS RETURNED TO RETURNING OFFICERS
1,PULAU PINANG,,WELLESLEY NORTH,YES,28190,,N/A,N/A
2,PULAU PINANG,,WELLESLEY SOUTH,,24320,19460,512,461
3,PULAU PINANG,,GEORGE TOWN,,19935,10495,303,271
4,PULAU PINANG,,PENANG ISLAND,,27281,18136,454,405
5,MELAKA,,MALACCA CENTRAL,,25511,20727,537,425
6,MELAKA,,MALACCA LUAR,,34204,30158,1052,946
7,PERAK,,KRIAN,,27239,21306,345,309
8,PERAK,,BATANG PADANG,,13677,11366,341,314
9,PERAK,,LARUT AND MATANG,,30454,24891,595,518
10,PERAK,,DINDINGS,,16512,13663,213,203
11,PERAK,,SUNGEI PERAK ULU,,28206,23924,651,610
12,PERAK,,SUNGEI PERAK HILIR,,25677,22904,251,220
13,PERAK,,TELUK ANSON,,18131,14881,331,298
14,PERAK,,IPOH AND MENGLEMBU,,12948,10720,346,313
15,PERAK,,KINTA UTARA,,12304,10563,317,279
16,PERAK,,KINTA SELATAN,,16216,14158,345,324
17,SELANGOR,,KUALA LUMPUR BARAT,,8862,7101,434,385
18,SELANGOR,,KUALA LUMPUR TIMOR,,13184,10387,1066,977
19,SELANGOR,,ULU SELANGOR,,7835,6721,685,629
20,SELANGOR,,KUALA SELANGOR,,21410,17816,192,185
21,SELANGOR,,LANGAT,,10834,9471,837,756
22,SELANGOR,,SELANGOR BARAT,,13847,12043,467,437
23,SELANGOR,,SELANGOR TENGAH,,9465,8374,300,283
24,NEGERI SEMBILAN,,NEGRI SEMBILAN UTARA,,26502,23668,1567,1456
25,NEGERI SEMBILAN,,NEGRI SEMBILAN SELATAN,,18651,16015,941,883
26,NEGERI SEMBILAN,,SEREMBAN,,12979,10850,786,703
27,PAHANG,,ULU PAHANG,,22812,18437,1256,1148
28,PAHANG,,SEMANTAN,,19849,16373,1017,922
29,PAHANG,,PAHANG TIMOR,,22291,18536,532,430
30,JOHOR,,JOHORE TIMOR,,14155,11729,251,229
31,JOHOR,,JOHORE BAHRU,,15042,11675,568,500
32,JOHOR,,JOHORE SELATAN,,29090,24372,186,151
33,JOHOR,,JOHORE TENGAH,,11737,8419,953,878
34,JOHOR,,BATU PAHAT,,27323,21978,359,304
35,JOHOR,,MUAR SELATAN,,34321,28113,388,319
36,JOHOR,,MUAR UTARA,,29272,24029,421,350
37,JOHOR,,SEGAMAT,,17482,13919,524,472
38,KEDAH,,ALOR STAR,,35261,30162,553,512
39,KEDAH,,KOTA STAR,,34043,30149,244,212
40,KEDAH,,KEDAH UTARA,,33966,29144,316,284
41,KEDAH,,KEDAH TENGAH,,37176,33050,424,295
42,KEDAH,,SUNGEI MUDA,,27426,23924,399,365
43,KEDAH,,KEDAH SELATAN,,25917,22995,891,791
44,KELANTAN,,KELANTAN SELATAN,,39084,33657,684,615
45,KELANTAN,,KELANTAN TIMOR,,46221,39159,195,174
46,KELANTAN,,PASIR MAS,,34779,29449,171,126
47,KELANTAN,,KELANTAN UTARA,,42510,36060,336,289
48,KELANTAN,,KELANTAN TENGAH,,43149,34270,581,556
49,TERENGGANU,,TRENGGANU UTARA,,32482,26166,113,104
50,TERENGGANU,,TRENGGANU TENGAH,,33719,24851,345,318
51,TERENGGANU,,TRENGGANU SELATAN,,23831,19663,260,247
52,PERLIS,,PERLIS,,30936,27173,340,318
