UNIQUE CODE (1959),STATE (1959),PARLIAMENTARY CONSTITUENCY CODE (1959),PARLIAMENTARY CONSTITUENCY NAME (1959),STATE CONSTITUENCY CODE (1959),STATE CONSTITUENCY NAME (1959),AREA (SQ KM),NOTES
P.1_NO. 1,PENANG,P.1,BAGAN,NO. 1,BUTTERWORTH,7.63,Computed using Tindak Malaysia's electoral boundary files
P.1_NO. 2,PENANG,P.1,BAGAN,NO. 2,BAGAN AJAM,27.23,Computed using Tindak Malaysia's electoral boundary files
P.2_NO. 3,PENANG,P.2,SEBERANG UTARA,NO. 3,MUDA,80.24,Computed using Tindak Malaysia's electoral boundary files
P.2_NO. 4,PENANG,P.2,SEBERANG UTARA,NO. 4,KEPALA BATAS,48.02,Computed using Tindak Malaysia's electoral boundary files
P.2_NO. 5,PENANG,P.2,SEBERANG UTARA,NO. 5,TASEK GLUGOR,104.57,Computed using Tindak Malaysia's electoral boundary files
P.3_NO. 6,PENANG,P.3,SEBERANG TENGAH,NO. 6,PERMATANG PAUH,106.71,Computed using Tindak Malaysia's electoral boundary files
P.3_NO. 7,PENANG,P.3,SEBERANG TENGAH,NO. 7,BUKIT MERTAJAM,15.6,Computed using Tindak Malaysia's electoral boundary files
P.3_NO. 8,PENANG,P.3,SEBERANG TENGAH,NO. 8,ALMA,109.15,Computed using Tindak Malaysia's electoral boundary files
P.4_NO. 9,PENANG,P.4,SEBERANG SELATAN,NO. 9,SUNGEI BAKAP,156.88,Computed using Tindak Malaysia's electoral boundary files
P.4_NO. 10,PENANG,P.4,SEBERANG SELATAN,NO. 10,NIBONG TEBAL,83.55,Computed using Tindak Malaysia's electoral boundary files
P.5_NO. 11,PENANG,P.5,TANJONG,NO. 11,KOTA,0.87,Computed using Tindak Malaysia's electoral boundary files
P.5_NO. 12,PENANG,P.5,TANJONG,NO. 12,TANJONG TENGAH,0.56,Computed using Tindak Malaysia's electoral boundary files
P.5_NO. 13,PENANG,P.5,TANJONG,NO. 13,TANJONG UTARA,1.54,Computed using Tindak Malaysia's electoral boundary files
P.6_NO. 14,PENANG,P.6,DATO KRAMAT,NO. 14,TANJONG BARAT,0.95,Computed using Tindak Malaysia's electoral boundary files
P.6_NO. 15,PENANG,P.6,DATO KRAMAT,NO. 15,SUNGEI PINANG,1.86,Computed using Tindak Malaysia's electoral boundary files
P.6_NO. 16,PENANG,P.6,DATO KRAMAT,NO. 16,TANJONG SELATAN,0.54,Computed using Tindak Malaysia's electoral boundary files
P.7_NO. 17,PENANG,P.7,PENANG UTARA,NO. 17,KELAWAI,5.19,Computed using Tindak Malaysia's electoral boundary files
P.7_NO. 18,PENANG,P.7,PENANG UTARA,NO. 18,DHOBY GHAUT,8.5,Computed using Tindak Malaysia's electoral boundary files
P.7_NO. 19,PENANG,P.7,PENANG UTARA,NO. 19,TANJONG BUNGAH,87.11,Computed using Tindak Malaysia's electoral boundary files
P.7_NO. 20,PENANG,P.7,PENANG UTARA,NO. 20,AYER ITAM,34.97,Computed using Tindak Malaysia's electoral boundary files
P.8_NO. 21,PENANG,P.8,PENANG SELATAN,NO. 21,JELUTONG,3.8,Computed using Tindak Malaysia's electoral boundary files
P.8_NO. 22,PENANG,P.8,PENANG SELATAN,NO. 22,GLUGOR,40.38,Computed using Tindak Malaysia's electoral boundary files
P.8_NO. 23,PENANG,P.8,PENANG SELATAN,NO. 23,BALIK PULAU,47.37,Computed using Tindak Malaysia's electoral boundary files
P.8_NO. 24,PENANG,P.8,PENANG SELATAN,NO. 24,BAYAN LEPAS,58.04,Computed using Tindak Malaysia's electoral boundary files
P.9_NO. 1,MALACCA,P.9,BANDAR MALACCA,NO. 1,KOTA SELATAN,0.94,Computed using Tindak Malaysia's electoral boundary files
P.9_NO. 2,MALACCA,P.9,BANDAR MALACCA,NO. 2,KOTA TENGAH,2.46,Computed using Tindak Malaysia's electoral boundary files
P.9_NO. 3,MALACCA,P.9,BANDAR MALACCA,NO. 3,KOTA BARAT,5.69,Computed using Tindak Malaysia's electoral boundary files
P.9_NO. 4,MALACCA,P.9,BANDAR MALACCA,NO. 4,KOTA UTARA,4.28,Computed using Tindak Malaysia's electoral boundary files
P.9_NO. 5,MALACCA,P.9,BANDAR MALACCA,NO. 5,KOTA TIMOR,3.2,Computed using Tindak Malaysia's electoral boundary files
P.10_NO. 6,MALACCA,P.10,MALACCA TENGAH,NO. 6,TANJONG KLING,38.78,Computed using Tindak Malaysia's electoral boundary files
P.10_NO. 7,MALACCA,P.10,MALACCA TENGAH,NO. 7,BUKIT RAMBAI,27.45,Computed using Tindak Malaysia's electoral boundary files
P.10_NO. 8,MALACCA,P.10,MALACCA TENGAH,NO. 8,BATU BERENDAM,85.5,Computed using Tindak Malaysia's electoral boundary files
