UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,UNCONTESTED VICTORY,WINNING PARTY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLANCE CANDIDATE LOST DEPOSIT,SF,SF CANDIDATE,SF CANDIDATE SEX,SF CANDIDATE AGE,SF CANDIDATE VOTE,SF CANDIDATE LOST DEPOSIT,PMIP,PMIP CANDIDATE,PMIP CANDIDATE SEX,PMIP CANDIDATE AGE,PMIP VOTE,PMIP CANDIDATE LOST DEPOSIT,PPP,PPP CANDIDATE,PPP CANDIDATE SEX,PPP CANDIDATE AGE,PPP CANDIDATE VOTE,PPP CANDIDATE LOST DEPOSIT,OTHER PARTY,OTHER PARTY CANDIDATE,OTHER PARTY CANDIDATE SEX,OTHER PARTY CANDIDATE AGE,OTHER PARTY CANDIDATE VOTE,OTHER PARTY CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.75_NO. 1,KEDAH,P.75,ALOR STAR,NO. 1,ALOR STAR PEKAN,,ALLIANCE - MCA,12367,5789,69.60%,8607,,136,8471,MCA,DR. CHEAH TOON LOCK,MALE,62,6632,,LPM,NG HORE JIN,MALE,,843,LOST DEPOSIT,PMIP,JAIS ANNUAR,MALE,,559,LOST DEPOSIT,,,,,,,NEGARA,HAJI LADIN,MALE,,141,LOST DEPOSIT,INDEPENDENT,SHAIKH OSMAN,MALE,,296,LOST DEPOSIT,,,,,,
P.75_NO. 2,KEDAH,P.75,ALOR STAR,NO. 2,ALOR STAR LUAR,,ALLIANCE - MIC,13173,3584,68.66%,9044,,238,8806,MIC,K. NAIR,MALE,,6195,,,,,,,,PMIP,TENGKU BURHANUDIN,MALE,,2611,,,,,,,,,,,,,,,,,,,,,,,,,
P.76_NO. 3,KEDAH,P.76,KUALA KEDAH,NO. 3,LANGKAWI,,ALLIANCE - UMNO,14022,5658,76.75%,10762,,511,10251,UMNO,HJ. ISMAIL BIN IBRAHIM,MALE,,7753,,,,,,,,PMIP,LEBAI ABDULLAH BIN JUSOH,MALE,,2095,,,,,,,,NEGARA,HANAFI,MALE,,403,LOST DEPOSIT,,,,,,,,,,,,
P.76_NO. 4,KEDAH,P.76,KUALA KEDAH,NO. 4,KOTA STAR BARAT,,ALLIANCE - MCA,11924,3046,72.40%,8633,,505,8128,MCA,MAK GUAN PIN,MALE,,5587,,,,,,,,,,,,,,,,,,,,NEGARA,HAJI ISA,MALE,,2541,,,,,,,,,,,,,
P.77_NO. 5,KEDAH,P.77,KOTA STAR UTARA,NO. 5,LANGGAR-LIMBONG,,ALLIANCE - UMNO,10152,1780,80.91%,8214,,434,7780,UMNO,HAJI OMAR BIN HAJI ABDULLAH,MALE,,4780,,,,,,,,PMIP,ABU BAKAR OMAR,MALE,,3000,,,,,,,,,,,,,,,,,,,,,,,,,
P.77_NO. 6,KEDAH,P.77,KOTA STAR UTARA,NO. 6,POKOK SENA,,ALLIANCE - UMNO,9901,1573,65.66%,6501,,358,6143,UMNO,JOHARI BIN HAJI SALLEH,MALE,,3858,,,,,,,,PMIP,ABD. MAJID BIN ABDUL RAHMAN,MALE,,2285,,,,,,,,,,,,,,,,,,,,,,,,,
P.78_NO. 7,KEDAH,P.78,KOTA STAR SELATAN,NO. 7,KANGKONG BUKIT RAYA,,ALLIANCE - UMNO,11057,1237,76.81%,8493,,255,8238,UMNO,HAJI ALI BIN HAJI ISMAIL,MALE,,4339,,,,,,,,PMIP,HAJI MAHMUL BIN HAJI ABDULLAH,MALE,,3102,,,,,,,,NEGARA,HAJI REJAB,MALE,,581,LOST DEPOSIT,INDEPENDENT,ISMAIL BIN YA'COB,MALE,,216,LOST DEPOSIT,,,,,,
P.78_NO. 8,KEDAH,P.78,KOTA STAR SELATAN,NO. 8,PADANG,,ALLIANCE - UMNO,10012,1230,82.25%,8235,,407,7828,UMNO,SYED IBRAHIM BIN SYED KECHIK,MALE,,4529,,,,,,,,PMIP,HASHIM BIN ABDULLAH,MALE,,3299,,,,,,,,,,,,,,,,,,,,,,,,,
P.79_NO. 9,KEDAH,P.79,KUBANG PASU BARAT,NO. 9,JERLUN KODIANG,,ALLIANCE - UMNO,9735,3031,76.46%,7443,,266,7177,UMNO,YAHAYA BIN HJ. ABDUL JALIL,MALE,,5104,,,,,,,,PMIP,HJ. SHAARI BIN LEBAI HAMZAH,MALE,,2073,,,,,,,,,,,,,,,,,,,,,,,,,
P.79_NO. 10,KEDAH,P.79,KUBANG PASU BARAT,NO. 10,TUNJANG,,ALLIANCE - UMNO,9568,1840,73.71%,7053,,343,6710,UMNO,MUSTAFA BIN AHMAD,MALE,,4275,,,,,,,,PMIP,LEBAI AHMAD BIN OSMAN,MALE,,2435,,,,,,,,,,,,,,,,,,,,,,,,,
