UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLANCE CANDIDATE LOST DEPOSIT,SF,SF CANDIDATE,SF CANDIDATE SEX,SF CANDIDATE AGE,SF VOTE,SF CANDIDATE LOST DEPOSIT,PMIP,PMIP CANDIDATE,PMIP CANDIDATE SEX,PMIP CANDIDATE AGE,PMIP VOTE,PMIP CANDIDATE LOST DEPOSIT,PPP,PPP CANDIDATE,PPP CANDIDATE SEX,PPP CANDIDATE AGE,PPP VOTE,PPP CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.1_NO. 1,PENANG,P.1,BAGAN,NO. 1,BUTTERWORTH,ALLIANCE - MIC,,8554,1154,66.41,5681,143,5538,MIC,MPL. YEGAPPAN,MALE,,2639,,PRM,ISMAIL BIN AWANG,MALE,,230,LOST DEPOSIT,,,,,,,PPP,PERITAM SINGH,MALE,,1485,,,,,,,,INDEPENDENT,G. Y. OON,MALE,,1184,,,,,,,
P.1_NO. 2,PENANG,P.1,BAGAN,NO. 2,BAGAN AJAM,ALLIANCE - MCA,,8144,1121,69.56,5665,94,5571,MCA,PHEE JOO TEIK,MALE,,2875,,PRM,D. B. ALI,MALE,,197,LOST DEPOSIT,PMIP,SHARIFF BIN MOHD. ISA,MALE,,745,,,,,,,,,,,,,,INDEPENDENT,KAY KIM HUAT,MALE,,1754,,,,,,,
P.2_NO. 3,PENANG,P.2,SEBERANG UTARA,NO. 3,MUDA,ALLIANCE - UMNO,,8701,3749,81.82,7119,228,6891,UMNO,HAJI ISMAIL BIN CHE CHIK,MALE,,5320,,,,,,,,PMIP,HAJI YUSOF RAWA,MALE,,1571,,,,,,,,,,,,,,,,,,,,,,,,,
P.2_NO. 4,PENANG,P.2,SEBERANG UTARA,NO. 4,KEPALA BATAS,ALLIANCE - UMNO,,7065,2400,80.92,5717,179,5538,UMNO,HAJI AHMAD BIN HAJI ABDULLAH,MALE,,3969,,,,,,,,PMIP,HAJI AHMAD BIN ABDULLAH,MALE,,1569,,,,,,,,,,,,,,,,,,,,,,,,,
P.2_NO. 5,PENANG,P.2,SEBERANG UTARA,NO. 5,TASEK GLUGOR,ALLIANCE - UMNO,,7212,3435,74.94,5405,188,5217,UMNO,HASHIM BIN AWANG,MALE,,4326,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,OH THEAM POH,MALE,,891,,,,,,,
P.3_NO. 6,PENANG,P.3,SEBERANG TENGAH,NO. 6,PERMATANG PAUH,ALLIANCE - UMNO,,9865,2709,75.47,7445,229,7216,UMNO,ARIFFIN BIN SHARIFF,MALE,,4614,,PRM,YUNUS BIN MOHAMAD,MALE,,697,LOST DEPOSIT,PMIP,ABDULLAH BIN ABASS,MALE,,1905,,,,,,,,,,,,,,,,,,,,,,,,,
P.3_NO. 7,PENANG,P.3,SEBERANG TENGAH,NO. 7,BUKIT MERTAJAM,ALLIANCE - MCA,,9003,2435,67.98,6120,113,6007,MCA,WONG POW NEE,MALE,48,4221,,LPM,KANG ENG WAH,MALE,,1786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.3_NO. 8,PENANG,P.3,SEBERANG TENGAH,NO. 8,ALMA,ALLIANCE - UMNO,,7905,2315,75.61,5977,128,5849,UMNO,HAJI SULAIMAN,MALE,,4082,,PRM,NOOR SULAIMAN,MALE,,1767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.4_NO. 9,PENANG,P.4,SEBERANG SELATAN,NO. 9,SUNGEI BAKAP,ALLIANCE - MCA,,9091,853,77.32,7029,95,6934,MCA,KEE YONG CHIN,MALE,,3266,,LPM,V. VEERAPPEN,MALE,,2413,,,,,,,,,,,,,,,,,,,,INDEPENDENT,MD. NOOR BIN MAHMOOD,MALE,,1255,,,,,,,
P.4_NO. 10,PENANG,P.4,SEBERANG SELATAN,NO. 10,NIBONG TEBAL,ALLIANCE - UMNO,,6829,802,77.8,5313,92,5221,UMNO,HAJI SAHID BIN HASSAN,MALE,,2480,,LPM,KHOR PENG CHONG,MALE,,1678,,PMIP,HAJI MOHAMED HASAN BIN AHMAD,MALE,,696,,PPP,J. G. V. PARAMBIL,MALE,,367,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.5_NO. 11,PENANG,P.5,TANJONG,NO. 11,KOTA,SF - LPM,,8712,1198,71.8,6255,94,6161,MCA,LEE THEAN-CHU,MALE,48,2255,,LPM,LEE KOK LIANG,MALE,31,3453,,,,,,,,PPP,JASWANT SINGH,MALE,46,379,LOST DEPOSIT,,,,,,,INDEPENDENT,CHOONG HAN LEONG,MALE,42,74,LOST DEPOSIT,,,,,,
P.5_NO. 12,PENANG,P.5,TANJONG,NO. 12,TANJONG TENGAH,SF - LPM,,10413,1006,74.93,7802,116,7686,MCA,SAM AH CHOW,MALE,42,2736,,LPM,WONG CHOONG WOH,MALE,42,3742,,,,,,,,PPP,KHOO YAT SEE,MALE,,1208,,,,,,,,,,,,,,,,,,,
P.5_NO. 13,PENANG,P.5,TANJONG,NO. 13,TANJONG UTARA,SF - LPM,,8953,1186,73.18,6552,61,6491,UMNO,M. S. A. ZACHARIAH,MALE,40,1938,,LPM,YUEN FOOK CHEONG,MALE,34,3124,,,,,,,,PPP,LIM CHENG POH,MALE,32,999,,,,,,,,INDEPENDENT,WONG LOH HUN,MALE,43,430,LOST DEPOSIT,,,,,,
P.6_NO. 14,PENANG,P.6,DATO KRAMAT,NO. 14,TANJONG BARAT,SF - LPM,,6687,410,74.62,4990,65,4925,MCA,HWANG YANG CHOO,MALE,39,1643,,LPM,TAN CHONG BEE,MALE,54,2053,,,,,,,,PPP,JAG-JIT SINGH,MALE,42,1229,,,,,,,,,,,,,,,,,,,
P.6_NO. 15,PENANG,P.6,DATO KRAMAT,NO. 15,SUNGEI PINANG,SF - LPM,,7668,1289,70.49,5405,69,5336,MIC,P. U. DAVID,MALE,49,1702,,LPM,D. S. RAMANATHAN,MALE,50,2991,,,,,,,,,,,,,,NEGARA,ABDUL JALIL BIN T. M. SHAIK MOHAMED,MALE,34,643,LOST DEPOSIT,,,,,,,,,,,,
P.6_NO. 16,PENANG,P.6,DATO KRAMAT,NO. 16,TANJONG SELATAN,SF - LPM,,7703,2981,78.14,6019,79,5940,MCA,FOO YEW FONG,MALE,35,1290,,LPM,C. Y. CHOY,MALE,52,4271,,,,,,,,PPP,LIM BOK PHOON,MALE,36,379,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.7_NO. 17,PENANG,P.7,PENANG UTARA,NO. 17,KELAWAI,ALLIANCE - MCA,,4471,781,70.05,3132,48,3084,MCA,TAN KHIM HOE,MALE,39,1382,,,,,,,,,,,,,,PPP,OH CHEOW HONG,MALE,30,601,,NEGARA,SYED SALLEH ALSAGOFF BIN SYED HASHIM ALSAGOFF,MALE,80,171,LOST DEPOSIT,INDEPENDENT,OLIVER PHIPPS,MALE,37,535,,INDEPENDENT,A. RAJA GOPAL,MALE,37,395,
P.7_NO. 18,PENANG,P.7,PENANG UTARA,NO. 18,DHOBY GHAUT,ALLIANCE - UMNO,Y,6146,,,,,,UMNO,MOHAMED ISMAIL BIN CHE DIN,MALE,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.7_NO. 19,PENANG,P.7,PENANG UTARA,NO. 19,TANJONG BUNGAH,ALLIANCE - MCA,,9228,2051,73.48,6781,128,6653,MCA,CHEAH SENG KHIM,MALE,53,3538,,PRM,HAJI HARUN HAJI PUTEH,MALE,55,1237,,PMIP,HAJI ABDUL HAMID,MALE,51,1487,,PPP,FOO AH SOO,MALE,42,391,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
