UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P.1_NO. 1,PENANG,P.1,BAGAN,NO. 1,BUTTERWORTH,ALLIANCE - MIC,MPL. YEGAPPAN,MALE,,
P.1_NO. 2,PENANG,P.1,BAGAN,NO. 2,BAGAN AJAM,ALLIANCE - MCA,PHEE JOO TEIK,MALE,,
P.2_NO. 3,PENANG,P.2,SEBERANG UTARA,NO. 3,MUDA,ALLIANCE - UMNO,HAJI ISMAIL BIN CHE CHIK,MALE,,
P.2_NO. 4,PENANG,P.2,SEBERANG UTARA,NO. 4,KEPALA BATAS,ALLIANCE - UMNO,HAJI AHMAD BIN HAJI ABDULLAH,MALE,,
P.2_NO. 5,PENANG,P.2,SEBERANG UTARA,NO. 5,TASEK GLUGOR,ALLIANCE - UMNO,HASHIM BIN AWANG,MALE,,
P.3_NO. 6,PENANG,P.3,SEBERANG TENGAH,NO. 6,PERMATANG PAUH,ALLIANCE - UMNO,ARIFFIN BIN SHARIFF,MALE,,
P.3_NO. 7,PENANG,P.3,SEBERANG TENGAH,NO. 7,BUKIT MERTAJAM,ALLIANCE - MCA,WONG POW NEE,MALE,48,
P.3_NO. 8,PENANG,P.3,SEBERANG TENGAH,NO. 8,ALMA,ALLIANCE - UMNO,HAJI SULAIMAN,MALE,,
P.4_NO. 9,PENANG,P.4,SEBERANG SELATAN,NO. 9,SUNGEI BAKAP,ALLIANCE - MCA,KEE YONG CHIN,MALE,,
P.4_NO. 10,PENANG,P.4,SEBERANG SELATAN,NO. 10,NIBONG TEBAL,ALLIANCE - UMNO,HAJI SAHID BIN HASSAN,MALE,,
P.5_NO. 11,PENANG,P.5,TANJONG,NO. 11,KOTA,SF - LPM,LEE KOK LIANG,MALE,31,
P.5_NO. 12,PENANG,P.5,TANJONG,NO. 12,TANJONG TENGAH,SF - LPM,WONG CHOONG WOH,MALE,42,
P.5_NO. 13,PENANG,P.5,TANJONG,NO. 13,TANJONG UTARA,SF - LPM,YUEN FOOK CHEONG,MALE,34,
P.6_NO. 14,PENANG,P.6,DATO KRAMAT,NO. 14,TANJONG BARAT,SF - LPM,TAN CHONG BEE,MALE,54,
P.6_NO. 15,PENANG,P.6,DATO KRAMAT,NO. 15,SUNGEI PINANG,SF - LPM,D. S. RAMANATHAN,MALE,50,
