UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLANCE CANDIDATE LOST DEPOSIT,SF,SF CANDIDATE,SF CANDIDATE SEX,SF CANDIDATE AGE,SF CANDIDATE VOTE,SF CANDIDATE LOST DEPOSIT,PMIP,PMIP CANDIDATE,PMIP CANDIDATE SEX,PMIP CANDIDATE AGE,PMIP VOTE,PMIP CANDIDATE LOST DEPOSIT,PPP,PPP CANDIDATE,PPP CANDIDATE SEX,PPP CANDIDATE AGE,PPP CANDIDATE VOTE,PPP CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) CANDIDATE VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.1,PENANG,P.1,BAGAN,ALLIANCE - MCA,,16698,163,68.58,11452,104,11348,MCA,TAN CHENG BEE,MALE,49,3945,,,,,,,,PMIP,ABDULLAH BIN ABAS,MALE,38,1532,,PPP,PRITAM SINGH,MALE,24,1792,,,,,,,,INDEPENDENT,B.H. OON,FEMALE,56,3782,,INDEPENDENT,WEE TIONG GHEE,MALE,42,297,LOST DEPOSIT
P.2,PENANG,P.2,SEBERANG UTARA,ALLIANCE - UMNO,,22978,8211,76.31,17534,249,17285,UMNO,HAJI AHMAD BIN SAID,MALE,42,12748,,,,,,,,PMIP,HAJI YUSOF BIN HAJI ABDULLAH,MALE,37,4537,,,,,,,,,,,,,,,,,,,,,,,,,
P.3,PENANG,P.3,SEBERANG TENGAH,ALLIANCE - UMNO,,26773,1277,76.28,20423,244,20179,UMNO,IBRAHIM BIN ABDUL RAHMAN,MALE,41,9187,,LPM,KANG ENG WAH,MALE,34,7910,,PMIP,HAJI HAMID BIN ISHAK,MALE,51,3082,,,,,,,,,,,,,,,,,,,,,,,,,
P.4,PENANG,P.4,SEBERANG SELATAN,SF - LPM,,15920,764,79.08,12590,107,12483,MCA,TAY HOOI SOO,MALE,62,4313,,LPM,V. VEERAPAN,MALE,35,5077,,PMIP,HAJI JAIS BIN SUDIN,MALE,61,3093,,,,,,,,,,,,,,,,,,,,,,,,,
P.5,PENANG,P.5,TANJONG,SF - LPM,,28086,4885,71.65,20125,237,19888,MCA,G.H. GOH,MALE,68,6448,,LPM,TAN PHOCK KIN,MALE,36,11333,,,,,,,,PPP,KHOO YAT SEE,MALE,48,2107,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.6,PENANG,P.6,DATO KRAMAT,SF - LPM,,22058,5426,72.13,15911,103,15808,MCA,LEE THEAN-CHU,MALE,48,5048,,LPM,LIM KEAN SIEW,MALE,37,10474,,,,,,,,,,,,,,,,,,,,INDEPENDENT,C.M. RAMLI,MALE,49,286,LOST DEPOSIT,,,,,,
P.7,PENANG,P.7,PENANG UTARA,ALLIANCE - MCA,,25537,859,69.05,17634,170,17464,MCA,GEH CHONG KEAT,MALE,36,8739,,LPM,LAU TEK HAI,MALE,30,7880,,,,,,,,,,,,,,,,,,,,INDEPENDENT,SHAIK AHMAD BIN SHAIK MOHAMED,MALE,50,845,LOST DEPOSIT,,,,,,
P.8,PENANG,P.8,PENANG SELATAN,ALLIANCE - UMNO,,30618,258,73.39,22472,144,22328,UMNO,ISMAIL BIN IDRIS,MALE,39,9821,,LPM,D.S. RAMANATHAN,MALE,50,9563,,PMIP,OMAR BIN LONG,MALE,36,2585,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT,CHE GU MANSOR BIN SUNUSI,MALE,40,359,LOST DEPOSIT,,,,,,
P.9,MALACCA,P.9,BANDAR MALACCA,M.P.,,22337,1223,80.39,17956,122,17834,MCA,WONG KOON YOON,MALE,55,8173,,,,,,,,,,,,,,,,,,,,M.P.,TAN KEE GAK,MALE,,9396,,INDEPENDENT,YEOH HO HUAT,MALE,42,265,LOST DEPOSIT,,,,,,
P.10,MALACCA,P.10,MALACCA TENGAH,ALLIANCE - MCA,,23495,8980,78.64,18477,187,18290,MCA,TAN SIEW SIN,MALE,43,13635,,,,,,,,PMIP,HAJI ABDUL MAJID BIN HAJI HUSSIN,MALE,53,4655,,,,,,,,,,,,,,,,,,,,,,,,,
