UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P.1,PENANG,P.1,BAGAN,ALLIANCE - MCA,TAN CHENG BEE,MALE,49,
P.2,PENANG,P.2,SEBERANG UTARA,ALLIANCE - UMNO,HAJI AHMAD BIN SAID,MALE,42,
P.3,PENANG,P.3,SEBERANG TENGAH,ALLIANCE - UMNO,IBRAHIM BIN ABDUL RAHMAN,MALE,41,
P.4,PENANG,P.4,SEBERANG SELATAN,SF - LPM,V. VEERAPAN,MALE,35,
P.5,PENANG,P.5,TANJONG,SF - LPM,TAN PHOCK KIN,MALE,36,
P.6,PENANG,P.6,DATO KRAMAT,SF - LPM,LIM KEAN SIEW,MALE,37,
P.7,PENANG,P.7,PENANG UTARA,ALLIANCE - MCA,GEH CHONG KEAT,MALE,36,
P.8,PENANG,P.8,PENANG SELATAN,ALLIANCE - UMNO,ISMAIL BIN IDRIS,MALE,39,
P.9,MALACCA,P.9,BANDAR MALACCA,M.P.,TAN KEE GAK,MALE,,
P.10,MALACCA,P.10,MALACCA TENGAH,ALLIANCE - MCA,TAN SIEW SIN,MALE,43,
P.11,MALACCA,P.11,MALACCA UTARA,ALLIANCE - UMNO,ABDUL GHANI BIN ISHAK,MALE,35,
P.12,MALACCA,P.12,MALACCA SELATAN,ALLIANCE - UMNO,HASSAN BIN MANSOR,MALE,,
P.13,PERAK,P.13,KRIAN LAUT,ALLIANCE - UMNO,ABDUL RAOF BIN A. RAHMAN,MALE,62,
P.14,PERAK,P.14,KRIAN DARAT,ALLIANCE - UMNO,AHMAD BIN HAJI YUSOF,MALE,40,
P.15,PERAK,P.15,BATANG PADANG,ALLIANCE - UMNO,ABDUL HAMID KHAN,MALE,59,
P.16,PERAK,P.16,TANJONG MALIM,ALLIANCE - MCA,LEE SECK FUN,MALE,33,
P.17,PERAK,P.17,LARUT UTARA,ALLIANCE - UMNO,TAJUDIN BIN ALI,MALE,37,
P.18,PERAK,P.18,LARUT SELATAN,ALLIANCE - MCA,DR. LIM SWEE AUN,MALE,44,
P.19,PERAK,P.19,BRUAS,INDEPENDENT,YEOH TAT BENG,MALE,45,
P.20,PERAK,P.20,SITIAWAN,ALLIANCE - MCA,YONG WOO MING,MALE,47,
P.21,PERAK,P.21,ULU PERAK,ALLIANCE - UMNO,MOHD. NOR BIN MOHD DAHAN,MALE,34,
P.22,PERAK,P.22,KUALA KANGSAR,ALLIANCE - UMNO,HAJI ABDULLAH BIN HAJI ABDUL RAOF,MALE,51,
P.23,PERAK,P.23,PARIT,ALLIANCE - UMNO,HUSSEIN BIN MOHAMED NOORDIN,MALE,39,
P.24,PERAK,P.24,HILIR PERAK,ALLIANCE - UMNO,MOHD. ABAS BIN AHMAD,MALE,48,
P.25,PERAK,P.25,BAGAN DATOH,ALLIANCE - UMNO,YAHYA BIN HAJI AHMAD,MALE,41,
P.26,PERAK,P.26,TELOK ANSON,ALLIANCE - MCA,WONG SAIK HONG,MALE,50,
P.27,PERAK,P.27,IPOH,PPP,D. R. SEENIVASAGAM,MALE,37,
P.28,PERAK,P.28,MENGLEMBU,PPP,S. P. SEENIVASAGAM,MALE,42,
P.29,PERAK,P.29,SUNGEI SIPUT,ALLIANCE - MIC,V.T. SAMBANTHAN,MALE,40,
P.30,PERAK,P.30,ULU KINTA,PPP,CHAN SWEE HO,MALE,30,
P.31,PERAK,P.31,BATU GAJAH,PPP,KHONG KOK YAT,MALE,29,
P.32,PERAK,P.32,KAMPAR,ALLIANCE - MCA,LEONG KEE NYEAN,MALE,32,
P.33,SELANGOR,P.33,BATU,SF - LPM,NG ANN TECK,MALE,28,
P.34,SELANGOR,P.34,BUNGSAR,SF - LPM,V. DAVID,MALE,26,
P.35,SELANGOR,P.35,BUKIT BINTANG,ALLIANCE - MCA,CHEAH THIAM SWEE,MALE,,
P.36,SELANGOR,P.36,SETAPAK,SF - PRM,AHMAD BOESTAMAM,MALE,39,
P.37,SELANGOR,P.37,ULU SELANGOR,ALLIANCE - MCA,ONG YOKE LIN,MALE,42,
P.38,SELANGOR,P.38,RAWANG,SF - LPM,LIU YOONG PENG,MALE,,
P.39,SELANGOR,P.39,SABAK BERNAM,ALLIANCE - UMNO,SYED HASHIM BIN SYED AJAM,MALE,55,
P.40,SELANGOR,P.40,KUALA SELANGOR,ALLIANCE - UMNO,MOHAMED DAHARI BIN HAJI MOHAMED ALI,MALE,37,
P.41,SELANGOR,P.41,LANGAT,ALLIANCE - UMNO,HAJI ZAKARIA BIN HAJI MOHD. TAIB,MALE,,
P.42,SELANGOR,P.42,SEPANG,ALLIANCE - MCA,LEE SIOK YEW,MALE,42,
P.43,SELANGOR,P.43,KLANG,ALLIANCE - MIC,V. MANICKAVASAGAM,MALE,33,
P.44,SELANGOR,P.44,KUALA LANGAT,ALLIANCE - UMNO,ABDUL AZIZ BIN ISHAK,MALE,46,
P.45,SELANGOR,P.45,KAPAR,ALLIANCE - UMNO,HAMZAH BIN ALANG,MALE,45,
P.46,SELANGOR,P.46,DAMANSARA,SF - PRM,KAHER KARAM SINGH,MALE,22,
P.47,NEGRI SEMBILAN,P.47,JELEBU-JEMPOL,ALLIANCE - UMNO,MOHAMED UJANG,MALE,,
P.48,NEGRI SEMBILAN,P.48,KUALA PILAH,ALLIANCE - UMNO,BAHAMAN BIN SAMSUDIN,MALE,,
P.49,NEGRI SEMBILAN,P.49,PORT DICKSON,ALLIANCE - MIC,MAHIMA SINGH,MALE,53,YES
P.50,NEGRI SEMBILAN,P.50,REMBAU - TAMPIN,ALLIANCE - UMNO,HAJI REDZA BIN HAJI MOHD. SAID,MALE,48,
P.51,NEGRI SEMBILAN,P.51,SEREMBAN BARAT,INDEPENDENT,QUEK KAI DONG,MALE,,
P.52,NEGRI SEMBILAN,P.52,SEREMBAN TIMOR,INDEPENDENT,CHIN SEE YIN,MALE,,
P.53,PAHANG,P.53,LIPIS,ALLIANCE - UMNO,MOHD. SULONG BIN MOHD. ALI,MALE,51,
P.54,PAHANG,P.54,RAUB,ALLIANCE - UMNO,HUSSEIN BIN HASSAN,MALE,,
P.55,PAHANG,P.55,BENTONG,ALLIANCE - MCA,CHAN SIANG SUN,MALE,26,
P.56,PAHANG,P.56,TEMERLOH,ALLIANCE - UMNO,MOHD. YUSOF BIN MAHMUD,MALE,,
P.57,PAHANG,P.57,KUANTAN,ALLIANCE - UMNO,ABDUL RAHMAN BIN HAJI TALIB,MALE,43,
P.58,PAHANG,P.58,PEKAN,ALLIANCE - UMNO,DATO ABDUL RAZAK BIN HUSSAIN,MALE,37,
P.59,JOHORE,P.59,JOHORE TIMOR,ALLIANCE - UMNO,DR. ISMAIL BIN DATO ABDUL RAHMAN,MALE,44,
P.60,JOHORE,P.60,JOHORE TENGGARA,ALLIANCE - UMNO,SAYAD JA'AFAR BIN HASAN ALBAR,MALE,45,YES
P.61,JOHORE,P.61,JOHORE BAHRU TIMOR,ALLIANCE - UMNO,HAJI MOHD. NOAH BIN OMAR,MALE,59,
P.62,JOHORE,P.62,JOHORE BAHRU BARAT,ALLIANCE - UMNO,AHMAD BIN MOHAMED SHAH,MALE,,
P.63,JOHORE,P.63,PONTIAN SELATAN,ALLIANCE - UMNO,CHE HAJAH ZAIN BINTE SULAIMAN,FEMALE,35,
P.64,JOHORE,P.64,PONTIAN UTARA,ALLIANCE - UMNO,SARDON BIN HAJI ZUBIR,MALE,42,
P.65,JOHORE,P.65,KLUANG SELATAN,ALLIANCE - MCA,CHAN CHONG WEN,MALE,,
P.66,JOHORE,P.66,KLUANG UTARA,ALLIANCE - MCA,LEE SAN CHOON,MALE,24,
P.67,JOHORE,P.67,BATU PAHAT,ALLIANCE - MCA,KANG KOCK SENG,MALE,,
P.68,JOHORE,P.68,BATU PAHAT DALAM,ALLIANCE - UMNO,SYED ESA BIN ALWEE,MALE,58,
P.69,JOHORE,P.69,MUAR SELATAN,ALLIANCE - UMNO,SULAIMAN BIN DATO ABDUL RAHMAN,MALE,,
P.70,JOHORE,P.70,MUAR PANTAI,ALLIANCE - MCA,SEAH TENG NGIAB,MALE,,
P.71,JOHORE,P.71,MUAR UTARA,ALLIANCE - UMNO,AHMAD BIN ARSHAD,MALE,,
P.72,JOHORE,P.72,MUAR DALAM,ALLIANCE - UMNO,AZIZ BIN ISHAK,MALE,,
