UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,UNCONTESTED VICTORY,WINNING PARTY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLANCE CANDIDATE LOST DEPOSIT,SF,SF CANDIDATE,SF CANDIDATE SEX,SF CANDIDATE AGE,SF CANDIDATE VOTE,SF CANDIDATE LOST DEPOSIT,PMIP,PMIP CANDIDATE,PMIP CANDIDATE SEX,PMIP CANDIDATE AGE,PMIP VOTE,PMIP CANDIDATE LOST DEPOSIT,PPP,PPP CANDIDATE,PPP CANDIDATE SEX,PPP CANDIDATE AGE,PPP CANDIDATE VOTE,PPP CANDIDATE LOST DEPOSIT,OTHER PARTY,OTHER PARTY CANDIDATE,OTHER PARTY CANDIDATE SEX,OTHER PARTY CANDIDATE AGE,OTHER PARTY CANDIDATE VOTE,OTHER PARTY CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.47_NO. 1,NEGRI SEMBILAN,P.47,JELEBU-JEMPOL,NO. 1,KUALA KLAWANG,,ALLIANCE - MCA,5010,1819,85.41%,4279,,78,4201,MCA,LIM KIM KEE,MALE,,3010,,,,,,,,PMIP,OMAR BIN AHMAD,,,1191,,,,,,,,,,,,,,,,,,,,,,,,,
P.47_NO. 2,NEGRI SEMBILAN,P.47,JELEBU-JEMPOL,NO. 2,PERTANG,,INDEPENDENT,3217,245,84.36%,2714,,61,2653,UMNO,IBRAHIM BIN HAJI MANSOR,MALE,,1060,,,,,,,,PMIP,AHMAD BIN HAJI YAACOB,MALE,,288,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT,AMINUDDIN BIN ABDUL MANAF,MALE,,1305,,,,,,,
P.47_NO. 3,NEGRI SEMBILAN,P.47,JELEBU-JEMPOL,NO. 3,BAHAU,,ALLIANCE - MCA,3751,247,84.16%,3157,,99,3058,MCA,THONG HIANG KIM,MALE,,1529,,LPM,CHAI YAU FOH,MALE,,1282,,PMIP,HARUN BIN YUSOF,MALE,,247,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.47_NO. 4,NEGRI SEMBILAN,P.47,JELEBU-JEMPOL,NO. 4,ROMPIN,,SF - LPM,4555,131,74.95%,3414,,111,3303,MCA,HO HONG YEOW,MALE,,1556,,LPM,LIM KEE SAI,MALE,,1687,,,,,,,,,,,,,,,,,,,,INDEPENDENT,LEE KHAN HENG,MALE,,60,LOST DEPOSIT,,,,,,
P.47_NO. 5,NEGRI SEMBILAN,P.47,JELEBU-JEMPOL,NO. 5,JEMPOL,,ALLIANCE - UMNO,4377,2125,78.87%,3452,,61,3391,UMNO,HAJI MOHAMAD KHATIB BIN MOHAMAD NOR,MALE,,2758,,,,,,,,PMIP,MUSTAPHA BIN MOHAMAD,MALE,,633,,,,,,,,,,,,,,,,,,,,,,,,,
P.48_NO. 6,NEGRI SEMBILAN,P.48,KUALA PILAH,NO. 6,SRI MENANTI,,ALLIANCE - UMNO,6123,1737,80.84%,4950,,84,4866,UMNO,ABDUL SAMAD BIN IDRIS,MALE,,2965,,,,,,,,PMIP,JAALAM BIN OTHMAN,MALE,,1228,,,,,,,,,,,,,,INDEPENDENT,RAJA HARUN BIN RAJA TACHIK,MALE,,673,,,,,,,
P.48_NO. 7,NEGRI SEMBILAN,P.48,KUALA PILAH,NO. 7,JOHOL,,ALLIANCE - UMNO,5398,1165,78.38%,4231,,175,4056,UMNO,ABU KASSIM BIN SAAD,MALE,,2392,,,,,,,,PMIP,A. GHANI BIN A. SAMAD,MALE,,437,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT,GAN ENG KWEE,MALE,,1227,,,,,,,
P.48_NO. 8,NEGRI SEMBILAN,P.48,KUALA PILAH,NO. 8,ULU MUAR,,ALLIANCE - UMNO,5760,2396,82.48%,4751,,111,4640,UMNO,ARIFFIN BIN ALI,MALE,,3518,,,,,,,,PMIP,ABDUL AZIZ BIN HAJI MOHD. YUNUS,MALE,,1122,,,,,,,,,,,,,,,,,,,,,,,,,
P.48_NO. 9,NEGRI SEMBILAN,P.48,KUALA PILAH,NO. 9,PILAH,,ALLIANCE - UMNO,5392,1068,80.60%,4346,,59,4287,UMNO,MOHAMED IDRIS BIN MATSIL,MALE,,2328,,,,,,,,PMIP,ABD. MAJID BIN ABD. WAHAB,MALE,,699,,,,,,,,,,,,,,INDEPENDENT,KOK LEONG YIN,MALE,,1260,,,,,,,
P.49_NO. 10,NEGRI SEMBILAN,P.49,PORT DICKSON,NO. 10,JIMAH,,ALLIANCE - MIC,3227,1653,84.38%,2723,,34,2689,MIC,V. LETCHUMANAN,MALE,,2171,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,BAHARI BIN AWAL,MALE,,518,,,,,,,
