UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLANCE CANDIDATE LOST DEPOSIT,SF,SF CANDIDATE,SF CANDIDATE SEX,SF CANDIDATE AGE,SF CANDIDATE VOTE,SF CANDIDATE LOST DEPOSIT,PMIP,PMIP CANDIDATE,PMIP CANDIDATE SEX,PMIP CANDIDATE AGE,PMIP VOTE,PMIP CANDIDATE LOST DEPOSIT,PPP,PPP CANDIDATE,PPP CANDIDATE SEX,PPP CANDIDATE AGE,PPP CANDIDATE VOTE,PPP CANDIDATE LOST DEPOSIT,OTHER PARTY,OTHER PARTY CANDIDATE,OTHER PARTY CANDIDATE SEX,OTHER PARTY CANDIDATE AGE,OTHER PARTY CANDIDATE VOTE,OTHER PARTY CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.53_NO. 1,PAHANG,P.53,LIPIS,NO. 1,JELAI,ALLIANCE - UMNO,,4631,1891,82.73,3831,,90,3741,UMNO,MUHAMMAD NOR BIN SULAIMAN,MALE,,2816,,,,,,,,PMIP,SULAIMAN BIN SIDEK,MALE,,925,,,,,,,,,,,,,,,,,,,,,,,,,
P.53_NO. 2,PAHANG,P.53,LIPIS,NO. 2,KUALA LIPIS,ALLIANCE - MCA,,4032,868,81.42,3283,,63,3220,MCA,SEONG SIK YONG,MALE,,1791,,,,,,,,PMIP,HAMZAH BIN HJ.HUSSAIN,MALE,,506,,,,,,,,,,,,,,INDEPENDENT - CAR,ONG SEONG TEK,MALE,,923,,,,,,,
P.53_NO. 3,PAHANG,P.53,LIPIS,NO. 3,TANJONG BESAR,ALLIANCE - UMNO,,7113,2641,82.20,5847,,166,5681,UMNO,MOHD. KHAIRUDDIN BIN MOHD. KAWI,MALE,31,4161,,,,,,,,PMIP,MOHD. SALLEH BIN ABDUL KARIM,MALE,,1520,,,,,,,,,,,,,,,,,,,,,,,,,
P.53_NO. 4,PAHANG,P.53,LIPIS,NO. 4,JERANTUT,ALLIANCE - UMNO,,5858,1582,72.84,4267,,191,4076,UMNO,ABDULLAH BIN HAJI MOHD. AKIL,MALE,,2829,,,,,,,,PMIP,ABDUL MUIN BIN SAID,MALE,,1247,,,,,,,,,,,,,,,,,,,,,,,,,
P.54_NO. 5,PAHANG,P.54,RAUB,NO. 5,CAMERON HIGHLANDS,INDEPENDENT,,3885,66,75.88,2948,,47,2901,MIC,SUBRAYAN,MALE,,1336,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TABLE,YONG HONG CHONG,MALE,,1402,,INDEPENDENT - TORCH,RAMLI BIN MOHD. SAID,MALE,,163,LOST DEPOSIT
P.54_NO. 6,PAHANG,P.54,RAUB,NO. 6,DONG,ALLIANCE - UMNO,,5345,1589,80.21,4287,,120,4167,UMNO,SENDIRI BIN HAJI HUSIN,MALE,,2878,,,,,,,,PMIP,ABD. HAMID BIN ABDULLAH,MALE,,1289,,,,,,,,,,,,,,,,,,,,,,,,,
P.54_NO. 7,PAHANG,P.54,RAUB,NO. 7,BANDAR RAUB,ALLIANCE - MCA,,4428,471,77.57,3435,,40,3395,MCA,CHUA YONG GUAN,MALE,,1883,,PRM,ABU BAKAR BIN MOHAMED RESAT,MALE,,1412,,PMIP,MOHAMED YACCOB BIN BAGINDA,MALE,,100,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.54_NO. 8,PAHANG,P.54,RAUB,NO. 8,TRAS,ALLIANCE - UMNO,,3701,1768,86.76,3211,,74,3137,UMNO,SULAIMAN BIN SHAHBUDDIN,MALE,,2239,,,,,,,,PMIP,OTHMAN BIN SABUDIN,MALE,,471,,,,,,,,,,,,,,INDEPENDENT - CLOCK,GOH TENG KOON,MALE,,427,,,,,,,
P.55_NO. 9,PAHANG,P.55,BENTONG,NO. 9,SABAI,ALLIANCE - UMNO,,4295,1997,81.40,3496,,97,3399,UMNO,ABU BAKAR BIN HAJI AHMAD,MALE,,2698,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDEN - CAR,LEONG THOE CHEOK,MALE,,701,,,,,,,
P.55_NO. 10,PAHANG,P.55,BENTONG,NO. 10,BANDAR BENTONG,ALLIANCE - MCA,Y,3595,,,,,,,MCA,CHOW SENG TOONG,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.55_NO. 11,PAHANG,P.55,BENTONG,NO. 11,BENUS,ALLIANCE - MCA,,3788,1442,87.65,3320,,31,3289,MCA,CHAN SANG,MALE,,2160,,LPM,BASIR BIN MAT,MALE,,411,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - TORCH,TOH WAI THENG,MALE,,718,,,,,,,
P.55_NO. 12,PAHANG,P.55,BENTONG,NO. 12,MENTAKAB,ALLIANCE - UMNO,,6151,873,78.70,4841,,66,4775,UMNO,SALEHUDDIN BIN AWANG PEKAN,MALE,,2330,,PRM,MAT BIN YAACOB,MALE,,1457,,PMIP,MOHD. SAID BIN IBRAHIM,MALE,,988,,,,,,,,,,,,,,,,,,,,,,,,,
P.56_NO. 13,PAHANG,P.56,TEMERLOH,NO. 13,CHENOR,ALLIANCE - UMNO,,4237,928,77.44,3281,,119,3162,UMNO,WAN ABDUL AZIZ BIN UNGKU HAJI ABDULLAH,MALE,45,1928,,PRM,MD. SHAM BIN BILAL BAR,MALE,,234,LOST DEPOSIT,PMIP,WAN AHMAD BIN WAN MOHD. SALLEH,MALE,,1000,,,,,,,,,,,,,,,,,,,,,,,,,
P.56_NO. 14,PAHANG,P.56,TEMERLOH,NO. 14,TRIANG,ALLIANCE - MCA,,4856,871,79.96,3883,,64,3819,MCA,LUM WAH KUM @ LUM BAN KEE,MALE,,1967,,LPM,YAP KIM CHUAN,MALE,,1096,,PMIP,ABDULLAH BIN MOHAMED,MALE,,756,,,,,,,,,,,,,,,,,,,,,,,,,
P.56_NO. 15,PAHANG,P.56,TEMERLOH,NO. 15,KUALA SEMANTAN,ALLIANCE - UMNO,,3583,767,73.74,2642,,47,2595,UMNO,AWANG NGAH BIN TOK MUDA IBRAHIM,MALE,,1431,,PRM,JAAFAR BIN HUSSIN,MALE,,664,,PMIP,ABDUL WAHAB BIN MOHAMED ZABIDIN,MALE,,500,,,,,,,,,,,,,,,,,,,,,,,,,
P.56_NO. 16,PAHANG,P.56,TEMERLOH,NO. 16,JENDERAK,ALLIANCE - UMNO,,4267,270,71.69,3059,,101,2958,UMNO,MOHD. YUSOFF BIN HAJI LONG,MALE,,1614,,,,,,,,PMIP,ABDUL AZIZ BIN UDA,MALE,,1344,,,,,,,,,,,,,,,,,,,,,,,,,
