UNIQUE CODE (1959),STATE (1959),PARLIAMENTARY CONSTITUENCY CODE (1959),PARLIAMENTARY CONSTITUENCY NAME (1959),AREA (SQ KM),NOTES
P.1,PENANG,P.1,BAGAN,34.86,Computed using Tindak Malaysia's electoral boundary files
P.2,PENANG,P.2,SEBERANG UTARA,232.83,Computed using Tindak Malaysia's electoral boundary files
P.3,PENANG,P.3,SEBERANG TENGAH,231.46,Computed using Tindak Malaysia's electoral boundary files
P.4,PENANG,P.4,SEBERANG SELATAN,240.44,Computed using Tindak Malaysia's electoral boundary files
P.5,PENANG,P.5,TANJONG,2.97,Computed using Tindak Malaysia's electoral boundary files
P.6,PENANG,P.6,DATO KRAMAT,3.35,Computed using Tindak Malaysia's electoral boundary files
P.7,PENANG,P.7,PENANG UTARA,135.77,Computed using Tindak Malaysia's electoral boundary files
P.8,PENANG,P.8,PENANG SELATAN,149.59,Computed using Tindak Malaysia's electoral boundary files
P.9,MALACCA,P.9,BANDAR MALACCA,16.56,Computed using Tindak Malaysia's electoral boundary files
P.10,MALACCA,P.10,MALACCA TENGAH,280.73,Computed using Tindak Malaysia's electoral boundary files
P.11,MALACCA,P.11,MALACCA UTARA,511.95,Computed using Tindak Malaysia's electoral boundary files
P.12,MALACCA,P.12,MALACCA SELATAN,846.79,Computed using Tindak Malaysia's electoral boundary files
P.13,PERAK,P.13,KRIAN LAUT,199.2,Computed using Tindak Malaysia's electoral boundary files
P.14,PERAK,P.14,KRIAN DARAT,744.21,Computed using Tindak Malaysia's electoral boundary files
P.15,PERAK,P.15,BATANG PADANG,880.13,Computed using Tindak Malaysia's electoral boundary files
P.16,PERAK,P.16,TANJONG MALIM,1854.87,Computed using Tindak Malaysia's electoral boundary files
P.17,PERAK,P.17,LARUT UTARA,1165.02,Computed using Tindak Malaysia's electoral boundary files
P.18,PERAK,P.18,LARUT SELATAN,479.69,Computed using Tindak Malaysia's electoral boundary files
P.19,PERAK,P.19,BRUAS,1104.95,Computed using Tindak Malaysia's electoral boundary files
P.20,PERAK,P.20,SITIAWAN,585.05,Computed using Tindak Malaysia's electoral boundary files
P.21,PERAK,P.21,ULU PERAK,6726.95,Computed using Tindak Malaysia's electoral boundary files
P.22,PERAK,P.22,KUALA KANGSAR,863.85,Computed using Tindak Malaysia's electoral boundary files
P.23,PERAK,P.23,PARIT,747.4,Computed using Tindak Malaysia's electoral boundary files
P.24,PERAK,P.24,HILIR PERAK,625.06,Computed using Tindak Malaysia's electoral boundary files
P.25,PERAK,P.25,BAGAN DATOH,896.81,Computed using Tindak Malaysia's electoral boundary files
P.26,PERAK,P.26,TELOK ANSON,590.89,Computed using Tindak Malaysia's electoral boundary files
P.27,PERAK,P.27,IPOH,38.69,Computed using Tindak Malaysia's electoral boundary files
P.28,PERAK,P.28,MENGLEMBU,43.91,Computed using Tindak Malaysia's electoral boundary files
P.29,PERAK,P.29,SUNGEI SIPUT,1527.7,Computed using Tindak Malaysia's electoral boundary files
P.30,PERAK,P.30,ULU KINTA,861.84,Computed using Tindak Malaysia's electoral boundary files
P.31,PERAK,P.31,BATU GAJAH,350.66,Computed using Tindak Malaysia's electoral boundary files
P.32,PERAK,P.32,KAMPAR,675.01,Computed using Tindak Malaysia's electoral boundary files
P.33,SELANGOR,P.33,BATU,226.96,Computed using Tindak Malaysia's electoral boundary files
P.34,SELANGOR,P.34,BUNGSAR,62.1,Computed using Tindak Malaysia's electoral boundary files
P.35,SELANGOR,P.35,BUKIT BINTANG,19.01,Computed using Tindak Malaysia's electoral boundary files
P.36,SELANGOR,P.36,SETAPAK,308.44,Computed using Tindak Malaysia's electoral boundary files
P.37,SELANGOR,P.37,ULU SELANGOR,1558.35,Computed using Tindak Malaysia's electoral boundary files
P.38,SELANGOR,P.38,RAWANG,780.66,Computed using Tindak Malaysia's electoral boundary files
P.39,SELANGOR,P.39,SABAK BERNAM,737.1,Computed using Tindak Malaysia's electoral boundary files
P.40,SELANGOR,P.40,KUALA SELANGOR,1106.11,Computed using Tindak Malaysia's electoral boundary files
P.41,SELANGOR,P.41,LANGAT,782.99,Computed using Tindak Malaysia's electoral boundary files
P.42,SELANGOR,P.42,SEPANG,801.24,Computed using Tindak Malaysia's electoral boundary files
P.43,SELANGOR,P.43,KLANG,579.61,Computed using Tindak Malaysia's electoral boundary files
P.44,SELANGOR,P.44,KUALA LANGAT,522.01,Computed using Tindak Malaysia's electoral boundary files
