UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLANCE CANDIDATE LOST DEPOSIT,SF,SF CANDIDATE,SF CANDIDATE SEX,SF CANDIDATE AGE,SF CANDIDATE VOTE,SF CANDIDATE LOST DEPOSIT,PMIP,PMIP CANDIDATE,PMIP CANDIDATE SEX,PMIP CANDIDATE AGE,PMIP VOTE,PMIP CANDIDATE LOST DEPOSIT,PPP,PPP CANDIDATE,PPP CANDIDATE SEX,PPP CANDIDATE AGE,PPP CANDIDATE VOTE,PPP CANDIDATE LOST DEPOSIT,OTHER PARTY,OTHER PARTY CANDIDATE,OTHER PARTY CANDIDATE SEX,OTHER PARTY CANDIDATE AGE,OTHER PARTY CANDIDATE VOTE,OTHER PARTY CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.13_NO. 1,PERAK,P.13,KRIAN LAUT,NO. 1,PARIT BUNTAR,ALLIANCE - UMNO,,11133,236,66.65,7420,,168,7252,UMNO,HAJAH HALIMAH BINTI HJ. ABD. RAOF,FEMALE,38,3744,,,,,,,,PMIP,HAJI HASAN ADLI BIN HJ. ARSHAD,MALE,30,3508,,,,,,,,,,,,,,,,,,,,,,,,,
P.13_NO. 2,PERAK,P.13,KRIAN LAUT,NO. 2,KUALA KURAU,ALLIANCE - UMNO,,11276,1216,67.1,7566,,170,7396,UMNO,HAJI SHAMSUDIN BIN HAJI AHMAD,MALE,57,4306,,,,,,,,PMIP,MD. KAMIL BIN HAJI AHMAD,MALE,39,3090,,,,,,,,,,,,,,,,,,,,,,,,,
P.14_NO. 3,PERAK,P.14,KRIAN DARAT,NO. 3,BAGAN SERAI,ALLIANCE - UMNO,,10467,2704,63.1,6605,,309,6296,UMNO,MASUD BIN UTOI,MALE,35,4113,,,,,,,,PMIP,KHADIRI BIN HAJI DAHALAN,MALE,30,1409,,PPP,G. P. RAMU,MALE,43,774,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.14_NO. 4,PERAK,P.14,KRIAN DARAT,NO. 4,GUNONG SEMANGGOL,PMIP,,10781,34,64.66,6971,,221,6750,UMNO,RAMLI BIN OMAR,MALE,27,3358,,,,,,,,PMIP,BAHARUDDIN BIN HAJI ABDUL LATIF,MALE,32,3392,,,,,,,,,,,,,,,,,,,,,,,,,
P.15_NO. 5,PERAK,P.15,BATANG PADANG,NO. 5,TAPAH ROAD,ALLIANCE - UMNO,,7368,2012,70.34,5183,,125,5058,UMNO,MOHAMED JUMAH BIN SATIR,MALE,26,3147,,,,,,,,PMIP,HAJI HASHIM BIN HAJI SALLEH,MALE,43,776,,PPP,OSMAN BIN AHMAD,MALE,41,1135,,,,,,,,,,,,,,,,,,,
P.15_NO. 6,PERAK,P.15,BATANG PADANG,NO. 6,TAPAH,ALLIANCE - MCA,,9299,1813,67.78,6303,,105,6198,MCA,THUM YENG YONG,MALE,52,3627,,,,,,,,PMIP,ZAN ABU KASSIM BIN HAJI MOHAMED HASHIM,MALE,30,757,LOST DEPOSIT,PPP,CHEAH WAN TUCK,MALE,31,1814,,,,,,,,,,,,,,,,,,,
P.16_NO. 7,PERAK,P.16,TANJONG MALIM,NO. 7,BIDOR,ALLIANCE - MIC,,9233,784,73.77,6811,,221,6590,MIC,PONNUSAMY PILLAI S/O VYAYAPURI PILLAI,MALE,37,3687,,,,,,,,,,,,,,PPP,RAMANATHAN CHELVARAYAN MANNAVARAYAN,MALE,50,2903,,,,,,,,,,,,,,,,,,,
P.16_NO. 8,PERAK,P.16,TANJONG MALIM,NO. 8,SLIM,ALLIANCE - UMNO,,10041,2924,64.2,6446,,278,6168,UMNO,YANG ABDUL RASHID BIN ABD. WAHAB,MALE,52,3927,,PRM,JAFFAR BIN ALANG,MALE,27,1003,,PMIP,ABDULLAH BIN ABU SEMAN,MALE,55,457,LOST DEPOSIT,PPP,MOHAMED SUHAILY BIN AHMAD,MALE,36,781,,,,,,,,,,,,,,,,,,,
P.17_NO. 9,PERAK,P.17,LARUT UTARA,NO. 9,SELAMA,ALLIANCE - UMNO,,12515,4459,71.63,8964,,179,8785,UMNO,HAJI HUSSIN BIN HAJI YAACOB,MALE,44,6622,,,,,,,,PMIP,KAMARUN BIN MOHD. HASSAN,MALE,45,2163,,,,,,,,,,,,,,,,,,,,,,,,,
P.17_NO. 10,PERAK,P.17,LARUT UTARA,NO. 10,LARUT,ALLIANCE - UMNO,,12349,2954,63.49,7840,,141,7699,UMNO,KAMARUDDIN BIN MD. ISA,MALE,30,4972,,LPM,HAJI HARUN BIN MUSA,MALE,50,709,LOST DEPOSIT,PMIP,HARUN BIN HAJI HUSAIN,MALE,48,2018,,,,,,,,,,,,,,,,,,,,,,,,,
