UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLANCE CANDIDATE LOST DEPOSIT,SF,SF CANDIDATE,SF CANDIDATE SEX,SF CANDIDATE AGE,SF CANDIDATE VOTE,SF CANDIDATE LOST DEPOSIT,PMIP,PMIP CANDIDATE,PMIP CANDIDATE SEX,PMIP CANDIDATE AGE,PMIP VOTE,PMIP CANDIDATE LOST DEPOSIT,PPP,PPP CANDIDATE,PPP CANDIDATE SEX,PPP CANDIDATE AGE,PPP CANDIDATE VOTE,PPP CANDIDATE LOST DEPOSIT,OTHER PARTY,OTHER PARTY CANDIDATE,OTHER PARTY CANDIDATE SEX,OTHER PARTY CANDIDATE AGE,OTHER PARTY CANDIDATE VOTE,OTHER PARTY CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.103_NO. 1,PERLIS,P.103,PERLIS UTARA,NO. 1,KAKI BUKIT,ALLIANCE - MCA,,3844,1495,84.78,3259,,54,3205,MCA,LOH AH TONG,MALE,55,2350,,,,,,,,PMIP,YACOB BIN MOHAMED,MALE,,855,,,,,,,,,,,,,,,,,,,,,,,,,
P.103_NO. 2,PERLIS,P.103,PERLIS UTARA,NO. 2,PAYA,ALLIANCE - UMNO,,3799,799,87.00,3305,,44,3261,UMNO,WAN AHMAD BIN WAN DAUD,MALE,69,2030,,,,,,,,PMIP,ABDULLAH BIN AHMAD,MALE,,1231,,,,,,,,,,,,,,,,,,,,,,,,,
P.103_NO. 3,PERLIS,P.103,PERLIS UTARA,NO. 3,MATA AYER,ALLIANCE - UMNO,,3218,798,79.93,2572,,130,2442,UMNO,MAHAYUDDIN BIN DATO' HABIB,MALE,,1509,,PRM,WAN KHADZIM B. WAN DIN,MALE,,222,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,SHAIK ALI BA JUNID,MALE,,711,,,,,,,
P.103_NO. 4,PERLIS,P.103,PERLIS UTARA,NO. 4,KANGAR TOWN,ALLIANCE - MCA,,1965,889,73.23,1439,,16,1423,MCA,MR. POR SWEE GIAP,MALE,,1156,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,CHE MATT BIN HAJI KASSIM,MALE,,267,,,,,,,
P.103_NO. 5,PERLIS,P.103,PERLIS UTARA,NO. 5,SENA,ALLIANCE - UMNO,,3024,838,82.44,2493,,23,2470,UMNO,WAN AHMAD BIN HAJI WAN KASSIM,MALE,,1654,,,,,,,,PMIP,MAT BIN MD. ISA,MALE,,816,,,,,,,,,,,,,,,,,,,,,,,,,
P.103_NO. 6,PERLIS,P.103,PERLIS UTARA,NO. 6,BINTONG,ALLIANCE - UMNO,,3710,798,84.56,3137,,39,3098,UMNO,SHEIKH AHMAD,MALE,63,1948,,,,,,,,PMIP,SHAFII BIN OMAR,MALE,,1150,,,,,,,,,,,,,,,,,,,,,,,,,
P.104_NO. 7,PERLIS,P.104,PERLIS SELATAN,NO. 7,KURONG ANAI,ALLIANCE - UMNO,,3115,606,78.91,2458,,74,2384,UMNO,HAJI MOKHTAR B. HAJI ISMAIL,MALE,,1495,,,,,,,,PMIP,IBRAHIM BIN YASIN,MALE,,889,,,,,,,,,,,,,,,,,,,,,,,,,
P.104_NO. 8,PERLIS,P.104,PERLIS SELATAN,NO. 8,ARAU,ALLIANCE - UMNO,,3209,354,77.41,2484,,90,2394,UMNO,TENGKU ADNAN,MALE,,1374,,,,,,,,PMIP,ABDULRAHMAN BIN OSMAN,MALE,,1020,,,,,,,,,,,,,,,,,,,,,,,,,
P.104_NO. 9,PERLIS,P.104,PERLIS SELATAN,NO. 9,HUTAN AJI,ALLIANCE - UMNO,,3223,271,78.25,2522,,61,2461,UMNO,SYED DARUS BIN SYED HASHIM,MALE,,1366,,,,,,,,PMIP,AHMAD BIN SALLEH,MALE,,1095,,,,,,,,,,,,,,,,,,,,,,,,,
P.104_NO. 10,PERLIS,P.104,PERLIS SELATAN,NO. 10,KAYANG,ALLIANCE - UMNO,,3174,617,82.29,2612,,46,2566,UMNO,HAJI KERIA BIN WAN NIK,MALE,,1506,,PRM,ZAKARIA BIN ISHAK,MALE,,171,LOST DEPOSIT,PMIP,ABU BAKAR BIN HAJI AWANG,MALE,,889,,,,,,,,,,,,,,,,,,,,,,,,,
P.104_NO. 11,PERLIS,P.104,PERLIS SELATAN,NO. 11,KUALA PERLIS,ALLIANCE - UMNO,,2577,1021,82.50,2126,,35,2091,UMNO,YUSOFF BIN ABU BAKAR,MALE,,1556,,,,,,,,PMIP,OMAR BIN MD. SAID,MALE,,535,,,,,,,,,,,,,,,,,,,,,,,,,
P.104_NO. 12,PERLIS,P.104,PERLIS SELATAN,NO. 12,SANGLANG,ALLIANCE - UMNO,,3497,360,80.75,2824,,30,2794,UMNO,AHMAD BIN MUSA,MALE,,1577,,,,,,,,PMIP,LEBAI ADNAN B. ABDULLAH,MALE,,1217,,,,,,,,,,,,,,,,,,,,,,,,,
