UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLANCE CANDIDATE LOST DEPOSIT,SF,SF CANDIDATE,SF CANDIDATE SEX,SF CANDIDATE AGE,SF CANDIDATE VOTE,SF CANDIDATE LOST DEPOSIT,PMIP,PMIP CANDIDATE,PMIP CANDIDATE SEX,PMIP CANDIDATE AGE,PMIP VOTE,PMIP CANDIDATE LOST DEPOSIT,PPP,PPP CANDIDATE,PPP CANDIDATE SEX,PPP CANDIDATE AGE,PPP CANDIDATE VOTE,PPP CANDIDATE LOST DEPOSIT,OTHER PARTY,OTHER PARTY CANDIDATE,OTHER PARTY CANDIDATE SEX,OTHER PARTY CANDIDATE AGE,OTHER PARTY CANDIDATE VOTE,OTHER PARTY CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.33_NO. 1,SELANGOR,P.33,BATU,NO. 1,KEPONG,ALLIANCE - MCA,,13566,729,74.44,10098,,217,9881,MCA,CHAN KEONG HON,MALE,,5305,,LPM,NG ANN TECK,MALE,,4576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.33_NO. 2,SELANGOR,P.33,BATU,NO. 2,PENCHALA,ALLIANCE - MCA,,7291,166,61.50,4484,,52,4432,MCA,LIM JEW SIANG,MALE,,2299,,LPM,Y.P. LIU,MALE,,2133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.34_NO. 3,SELANGOR,P.34,BUNGSAR,NO. 3,PANTAI,SF - LPM,,13105,190,65.22,8547,,65,8482,MCA,TEH HUNG KIAT,MALE,,4105,,LPM,V. DAVID,MALE,26,4295,,,,,,,,PPP,S. MADHAVAN,MALE,,82,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.34_NO. 4,SELANGOR,P.34,BUNGSAR,NO. 4,SALAK,ALLIANCE - MCA,,22432,1987,67.90,15231,,168,15063,MCA,DOUGLAS K.K. LEE,MALE,36,6291,,LPM,KONG CHEE KEN,MALE,,409,LOST DEPOSIT,,,,,,,PPP,CHEW CHOO SOOT,MALE,,4059,,,,,,,,INDEPENDENT,KOH POOI KEE,MALE,,4304,,,,,,,
P.35_NO. 5,SELANGOR,P.35,BUKIT BINTANG,NO. 5,BUKIT NANAS,ALLIANCE - MCA,,15519,599,58.24,9039,,140,8899,MCA,Y. T. LEE,MALE,50,4749,,LPM,AMERICK SINGH GILL,MALE,,4150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.35_NO. 6,SELANGOR,P.35,BUKIT BINTANG,NO. 6,KAMPONG BAHRU,ALLIANCE - UMNO,,9474,1256,56.00,5305,,69,5236,UMNO,ABDULLAH YASSIN,MALE,,2703,,PRM,KAMARUDIN BIN ABU HASSAN,MALE,,1447,,PMIP,SYED IBRAHIM BIN SYED SALIM,MALE,,1086,,,,,,,,,,,,,,,,,,,,,,,,,
P.36_NO. 7,SELANGOR,P.36,SETAPAK,NO. 7,AMPANG,ALLIANCE - UMNO,,11999,994,61.26,7350,,86,7264,UMNO,MUHYEDDIN BIN MOHAMED ZABETUAN,MALE,,3579,,PRM,ABDUL BETUAH,MALE,,2585,,PMIP,ABDUL SAMAD BIN MOHAMED SALLEH,MALE,,853,LOST DEPOSIT,,,,,,,NEGARA,AZIZ ABDULLAH,MALE,,247,LOST DEPOSIT,,,,,,,,,,,,
P.36_NO. 8,SELANGOR,P.36,SETAPAK,NO. 8,SENTUL,SF - PRM,,10513,552,59.84,6291,,65,6226,MIC,DEVAKI KRISHNAN,FEMALE,35,2413,,PRM,NAZAR NONG,MALE,31,2965,,PMIP,ABDUL AZIZ BIN ISMAIL,MALE,,848,,,,,,,,,,,,,,,,,,,,,,,,,
P.37_NO. 9,SELANGOR,P.37,ULU SELANGOR,NO. 9,ULU BERNAM,ALLIANCE - UMNO,,6280,1637,85.08,5343,,196,5147,UMNO,HAJI NOR BIN HAJI YUSOF,MALE,,3392,,PRM,ABDULLAH BIN HAJI ZAINAL,MALE,,1755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.37_NO. 10,SELANGOR,P.37,ULU SELANGOR,NO. 10,KUALA KUBU,ALLIANCE - MCA,Y,7270,,,,,,,MCA,WONG SWEE SOON,MALE,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.38_NO. 11,SELANGOR,P.38,RAWANG,NO. 11,SERENDAH,INDEPENDENT,,7567,1566,78.27,5923,,125,5798,MIC,G LEO,MALE,,2116,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,V. RAJA,MALE,,3682,,,,,,,
