UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,UNCONTESTED VICTORY,WINNING PARTY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLANCE CANDIDATE LOST DEPOSIT,SF,SF CANDIDATE,SF CANDIDATE SEX,SF CANDIDATE AGE,SF CANDIDATE VOTE,SF CANDIDATE LOST DEPOSIT,PMIP,PMIP CANDIDATE,PMIP CANDIDATE SEX,PMIP CANDIDATE AGE,PMIP VOTE,PMIP CANDIDATE LOST DEPOSIT,PPP,PPP CANDIDATE,PPP CANDIDATE SEX,PPP CANDIDATE AGE,PPP CANDIDATE VOTE,PPP CANDIDATE LOST DEPOSIT,OTHER PARTY,OTHER PARTY CANDIDATE,OTHER PARTY CANDIDATE SEX,OTHER PARTY CANDIDATE AGE,OTHER PARTY CANDIDATE VOTE,OTHER PARTY CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.97_NO. 1,TRENGGANU,P.97,BESUT,NO. 1,KUALA BESUT,,PMIP,4835,245,70.11%,3390,,87,3303,UMNO,ABU BAKAR BIN AHMAD,MALE,,942,,PRM,WAN ALI BIN JUSOH,MALE,,1058,,PMIP,HAJI WAN SAID BIN HAJI MOHD. NOR,MALE,,1303,,,,,,,,,,,,,,,,,,,,,,,,,
P.97_NO. 2,TRENGGANU,P.97,BESUT,NO. 2,KAMPONG RAJA,,PMIP,3782,393,66.55%,2517,,86,2431,UMNO,WAN ISHAK BIN ALI,MALE,,677,,PRM,WAN ABDULLAH BIN MUSA,MALE,,379,,PMIP,MOHD. SENARI BIN YUNUS,MALE,,1070,,,,,,,,NEGARA,IDRIS BIN HASSAN,MALE,,305,LOST DEPOSIT,,,,,,,,,,,,
P.97_NO. 3,TRENGGANU,P.97,BESUT,NO. 3,ULU BESUT,,PMIP,4200,826,70.33%,2954,,116,2838,UMNO,ZAINAL ABIDIN BIN MOHAMED AMIN,MALE,,435,,PRM,IBRAHIM BIN ISMAIL,MALE,,702,,PMIP,HUSIN BIN JUSOH,MALE,,1528,,,,,,,,NEGARA,MOHD. FAUZI BIN HUSSAIN,MALE,,173,LOST DEPOSIT,,,,,,,,,,,,
P.97_NO. 4,TRENGGANU,P.97,BESUT,NO. 4,BESUT TENGAH,,PMIP,4250,1506,66.31%,2818,,101,2717,UMNO,CHE ISMAIL BIN YUSOF,MALE,,488,,,,,,,,PMIP,HAJI MOHAMAD BIN ISMAIL,MALE,,1994,,,,,,,,NEGARA,OMAR BIN AHMAD,MALE,,235,LOST DEPOSIT,,,,,,,,,,,,
P.97_NO. 5,TRENGGANU,P.97,BESUT,NO. 5,SETIU,,PMIP,4331,1353,72.64%,3146,,115,3031,UMNO,YUSOFF BIN MAT AMIN,MALE,,611,,PRM,ABDUL GHANI BIN SULONG,MALE,,376,LOST DEPOSIT,PMIP,MOHD. DAUD BIN ABDUL SAMAD,MALE,,1964,,,,,,,,NEGARA,CHE' MOHD. ZIN BIN HAJI MOHD. AMIN,MALE,,80,LOST DEPOSIT,,,,,,,,,,,,
P.98_NO. 6,TRENGGANU,P.98,KUALA TRENGGANU UTARA,NO. 6,BATU RAKIT,,ALLIANCE - UMNO,5763,1293,73.57%,4240,,151,4089,UMNO,MANSOR BIN MOHAMED,MALE,,2267,,PRM,MOHAMED AMIN BIN MOHAMED,MALE,,334,LOST DEPOSIT,PMIP,MOHD. RASHID BIN SU MAHMUD,MALE,,514,,,,,,,,NEGARA,HAJI ABDULLAH BIN BIDIN,MALE,,974,LOST DEPOSIT,,,,,,,,,,,,
P.98_NO. 7,TRENGGANU,P.98,KUALA TRENGGANU UTARA,NO. 7,KUALA NERUS,,ALLIANCE - UMNO,4921,299,76.10%,3745,,136,3609,UMNO,IBRAHIM FIKRI BIN MOHAMED,MALE,,1954,,,,,,,,PMIP,HAJI ABAS BIN HAJI MOHAMED,MALE,,1655,,,,,,,,,,,,,,,,,,,,,,,,,
P.98_NO. 8,TRENGGANU,P.98,KUALA TRENGGANU UTARA,NO. 8,JERAM,,PMIP,4853,506,75.19%,3649,,161,3488,UMNO,MOHAMED SAID BIN ABDULLAH,MALE,,1270,,,,,,,,PMIP,AHMAD BIN NAPIAH (AHMAD AZZAM),MALE,,1776,,,,,,,,NEGARA,SYED SALLEH BIN MUSTAFA,MALE,,442,,,,,,,,,,,,,
P.98_NO. 9,TRENGGANU,P.98,KUALA TRENGGANU UTARA,NO. 9,LANGKAP,,NEGARA,4457,136,68.57%,3056,,217,2839,UMNO,ABDUL RAHMAN BIN LONG,MALE,,774,,,,,,,,PMIP,NGAH BIN AWANG,MALE,,685,,,,,,,,NEGARA,ISMAIL BIN ABBAS,MALE,,910,,INDEPENDENT - KEY,ABDUL RASHID BIN HUSSIN,MALE,,470,,,,,,,
P.99_NO. 10,TRENGGANU,P.99,KUALA TRENGGANU SELATAN,NO. 10,BANDAR,,ALLIANCE - MCA,4546,918,67.11%,3051,,45,3006,MCA,TANG ENG ANN,MALE,,1628,,,,,,,,PMIP,MOHAMED BIN CHIK,MALE,,710,,,,,,,,,,,,,,INDEPENDENT - BELL,HARUN BIN MOHD HASSAN,MALE,,668,,,,,,,
