UNIQUE CODE (1959),STATE (1959),PARLIAMENTARY CONSTITUENCY CODE (1959),PARLIAMENTARY CONSTITUENCY NAME (1959),UNIQUE CODE (1962),PARLIAMENTARY CONSTITUENCY CODE (1962),PARLIAMENTARY CONSTITUENCY NAME (1962),PARLIAMENTARY NAME CHANGE,NOTES
P.1,PENANG,P.1,BAGAN,P. 31,P. 31,BAGAN,,
P.2,PENANG,P.2,SEBERANG UTARA,P. 38,P. 38,SEBERANG UTARA,,
P.3,PENANG,P.3,SEBERANG TENGAH,P. 32,P. 32,SEBERANG TENGAH,,
P.4,PENANG,P.4,SEBERANG SELATAN,P. 33,P. 33,SEBERANG SELATAN,,
P.5,PENANG,P.5,TANJONG,P. 36,P. 36,TANJONG,,
P.6,PENANG,P.6,DATO KRAMAT,P. 37,P. 37,DATO KRAMAT,,
P.7,PENANG,P.7,PENANG UTARA,P. 34,P. 34,PENANG UTARA,,
P.8,PENANG,P.8,PENANG SELATAN,P. 35,P. 35,PENANG SELATAN,,
P.9,MALACCA,P.9,BANDAR MALACCA,P. 86,P. 86,BANDAR MALACCA,,
P.10,MALACCA,P.10,MALACCA TENGAH,P. 85,P. 85,MALACCA TENGAH,,
P.11,MALACCA,P.11,MALACCA UTARA,P. 87,P. 87,MALACCA UTARA,,
P.12,MALACCA,P.12,MALACCA SELATAN,P. 88,P. 88,MALACCA SELATAN,,
P.13,PERAK,P.13,KRIAN LAUT,P. 41,P. 41,KRIAN LAUT,,
P.14,PERAK,P.14,KRIAN DARAT,P. 42,P. 42,KRIAN DARAT,,
P.15,PERAK,P.15,BATANG PADANG,P. 58,P. 58,BATANG PADANG,,
P.16,PERAK,P.16,TANJONG MALIM,P. 55,P. 55,TANJONG MALIM,,
P.17,PERAK,P.17,LARUT UTARA,P. 40,P. 40,LARUT UTARA,,
P.18,PERAK,P.18,LARUT SELATAN,P. 43,P. 43,LARUT SELATAN,,
P.19,PERAK,P.19,BRUAS,P. 48,P. 48,BRUAS,,
P.20,PERAK,P.20,SITIAWAN,P. 49,P. 49,SITIAWAN,,
P.21,PERAK,P.21,ULU PERAK,P. 39,P. 39,ULU PERAK,,
P.22,PERAK,P.22,KUALA KANGSAR,P. 45,P. 45,KUALA KANGSAR,,
P.23,PERAK,P.23,PARIT,P. 47,P. 47,PARIT,,
P.24,PERAK,P.24,HILIR PERAK,P. 44,P. 44,HILIR PERAK,,
P.25,PERAK,P.25,BAGAN DATOH,P. 57,P. 57,BAGAN DATOH,,
P.26,PERAK,P.26,TELOK ANSON,P. 56,P. 56,TELOK ANSON,,
P.27,PERAK,P.27,IPOH,P. 50,P. 50,IPOH,,
P.28,PERAK,P.28,MENGLEMBU,P. 51,P. 51,MENGLEMBU,,
P.29,PERAK,P.29,SUNGEI SIPUT,P. 46,P. 46,SUNGEI SIPUT,,
P.30,PERAK,P.30,ULU KINTA,P. 52,P. 52,ULU KINTA,,
P.31,PERAK,P.31,BATU GAJAH,P. 53,P. 53,BATU GAJAH,,
P.32,PERAK,P.32,KAMPAR,P. 54,P. 54,KAMPAR,,
P.33,SELANGOR,P.33,BATU,P. 66,P. 66,BATU,,
P.34,SELANGOR,P.34,BUNGSAR,P. 71,P. 71,BUNGSAR,,
P.35,SELANGOR,P.35,BUKIT BINTANG,P. 72,P. 72,BUKIT BINTANG,,
P.36,SELANGOR,P.36,SETAPAK,P. 70,P. 70,SETAPAK,,
P.37,SELANGOR,P.37,ULU SELANGOR,P. 78,P. 78,ULU SELANGOR,,
P.38,SELANGOR,P.38,RAWANG,P. 68,P. 68,RAWANG,,
P.39,SELANGOR,P.39,SABAK BERNAM,P. 77,P. 77,SABAK BERNAM,,
P.40,SELANGOR,P.40,KUALA SELANGOR,P. 65,P. 65,KUALA SELANGOR,,
P.41,SELANGOR,P.41,LANGAT,P. 69,P. 69,LANGAT,,
P.42,SELANGOR,P.42,SEPANG,P. 76,P. 76,SEPANG,,
P.43,SELANGOR,P.43,KLANG,P. 74,P. 74,KLANG,,
P.44,SELANGOR,P.44,KUALA LANGAT,P. 75,P. 75,KUALA LANGAT,,
P.45,SELANGOR,P.45,KAPAR,P. 67,P. 67,KAPAR,,
P.46,SELANGOR,P.46,DAMANSARA,P. 73,P. 73,DAMANSARA,,
P.47,NEGRI SEMBILAN,P.47,JELEBU-JEMPOL,P. 83,P. 83,JELEBU - JEMPOL,,
P.48,NEGRI SEMBILAN,P.48,KUALA PILAH,P. 79,P. 79,KUALA PILAH,,
P.49,NEGRI SEMBILAN,P.49,PORT DICKSON,P. 82,P. 82,PORT DICKSON,,
P.50,NEGRI SEMBILAN,P.50,REMBAU-TAMPIN,P. 81,P. 81,REMBAU - TAMPIN,,
P.51,NEGRI SEMBILAN,P.51,SEREMBAN BARAT,P. 84,P. 84,SEREMBAN BARAT,,
P.52,NEGRI SEMBILAN,P.52,SEREMBAN TIMOR,P. 80,P. 80,SEREMBAN TIMOR,,
P.53,PAHANG,P.53,LIPIS,P. 64,P. 64,LIPIS,,
P.54,PAHANG,P.54,RAUB,P. 59,P. 59,RAUB,,
P.55,PAHANG,P.55,BENTONG,P. 60,P. 60,BENTONG,,
P.56,PAHANG,P.56,TEMERLOH,P. 63,P. 63,TEMERLOH,,
P.57,PAHANG,P.57,KUANTAN,P. 61,P. 61,KUANTAN,,
P.58,PAHANG,P.58,PEKAN,P. 62,P. 62,PEKAN,,
P.59,JOHORE,P.59,JOHORE TIMOR,P. 102,P. 102,JOHORE TIMOR,,
P.60,JOHORE,P.60,JOHORE TENGGARA,P. 96,P. 96,JOHORE TENGGARA,,
P.61,JOHORE,P.61,JOHORE BAHRU TIMOR,P. 100,P. 100,JOHORE BAHRU TIMOR,,
P.62,JOHORE,P.62,JOHORE BAHRU BARAT,P. 101,P. 101,JOHORE BAHRU BARAT,,
P.63,JOHORE,P.63,PONTIAN SELATAN,P. 98,P. 98,PONTIAN SELATAN,,
P.64,JOHORE,P.64,PONTIAN UTARA,P. 97,P. 97,PONTIAN UTARA,,
P.65,JOHORE,P.65,KLUANG SELATAN,P. 99,P. 99,KLUANG SELATAN,,
P.66,JOHORE,P.66,KLUANG UTARA,P. 95,P. 95,KLUANG UTARA,,
P.67,JOHORE,P.67,BATU PAHAT,P. 93,P. 93,BATU PAHAT,,
P.68,JOHORE,P.68,BATU PAHAT DALAM,P. 94,P. 94,BATU PAHAT DALAM,,
P.69,JOHORE,P.69,MUAR SELATAN,P. 92,P. 92,MUAR SELATAN,,
P.70,JOHORE,P.70,MUAR PANTAI,P. 91,P. 91,MUAR PANTAI,,
P.71,JOHORE,P.71,MUAR UTARA,P. 104,P. 104,MUAR UTARA,,
P.72,JOHORE,P.72,MUAR DALAM,P. 89,P. 89,MUAR DALAM,,
P.73,JOHORE,P.73,SEGAMAT UTARA,P. 103,P. 103,SEGAMAT UTARA,,
P.74,JOHORE,P.74,SEGAMAT SELATAN,P. 90,P. 90,SEGAMAT SELATAN,,
P.75,KEDAH,P.75,ALOR STAR,P. 6,P. 6,ALOR STAR,,
P.76,KEDAH,P.76,KUALA KEDAH,P. 7,P. 7,KUALA KEDAH,,
P.77,KEDAH,P.77,KOTA STAR UTARA,P. 5,P. 5,KOTA STAR UTARA,,
P.78,KEDAH,P.78,KOTA STAR SELATAN,P. 8,P. 8,KOTA STAR SELATAN,,
P.79,KEDAH,P.79,KUBANG PASU BARAT,P. 4,P. 4,KUBANG PASU BARAT,,
P.80,KEDAH,P.80,JITRA-PADANG TERAP,P. 3,P. 3,JITRA - PADANG TERAP,,
P.81,KEDAH,P.81,JERAI,P. 10,P. 10,JERAI,,
P.82,KEDAH,P.82,KEDAH TENGAH,P. 9,P. 9,KEDAH TENGAH,,
P.83,KEDAH,P.83,SUNGEI PATANI,P. 12,P. 12,SUNGEI PATANI,,
P.84,KEDAH,P.84,BALING,P. 11,P. 11,BALING,,
P.85,KEDAH,P.85,KULIM UTARA,P. 13,P. 13,KULIM UTARA,,
P.86,KEDAH,P.86,KULIM-BANDAR BAHRU,P. 14,P. 14,KULIM - BANDAR BAHRU,,
P.87,KELANTAN,P.87,ULU KELANTAN,P. 24,P. 24,ULU KELANTAN,,
P.88,KELANTAN,P.88,TANAH MERAH,P. 23,P. 23,TANAH MERAH,,
P.89,KELANTAN,P.89,PASIR PUTEH,P. 22,P. 22,PASIR PUTEH,,
P.90,KELANTAN,P.90,BACHOK,P. 19,P. 19,BACHOK,,
P.91,KELANTAN,P.91,PASIR MAS HILIR,P. 17,P. 17,PASIR MAS HILIR,,
P.92,KELANTAN,P.92,PASIR MAS HULU,P. 21,P. 21,PASIR MAS HULU,,
P.93,KELANTAN,P.93,TUMPAT,P. 15,P. 15,TUMPAT,,
P.94,KELANTAN,P.94,KELANTAN HILIR,P. 16,P. 16,KELANTAN HILIR,,
P.95,KELANTAN,P.95,KOTA BHARU HILIR,P. 18,P. 18,KOTA BHARU HILIR,,
P.96,KELANTAN,P.96,KOTA BHARU HULU,P. 20,P. 20,KOTA BHARU HULU,,
P.97,TRENGGANU,P.97,BESUT,P. 25,P. 25,BESUT,,
P.98,TRENGGANU,P.98,KUALA TRENGGANU UTARA,P. 26,P. 26,KUALA TRENGGANU UTARA,,
P.99,TRENGGANU,P.99,KUALA TRENGGANU SELATAN,P. 27,P. 27,KUALA TRENGGANU SELATAN,,
P.100,TRENGGANU,P.100,TRENGGANU TENGAH,P. 30,P. 30,TRENGGANU TENGAH,,
P.101,TRENGGANU,P.101,DUNGUN,P. 28,P. 28,DUNGUN,,
P.102,TRENGGANU,P.102,KEMAMAN,P. 29,P. 29,KEMAMAN,,
P.103,PERLIS,P.103,PERLIS UTARA,P. 1,P. 1,PERLIS UTARA,,
P.104,PERLIS,P.104,PERLIS SELATAN,P. 2,P. 2,PERLIS SELATAN,,
