UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLIANCE CANDIDATE LOST DEPOSIT,SF,SF CANDIDATE,SF CANDIDATE SEX,SF CANDIDATE AGE,SF VOTE,SF CANDIDATE LOST DEPOSIT,PMIP,PMIP CANDIDATE,PMIP CANDIDATE SEX,PMIP CANDIDATE AGE,PMIP VOTE,PMIP CANDIDATE LOST DEPOSIT,UDP,UDP CANDIDATE,UDP CANDIDATE SEX,UDP CANDIDATE AGE,UDP VOTE,UDP CANDIDATE LOST DEPOSIT,PPP,PPP CANDIDATE,PPP CANDIDATE SEX,PPP CANDIDATE AGE,PPP VOTE,PPP CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.1_S.1,PERLIS,P.1,PERLIS UTARA,S.1,KAKI BUKIT,ALLIANCE - MCA,,5316,1830,77.60,4125,199,3926,MCA,LOH AH TONG,MALE,,2878,,,,,,,,PMIP,ARIFFIN BIN JUSOH,MALE,,1048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.1_S.2,PERLIS,P.1,PERLIS UTARA,S.2,PAYA,ALLIANCE - UMNO,,4092,686,88.61,3626,140,3486,UMNO,CHE' YOOK @ CHE YOB BIN CHE' CHOH,MALE,,2004,,,,,,,,PMIP,HATUN BINTI OTHMANI,FEMALE,,1318,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BICYCLE,AHMAD BIN BAKAR,MALE,,164,LOST DEPOSIT,,,,,,
P.1_S.3,PERLIS,P.1,PERLIS UTARA,S.3,MATA AYER,ALLIANCE - UMNO,,3833,513,83.28,3192,229,2963,UMNO,ABDULLAH B. HAJI HASSAN,MALE,,1738,,,,,,,,PMIP,ISMAIL BIN MOHAMAD,MALE,,1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.1_S.4,PERLIS,P.1,PERLIS UTARA,S.4,BANDAR KANGAR,ALLIANCE - MCA,,2732,956,77.86,2127,77,2050,MCA,POR SWEE GIAP,MALE,,1503,,PRM,WAN KHAZIM B. WAN DIN,MALE,,547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.1_S.5,PERLIS,P.1,PERLIS UTARA,S.5,SENA,ALLIANCE - UMNO,,3166,612,84.52,2676,146,2530,UMNO,WAN AHMAD BIN HJ. WAN KASSIM,MALE,,1571,,,,,,,,PMIP,MAHMOOD BIN MD. NOOR,MALE,,959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.1_S.6,PERLIS,P.1,PERLIS UTARA,S.6,BINTONG,ALLIANCE - UMNO,,4240,856,87.05,3691,211,3480,UMNO,SYED OMAR BIN SYED HUSSIN,MALE,,2168,,,,,,,,PMIP,ABD. RAHMAN BIN HAMID,MALE,,1312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.2_S.7,PERLIS,P.2,PERLIS SELATAN,S.7,KURONG ANAI,ALLIANCE - UMNO,,3919,647,76.88,3013,194,2819,UMNO,HAJI WAN AHMAD B. WAN ABDULLAH,MALE,,1733,,,,,,,,PMIP,AHMAD BIN SALLEH,MALE,,1086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.2_S.8,PERLIS,P.2,PERLIS SELATAN,S.8,ARAU,ALLIANCE - UMNO,,4015,292,78.06,3134,164,2970,UMNO,TENGKU ADNAN B. TENGKU YAHYA,MALE,,1631,,,,,,,,PMIP,YAHYA BIN BAGINDA,MALE,,1339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.2_S.9,PERLIS,P.2,PERLIS SELATAN,S.9,HUTAN AJI,PMIP,,4007,253,82.23,3295,188,3107,UMNO,SYED DARUS BIN SYED HASHIM,MALE,,1427,,,,,,,,PMIP,TAHARIM BIN ARIFFIN,MALE,,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.2_S.10,PERLIS,P.2,PERLIS SELATAN,S.10,KAYANG,ALLIANCE - UMNO,,3717,586,80.28,2984,158,2826,UMNO,YUSOFF BIN ABU BAKAR,MALE,,1706,,,,,,,,PMIP,ABU BAKAR B. AWANG,MALE,,1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
