UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,UNCONTESTED VICTORY,WINNER,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLANCE CANDIDATE LOST DEPOSIT,SF,SF CANDIDATE,SF CANDIDATE SEX,SF CANDIDATE AGE,SF CANDIDATE VOTE,SF CANDIDATE LOST DEPOSIT,PMIP,PMIP CANDIDATE,PMIP CANDIDATE SEX,PMIP CANDIDATE AGE,PMIP VOTE,PMIP CANDIDATE LOST DEPOSIT,UDP,UDP CANDIDATE,UDP CANDIDATE SEX,UDP CANDIDATE AGE,UDP CANDIDATE VOTE,UDP CANDIDATE LOST DEPOSIT,PPP,PPP CANDIDATE,PPP CANDIDATE SEX,PPP CANDIDATE AGE,PPP CANDIDATE VOTE,PPP CANDIDATE LOST DEPOSIT,OTHER PARTY,OTHER PARTY CANDIDATE,OTHER PARTY CANDIDATE SEX,OTHER PARTY CANDIDATE AGE,OTHER PARTY CANDIDATE VOTE,OTHER PARTY CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.1,PERLIS,P.1,PERLIS UTARA,,ALLIANCE - UMNO,23379,6402,82.81%,19361,,721,18640,UMNO,OTHMAN BIN ABDULLAH,MALE,,12521,,,,,,,,PMIP,ISMAIL BIN MOHAMAD,MALE,,6119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.2,PERLIS,P.2,PERLIS SELATAN,,ALLIANCE - UMNO,23112,3236,80.39%,18579,,843,17736,UMNO,HAJI MOKHTAR BIN HAJI ISMAIL,MALE,,10486,,,,,,,,PMIP,HAJI YUSOF BIN HJ. ABDULLAH,MALE,,7250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.3,KEDAH,P.3,JITRA-PADANG TERAP,,ALLIANCE - UMNO,29464,9730,78.12%,23017,,1077,21940,UMNO,DATIN FATIMAH BINTI HAJI HASHIM,FEMALE,47,15835,,,,,,,,PMIP,L. ISA BIN HJ. MAHAMAD,MALE,,6105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.4,KEDAH,P.4,KUBANG PASU BARAT,,ALLIANCE - UMNO,22351,3376,77.00%,17211,,703,16508,UMNO,SENU BIN ABDUL RAHMAN,MALE,45,9942,,,,,,,,PMIP,HAJI BAKAR BIN H. HANAFIAH,MALE,,6566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.5,KEDAH,P.5,KOTA STAR UTARA,,ALLIANCE - UMNO,23982,4925,81.74%,19604,,835,18769,UMNO,HAJI ABDUL KHALID,MALE,,11847,,,,,,,,PMIP,ABU BAKAR BIN UMAR,MALE,,6922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.6,KEDAH,P.6,ALOR STAR,,ALLIANCE - MCA,33758,11141,69.81%,23566,,767,22799,MCA,LIM PEE HUNG,MALE,,14749,,LPM,TEOH AH THOW,MALE,,1747,LOST DEPOSIT,PMIP,SYED SALIM BIN SYED HAMID AL-IDRUS,MALE,,3608,,UDP,GEH TENG KHENG,MALE,,2695,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.7,KEDAH,P.7,KUALA KEDAH,,ALLIANCE - UMNO,29872,11647,78.95%,23585,,1014,22571,UMNO,TUNKU ABDUL RAHMAN PUTRA AL-HAJ,MALE,61,17109,,,,,,,,PMIP,MUSTAFFA BIN MOHD. SAID,MALE,,5462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.8,KEDAH,P.8,KOTA STAR SELATAN,,ALLIANCE - UMNO,25898,4210,82.79%,21440,,838,20602,UMNO,DR MAHATHIR BIN MOHAMAD,MALE,39,12406,,,,,,,,PMIP,MOHD. SHAARI BIN HAJI ABD. SHUKOR,MALE,,8196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.9,KEDAH,P.9,KEDAH TENGAH,,ALLIANCE - UMNO,29829,10680,74.72%,22289,,885,21404,UMNO,KHIR JOHARI,MALE,43,16042,,,,,,,,PMIP,HAJI HUSSIN CHE DOL,MALE,,5362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.10,KEDAH,P.10,JERAI,,ALLIANCE - UMNO,28271,6917,77.07%,21788,,701,21087,UMNO,HANAFIAH HUSSAIN,MALE,37,14002,,,,,,,,PMIP,HAJI OTHMAN BIN HJ. YUNUS,MALE,,7085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
