Created on,1/1/2024
Created by,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA)
Sources,"Penyata pilehanraya-pilehanraya umum parlimen (Dewan Ra'ayat) dan dewan-dewan negeri, tahun 1964 bagi negeri-negeri Tanah Melayu by Election Commission of Malaysia (SPR), Tindak Malaysia (2022), singapore-elections.com. Refer to 1964_Other_Sources_File for more information"
Disclaimers,There may be discrepancies for the age of candidates as there is no official data released for the attribute.There may be a presence for missing data points for age attribute for candidates. Berita Harian of 24th March 1964 have undercounted women candidate presence. TindakMalaysia Network Services PLT is not responsible for any errors or ommissions arising from the original data or its derivatives
,
Attribute,
,
FIELD NAME,FIELD DESCRIPTION
UNIQUE CODE,Composite between Parliamentary Code and State Constituency Code
STATE,State Name
PARLIAMENTARY CODE,"Parliamentary Code (follow sequencing of Penyata pilehanraya-pilehanraya umum parlimen (Dewan Ra'ayat) dan dewan-dewan negeri, tahun 1964 bagi negeri-negeri Tanah Melayu)"
PARLIAMENTARY NAME,"Parliamentary Name (follow sequencing of Penyata pilehanraya-pilehanraya umum parlimen (Dewan Ra'ayat) dan dewan-dewan negeri, tahun 1964 bagi negeri-negeri Tanah Melayu)"
STATE CONSTITUENCY CODE,"State Constituency Code (follow sequencing of Penyata pilehanraya-pilehanraya umum parlimen (Dewan Ra'ayat) dan dewan-dewan negeri, tahun 1964 bagi negeri-negeri Tanah Melayu)"
STATE CONSTITUENCY NAME,"State Constituency Code Name (follow sequencing of Penyata pilehanraya-pilehanraya umum parlimen (Dewan Ra'ayat) dan dewan-dewan negeri, tahun 1964 bagi negeri-negeri Tanah Melayu)"
UNCONTESTED VICTORY,"Indicator if there was one contestant for the said election. If yes, value Y is affixed. If none, it is left blank"
WINNING PARTY,Party/Coalition (with Component Party) who won the seat
TOTAL ELECTORATE,Total Elector Count for the 1964 elections
WINNING MAJORITY,The difference between the highest valid votes and second highest valid votes
TURNOUT (%),Proportion of Total Ballots Issued as a share of Total Electorate
TOTAL BALLOTS ISSUED,Total number of ballot papers issued at the poll
TOTAL UNRETURNED BALLOTS,Total number of ballot papers issued but not put in the ballot box and not returned (no information is available)
TOTAL REJECTED VOTES,Total number of rejected ballot papers
TOTAL VALID VOTES,Total number of votes by electors
ALLIANCE,Alliance Component Party
ALLIANCE,Alliance Candidate Name as per the Ballot
ALLIANCE CANDIDATE GENDER,Male/Female Classification
ALLIANCE CANDIDATE AGE,Alliance Candidate
ALLIANCE VOTE,Alliance Valid Vote for the Candidate
ALLIANCE CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Loss Deposit' is affixed. If none, it is left blank"
SF,The Malayan People's Socialist Front (SF) Component Party
SF CANDIDATE,The Malayan People's Socialist Front Candidate Name as per the Ballot
SF CANDIDATE GENDER,Male/Female Classification
SF CANDIDATE AGE,Age of The Malayan People's Socialist Front Candidate
SF CANDIDATE VOTE,The Malayan People's Socialist Front Valid Vote for the Candidate
SF CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Loss Deposit' is affixed. If none, it is left blank"
PMIP,Pan Malayan Islamic Party (PMIP)
PMIP CANDIDATE,Pan Malayan Islamic Party Candidate Name as per the Ballot
PMIP CANDIDATE GENDER,Male/Female Classification
PMIP CANDIDATE AGE,Age of Pan Malayan Islamic Party Candidate
PMIP CANDIDATE VOTE,Pan Malayan Islamic Party Valid Vote for the Candidate
PMIP CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
UDP,United Democratic Party (UDP)
UDP CANDIDATE,United Democratic Party Candidate Name as per the Ballot
UDP CANDIDATE GENDER,Male/Female Classification
UDP CANDIDATE AGE,Age of United Democratic Party Candidate
UDP CANDIDATE VOTE,United Democratic Party Valid Vote for the Candidate
UDP CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
PPP,People's Progressive Party (PPP)
PPP CANDIDATE,People's Progressive Party Candidate Name as per the Ballot
PPP CANDIDATE GENDER,Male/Female Classification
PPP CANDIDATE AGE,Age of People's Progressive Party Candidate
PPP VOTE,People's Progressive Party Valid Vote for the Candidate
PPP CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
OTHER PARTY,Other Party Name
OTHER PARTY CANDIDATE,Other Party Candidate Name as per the Ballot
OTHER PARTY CANDIDATE GENDER,Male/Female Classification
OTHER PARTY CANDIDATE AGE,Age of Other Party Candidate
OTHER PARTY CANDIDATE VOTE,Party Valid Vote for the Other Party Candidate
OTHER PARTY CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
INDEPENDENT (1),Independent
INDEPENDENT (1) CANDIDATE,Independent Candidate Name as per the Ballot
INDEPENDENT (1) CANDIDATE GENDER,Male/Female Classification
INDEPENDENT (1) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (1) VOTE,Independent Valid Vote for the Candidate
INDEPENDENT (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
INDEPENDENT (2),Independent
