UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLIANCE CANDIDATE LOST DEPOSIT,SARAWAK ALLIANCE,SARAWAK ALLIANCE CANDIDATE,SARAWAK ALLIANCE CANDIDATE SEX,SARAWAK ALLIANCE CANDIDATE AGE,SARAWAK ALLIANCE VOTE,SARAWAK ALLIANCE CANDIDATE LOST DEPOSIT,PMIP,PMIP CANDIDATE,PMIP CANDIDATE SEX,PMIP CANDIDATE AGE,PMIP VOTE,PMIP CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,OTHER PARTY (4),OTHER PARTY (4) CANDIDATE,OTHER PARTY (4) CANDIDATE SEX,OTHER PARTY (4) CANDIDATE AGE,OTHER PARTY (4) VOTE,OTHER PARTY (4) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
P.1_S.1,PERLIS,P.1,PERLIS UTARA,S.1,KAKI BUKIT,ALLIANCE - MCA,,6376,1090,76.71,4891,334,4557,MCA,LOH AH TONG,MALE,,2629,,,,,,,,PMIP,MUSTAFFA BIN AHMAD,MALE,,1539,,PRM,CHE MAHMUD BIN CHE MAN,MALE,,389,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.1_S.2,PERLIS,P.1,PERLIS UTARA,S.2,PAYA,ALLIANCE - UMNO,,4887,108,85,4154,232,3922,UMNO,CHE YOOK @ CHE YOB BIN CHE CHOH,MALE,,1922,,,,,,,,PMIP,AHMAD BIN L. IBRAHIM,MALE,,1814,,PRM,ABDULLAH BIN TALIB,MALE,,186,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.1_S.3,PERLIS,P.1,PERLIS UTARA,S.3,MATA AYER,ALLIANCE - UMNO,,4425,51,82.21,3638,220,3418,UMNO,ABDULLAH BIN HAJI HASSAN,MALE,,1623,,,,,,,,PMIP,AMIN BIN ISHAK,MALE,,1572,,PRM,WAN KHAZIM @ WAN HUSSIN BIN WAN DIN,MALE,,223,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.1_S.4,PERLIS,P.1,PERLIS UTARA,S.4,BANDAR KANGAR,ALLIANCE - MCA,,3269,1285,74.7,2442,157,2285,MCA,QUAH CHOOI TONG,MALE,,1785,,,,,,,,PMIP,ISMAIL BIN AHMAD,MALE,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.1_S.5,PERLIS,P.1,PERLIS UTARA,S.5,SENA,ALLIANCE - UMNO,,3827,204,84.06,3217,233,2984,UMNO,WAN AHMAD BIN HAJI WAN KASSIM,MALE,,1594,,,,,,,,PMIP,MAHAMOOD BIN HAJI MOHD. NOOR,MALE,,1390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.1_S.6,PERLIS,P.1,PERLIS UTARA,S.6,BINTONG,ALLIANCE - UMNO,,5148,236,85.06,4379,327,4052,UMNO,SYED OMAR BIN SYED HUSSIN,MALE,,2144,,,,,,,,PMIP,YUSOF BIN OSMAN,MALE,,1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.2_S.7,PERLIS,P.2,PERLIS SELATAN,S.7,KURONG ANAI,ALLIANCE - UMNO,,4900,312,77.45,3795,322,3473,UMNO,HAJI WAN AHMAD BIN WAN ABDULLAH,MALE,,1824,,,,,,,,PMIP,LEBAI SALEH BIN CHE MAT,MALE,,1512,,PRM,OMAR BIN ISMAIL,MALE,,137,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.2_S.8,PERLIS,P.2,PERLIS SELATAN,S.8,ARAU,PMIP,,4967,203,76.55,3802,191,3611,UMNO,ISMAIL BIN SHEIK IBRAHIM,MALE,,1704,,,,,,,,PMIP,HUSSAIN BIN ABD. RAHMAN,MALE,,1907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.2_S.9,PERLIS,P.2,PERLIS SELATAN,S.9,HUTAN AJI,ALLIANCE - UMNO,,4839,16,81.34,3936,216,3720,UMNO,SYED DARUS BIN SYED HASHIM,MALE,,1868,,,,,,,,PMIP,TAHARIM BIN ARRIFIN,MALE,,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.2_S.10,PERLIS,P.2,PERLIS SELATAN,S.10,KAYANG,ALLIANCE - UMNO,,4625,254,76.71,3548,192,3356,UMNO,YUSOFF BIN ABU BAKAR,MALE,,1805,,,,,,,,PMIP,YAHYA BIN BAGINDA,MALE,,1551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
