UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLIANCE CANDIDATE LOST DEPOSIT,SABAH ALLIANCE,SABAH ALLIANCE CANDIDATE,SABAH ALLIANCE CANDIDATE SEX,SABAH ALLIANCE CANDIDATE AGE,SABAH ALLIANCE VOTE,SABAH ALLIANCE CANDIDATE LOST DEPOSIT,SARAWAK ALLIANCE,SARAWAK ALLIANCE CANDIDATE,SARAWAK ALLIANCE CANDIDATE SEX,SARAWAK ALLIANCE CANDIDATE AGE,SARAWAK ALLIANCE VOTE,SARAWAK ALLIANCE CANDIDATE LOST DEPOSIT,PMIP,PMIP CANDIDATE,PMIP CANDIDATE SEX,PMIP CANDIDATE AGE,PMIP VOTE,PMIP CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
P.1,PERLIS,P.1,PERLIS UTARA,ALLIANCE - UMNO,,27932,2706,82.8,22711,981,21730,UMNO,OTHMAN BIN ABDULLAH,MALE,,10763,,,,,,,,,,,,,,PMIP,TAHARIM BIN ARIFFIN,MALE,55,8057,,,,,,,,P.R.,KASSIM BIN AHMAD,MALE,36,2910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.2,PERLIS,P.2,PERLIS SELATAN,ALLIANCE - UMNO,,28128,1203,79.2,22271,610,21661,UMNO,HAJI MOKHTAR BIN HAJI ISMAIL,MALE,,11432,,,,,,,,,,,,,,PMIP,ABU BAKAR BIN HAMZAH,MALE,44,10229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.3,KEDAH,P.3,JITRA - PADANG TERAP,ALLIANCE - UMNO,,35697,3550,78.2,27926,1186,26740,UMNO,TAN SRI FATIMAH,FEMALE,43,15145,,,,,,,,,,,,,,PMIP,SALMAH BINTI SHEIKH HUSSAIN,FEMALE,39,11595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.4,KEDAH,P.4,KUBANG PASU BARAT,PMIP,,27275,88,75.8,20675,589,20086,UMNO,SENU BIN ABDUL RAHMAN,MALE,50,9999,,,,,,,,,,,,,,PMIP,ABU BAKAR BIN UMAR,MALE,,10087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.5,KEDAH,P.5,KOTA STAR UTARA,PMIP,,29646,1689,79.2,23468,805,22663,UMNO,MOHAMED ZAHIR BIN HAJI ISMAIL,MALE,39,10487,,,,,,,,,,,,,,PMIP,HAJI MAWARDI BIN LEBAI TEH,MALE,,12176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.6,KEDAH,P.6,ALOR STAR,ALLIANCE - MCA,,38631,473,65.7,25396,579,24817,MCA,LIM PEE HUNG,MALE,42,9016,,,,,,,,,,,,,,PMIP,HARON BIN OMAR,MALE,,7258,,GERAKAN,GEH TENG KHENG,MALE,49,8543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.7,KEDAH,P.7,KUALA KEDAH,ALLIANCE - UMNO,,36874,3504,77.1,28419,987,27432,UMNO,TUNKU ABDUL RAHMAN PUTRA AL-HAJ,MALE,66,15468,,,,,,,,,,,,,,PMIP,ABDUL AZIZ BIN ABDULLAH,MALE,35,11964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.8,KEDAH,P.8,KOTA STAR SELATAN,PMIP,,31995,989,80.3,25680,627,25053,UMNO,DR MAHATHIR BIN MOHAMED,MALE,44,12032,,,,,,,,,,,,,,PMIP,HAJI YUSOF RAWA,MALE,47,13021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.9,KEDAH,P.9,KEDAH TENGAH,ALLIANCE - UMNO,,35302,2375,75.6,26677,1136,25541,UMNO,MOHAMED KHIR JOHARI,MALE,46,13958,,,,,,,,,,,,,,PMIP,AHMAD BIN OTHMAN,MALE,28,11583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.10,KEDAH,P.10,JERAI,ALLIANCE - UMNO,,31829,2768,76.4,24333,737,23596,UMNO,HANAFIAH HUSSEIN,MALE,42,13182,,,,,,,,,,,,,,PMIP,ABDUL RASHID BIN ABDUL RAZAL AFANDI,MALE,,10414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
