UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,AREA (SQ KM),NOTES
P. 1,PERLIS,P. 1,PERLIS UTARA,502.49,Computed using Tindak Malaysia's electoral boundary files
P. 2,PERLIS,P. 2,PERLIS SELATAN,317.90,Computed using Tindak Malaysia's electoral boundary files
P. 3,KEDAH,P. 3,JITRA - PADANG TERAP,2008.69,Computed using Tindak Malaysia's electoral boundary files
P. 4,KEDAH,P. 4,KUBANG PASU BARAT,299.01,Computed using Tindak Malaysia's electoral boundary files
P. 5,KEDAH,P. 5,KOTA STAR UTARA,457.85,Computed using Tindak Malaysia's electoral boundary files
P. 6,KEDAH,P. 6,ALOR STAR,84.43,Computed using Tindak Malaysia's electoral boundary files
P. 7,KEDAH,P. 7,KUALA KEDAH,646.61,Computed using Tindak Malaysia's electoral boundary files
P. 8,KEDAH,P. 8,KOTA STAR SELATAN,583.03,Computed using Tindak Malaysia's electoral boundary files
P. 9,KEDAH,P. 9,KEDAH TENGAH,1971.11,Computed using Tindak Malaysia's electoral boundary files
P. 10,KEDAH,P. 10,JERAI,362.46,Computed using Tindak Malaysia's electoral boundary files
P. 11,KEDAH,P. 11,BALING,1261.10,Computed using Tindak Malaysia's electoral boundary files
P. 12,KEDAH,P. 12,SUNGEI PATANI,388.83,Computed using Tindak Malaysia's electoral boundary files
P. 13,KEDAH,P. 13,KULIM UTARA,753.94,Computed using Tindak Malaysia's electoral boundary files
P. 14,KEDAH,P. 14,KULIM - BANDAR BAHRU,668.11,Computed using Tindak Malaysia's electoral boundary files
P. 15,KELANTAN,P. 15,TUMPAT,166.63,Computed using Tindak Malaysia's electoral boundary files
P. 16,KELANTAN,P. 16,KELANTAN HILIR,132.96,Computed using Tindak Malaysia's electoral boundary files
P. 17,KELANTAN,P. 17,PASIR MAS HILIR,178.70,Computed using Tindak Malaysia's electoral boundary files
P. 18,KELANTAN,P. 18,KOTA BHARU HILIR,64.23,Computed using Tindak Malaysia's electoral boundary files
P. 19,KELANTAN,P. 19,BACHOK,282.40,Computed using Tindak Malaysia's electoral boundary files
P. 20,KELANTAN,P. 20,KOTA BHARU HULU,246.87,Computed using Tindak Malaysia's electoral boundary files
P. 21,KELANTAN,P. 21,PASIR MAS HULU,471.03,Computed using Tindak Malaysia's electoral boundary files
P. 22,KELANTAN,P. 22,PASIR PUTEH,405.16,Computed using Tindak Malaysia's electoral boundary files
P. 23,KELANTAN,P. 23,TANAH MERAH,1705.83,Computed using Tindak Malaysia's electoral boundary files
P. 24,KELANTAN,P. 24,ULU KELANTAN,11421.06,Computed using Tindak Malaysia's electoral boundary files
P. 25,TRENGGANU,P. 25,BESUT,1977.56,Computed using Tindak Malaysia's electoral boundary files
P. 26,TRENGGANU,P. 26,KUALA TRENGGANU UTARA,1107.75,Computed using Tindak Malaysia's electoral boundary files
P. 27,TRENGGANU,P. 27,KUALA TRENGGANU SELATAN,59.91,Computed using Tindak Malaysia's electoral boundary files
P. 28,TRENGGANU,P. 28,DUNGUN,1323.78,Computed using Tindak Malaysia's electoral boundary files
P. 29,TRENGGANU,P. 29,KEMAMAN,4514.84,Computed using Tindak Malaysia's electoral boundary files
P. 30,TRENGGANU,P. 30,TRENGGANU TENGAH,4032.78,Computed using Tindak Malaysia's electoral boundary files
P. 31,PENANG,P. 31,BAGAN,34.86,Computed using Tindak Malaysia's electoral boundary files
P. 32,PENANG,P. 32,SEBERANG TENGAH,231.46,Computed using Tindak Malaysia's electoral boundary files
P. 33,PENANG,P. 33,SEBERANG SELATAN,240.44,Computed using Tindak Malaysia's electoral boundary files
P. 34,PENANG,P. 34,PENANG UTARA,135.77,Computed using Tindak Malaysia's electoral boundary files
P. 35,PENANG,P. 35,PENANG SELATAN,149.59,Computed using Tindak Malaysia's electoral boundary files
P. 36,PENANG,P. 36,TANJONG,2.97,Computed using Tindak Malaysia's electoral boundary files
P. 37,PENANG,P. 37,DATO KRAMAT,3.35,Computed using Tindak Malaysia's electoral boundary files
P. 38,PENANG,P. 38,SEBERANG UTARA,232.83,Computed using Tindak Malaysia's electoral boundary files
P. 39,PERAK,P. 39,ULU PERAK,6726.95,Computed using Tindak Malaysia's electoral boundary files
P. 40,PERAK,P. 40,LARUT UTARA,1165.02,Computed using Tindak Malaysia's electoral boundary files
P. 41,PERAK,P. 41,KRIAN LAUT,199.20,Computed using Tindak Malaysia's electoral boundary files
P. 42,PERAK,P. 42,KRIAN DARAT,744.21,Computed using Tindak Malaysia's electoral boundary files
P. 43,PERAK,P. 43,LARUT SELATAN,479.69,Computed using Tindak Malaysia's electoral boundary files
P. 44,PERAK,P. 44,HILIR PERAK,625.06,Computed using Tindak Malaysia's electoral boundary files
P. 45,PERAK,P. 45,KUALA KANGSAR,863.85,Computed using Tindak Malaysia's electoral boundary files
P. 46,PERAK,P. 46,SUNGEI SIPUT,1527.70,Computed using Tindak Malaysia's electoral boundary files
P. 47,PERAK,P. 47,PARIT,747.40,Computed using Tindak Malaysia's electoral boundary files
P. 48,PERAK,P. 48,BRUAS,1104.95,Computed using Tindak Malaysia's electoral boundary files
P. 49,PERAK,P. 49,SITIAWAN,585.05,Computed using Tindak Malaysia's electoral boundary files
P. 50,PERAK,P. 50,IPOH,38.69,Computed using Tindak Malaysia's electoral boundary files
P. 51,PERAK,P. 51,MENGLEMBU,43.91,Computed using Tindak Malaysia's electoral boundary files
P. 52,PERAK,P. 52,ULU KINTA,861.84,Computed using Tindak Malaysia's electoral boundary files
P. 53,PERAK,P. 53,BATU GAJAH,350.66,Computed using Tindak Malaysia's electoral boundary files
P. 54,PERAK,P. 54,KAMPAR,675.01,Computed using Tindak Malaysia's electoral boundary files
P. 55,PERAK,P. 55,TANJONG MALIM,1854.87,Computed using Tindak Malaysia's electoral boundary files
P. 56,PERAK,P. 56,TELOK ANSON,590.89,Computed using Tindak Malaysia's electoral boundary files
P. 57,PERAK,P. 57,BAGAN DATOH,896.81,Computed using Tindak Malaysia's electoral boundary files
P. 58,PERAK,P. 58,BATANG PADANG,880.13,Computed using Tindak Malaysia's electoral boundary files
P. 59,PAHANG,P. 59,RAUB,5017.59,Computed using Tindak Malaysia's electoral boundary files
P. 60,PAHANG,P. 60,BENTONG,2665.75,Computed using Tindak Malaysia's electoral boundary files
P. 61,PAHANG,P. 61,KUANTAN,2746.69,Computed using Tindak Malaysia's electoral boundary files
P. 62,PAHANG,P. 62,PEKAN,9919.91,Computed using Tindak Malaysia's electoral boundary files
P. 63,PAHANG,P. 63,TEMERLOH,4964.71,Computed using Tindak Malaysia's electoral boundary files
P. 64,PAHANG,P. 64,LIPIS,10710.66,Computed using Tindak Malaysia's electoral boundary files
P. 65,SELANGOR,P. 65,KUALA SELANGOR,1106.11,Computed using Tindak Malaysia's electoral boundary files
P. 66,SELANGOR,P. 66,BATU,226.96,Computed using Tindak Malaysia's electoral boundary files
P. 67,SELANGOR,P. 67,KAPAR,364.82,Computed using Tindak Malaysia's electoral boundary files
P. 68,SELANGOR,P. 68,RAWANG,780.66,Computed using Tindak Malaysia's electoral boundary files
P. 69,SELANGOR,P. 69,LANGAT,782.99,Computed using Tindak Malaysia's electoral boundary files
P. 70,SELANGOR,P. 70,SETAPAK,308.44,Computed using Tindak Malaysia's electoral boundary files
P. 71,SELANGOR,P. 71,BUNGSAR,62.10,Computed using Tindak Malaysia's electoral boundary files
