UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTAY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,SABAH ALLIANCE,SABAH ALLIANCE CANDIDATE,SABAH ALLIANCE CANDIDATE GENDER,SABAH ALLIANCE CANDIDATE AGE,SABAH ALLIANCE VOTE,SABAH ALLIANCE CANDIDATE LOST DEPOSIT
P.105_S1,SABAH,P.105,MARUDU,S1,KUDAT,SABAH ALLIANCE - USNO,Y,,,,,,,,USNO,DATU ABDUL SALAM BIN DATU HARUN,MALE,,,
P.105_S2,SABAH,P.105,MARUDU,S2,BENGKOKA-BANGGI,SABAH ALLIANCE - USNO,Y,,,,,,,,USNO,TUN DATU HAJI MUSTAPHA BIN DATU HARUN,MALE,53,,
P.106_S3,SABAH,P.106,BANDAU,S3,LANGKON,SABAH ALLIANCE - USNO,Y,,,,,,,,USNO,IDRUS MUSTAKIM,MALE,,,
P.106_S4,SABAH,P.106,BANDAU,S4,TANDEK,SABAH ALLIANCE - USNO,Y,,,,,,,,USNO,MAJUNING BIN MAJUN @ MOHD.OMAR,MALE,,,
P.107_S5,SABAH,P.107,KOTA BELUD,S5,USUKAN,SABAH ALLIANCE - USNO,Y,,,,,,,,USNO,TAN SRI MOHAMMAD SAID BIN KERUAK,MALE,45,,
P.107_S6,SABAH,P.107,KOTA BELUD,S6,SOROB,SABAH ALLIANCE - USNO,Y,,,,,,,,USNO,ISMAIL BIN GIMBAD,MALE,33,,
P.108_S7,SABAH,P.108,TUARAN,S7,SULAMAN,SABAH ALLIANCE - USNO,Y,,,,,,,,USNO,O.T. HAJI DAHLAN BIN HARUN,MALE,,,
P.108_S8,SABAH,P.108,TUARAN,S8,KIULU,SABAH ALLIANCE - USNO,Y,,,,,,,,USNO,PAYAR JUMAN,MALE,,,
P.109_S9,SABAH,P.109,JESSELTON,S9,JESSELTON BANDAR,SABAH ALLIANCE - SCA,Y,,,,,,,,SCA,DATO PANG TET TSHUNG,MALE,48,,
P.109_S10,SABAH,P.109,JESSELTON,S10,TANJONG ARU,SABAH ALLIANCE - USNO,Y,,,,,,,,USNO,HERMAN LUPING,MALE,34,,
P.110_S11,SABAH,P.110,PENAMPANG,S11,MOYOG,SABAH ALLIANCE - USNO,Y,,,,,,,,USNO,PETER JOINOD MOJUNTIN,MALE,32,,
