UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PSRM,PSRM CANDIDATE,PSRM CANDIDATE SEX,PSRM CANDIDATE AGE,PSRM VOTE,PSRM CANDIDATE LOST DEPOSIT,PEKEMAS,PEKEMAS CANDIDATE,PEKEMAS CANDIDATE SEX,PEKEMAS CANDIDATE AGE,PEKEMAS VOTE,PEKEMAS CANDIDATE LOST DEPOSIT,DAP,DAP CANDIDATE,DAP CANDIDATE SEX,DAP CANDIDATE AGE,DAP VOTE,DAP CANDIDATE LOST DEPOSIT,K.I.T.A,K.I.T.A CANDIDATE,K.I.T.A CANDIDATE SEX,K.I.T.A CANDIDATE AGE,K.I.T.A VOTE,K.I.T.A CANDIDATE LOST DEPOSIT,I.P.P.P,I.P.P.P. CANDIDATE,I.P.P.P. CANDIDATE SEX,I.P.P.P. CANDIDATE AGE,I.P.P.P VOTE,I.P.P.P CANDIDATE LOST DEPOSIT,SNAP,SNAP CANDIDATE,SNAP CANDIDATE SEX,SNAP CANDIDATE AGE,SNAP VOTE,SNAP CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P.1_N.1,PERLIS,P.1,KANGAR,N.1,TITI TINGGI,BN - MCA,,4362,1757,75.15,3278,209,3069,MCA,LEONG CHOON LING,MALE,,2413,,PSRM,NG CHENG FOO,MALE,,656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.1_N.2,PERLIS,P.1,KANGAR,N.2,CHUPING,BN - UMNO,,5321,1358,78.84,4195,325,3870,UMNO,AHMAD BIN HAJI SAID,MALE,,2470,,PSRM,MD. LIGUAN BIN DARUS,MALE,,288,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,YA BIN ALI,MALE,,1112,,,,,,,,,,,,,
P.1_N.3,PERLIS,P.1,KANGAR,N.3,BINTONG,BN - UMNO,,4941,2435,83.46,4124,331,3793,UMNO,JAAFAR BIN HASSAN,MALE,49,3114,,PSRM,SAAD BIN AHMAD,MALE,,679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.1_N.4,PERLIS,P.1,KANGAR,N.4,BANDAR KANGAR,BN - MCA,,5587,1494,78.25,4372,190,4182,MCA,TAN THEAN CHOO,MALE,,2363,,PSRM,WAN KHAZIM BIN WAN DIN,MALE,,869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,YEE KOK LIANG,MALE,,213,LOST DEPOSIT,INDEPENDENT - BOOK,IDRUS @ DARUS BIN OMAR,MALE,,737,,,,,,,
P.1_N.5,PERLIS,P.1,KANGAR,N.5,PAYA,BN - UMNO,Y,5891,,,,,,UMNO,MAHMUD BIN HJ. HASHIM,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.1_N.6,PERLIS,P.1,KANGAR,N.6,ORAN,BN - UMNO,,3154,456,80.94,2588,154,2434,UMNO,ABDULLAH B. HJ. HASSAN,MALE,,1418,,PSRM,AMIN BIN ISHAK,MALE,,35,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,OTHMAN BIN MAT,MALE,,962,,INDEPENDENT,AMIN BIN ISHAK,MALE,,19,LOST DEPOSIT,,,,,,
P.2_N.7,PERLIS,P.2,ARAU,N.7,KUALA PERLIS,BN - UMNO,,4720,781,76.82,3626,345,3281,UMNO,MD. NOOR BIN YUB,MALE,,2031,,PSRM,OSMAN BIN ABD. RAHMAN,MALE,,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.2_N.8,PERLIS,P.2,ARAU,N.8,KAYANG,BN - UMNO,,4668,886,73.8,3445,307,3138,UMNO,HAZIM BIN ABU BAKAR,MALE,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,AHMAD AMIN BIN IDNI,MALE,,1126,,,,,,,,,,,,,
P.2_N.9,PERLIS,P.2,ARAU,N.9,UTAN AJI,BN - UMNO,,4637,986,81.11,3761,365,3396,UMNO,SYED DARUS BIN SYED HASHIM,MALE,,2096,,PSRM,SAAD MAN,MALE,,1110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,YUSOF BIN OSMAN,MALE,,190,LOST DEPOSIT,,,,,,,,,,,,
P.2_N.10,PERLIS,P.2,ARAU,N.10,BANDAR ARAU,BN - PAS,,5086,2299,71.77,3650,321,3329,PAS,HUSSAIN BIN ABDUL RAHMAN,MALE,,2814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,ELIAS BIN ABU BAKAR,MALE,,515,,,,,,,,,,,,,
P.2_N.11,PERLIS,P.2,ARAU,N.11,KURONG ANAI,BN - UMNO,,5439,602,73.16,3979,475,3504,UMNO,HAJI WAN AHMAD BIN WAN ABDULLAH,MALE,,2053,,PSRM,AISHAH SALLEH,FEMALE,,1451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.2_N.12,PERLIS,P.2,ARAU,N.12,SANGLANG,BN - PAS,,4915,526,80.85,3974,282,3692,PAS,AHMAD BIN LONG,MALE,,2109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,ABU BAKAR BIN HAMZAH,MALE,,1583,,,,,,,,,,,,,
P.3_N.1,KEDAH,P.3,JERLUN-LANGKAWI,N.1,LANGKAWI,BN - UMNO,Y,10454,,,,,,UMNO,FADZIL BIN AHMAD,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.3_N.2,KEDAH,P.3,JERLUN-LANGKAWI,N.2,JERLUN,BN - UMNO,,20498,6393,57.55,11797,268,11529,UMNO,MAHAMUD B. ABDUL JALIL,MALE,,8961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,HASHIM BIN OSMAN,MALE,,2568,,,,,,,,,,,,,
P.4_N.3,KEDAH,P.4,KUBANG PASU,N.3,TUNJANG,BN - PAS,,17032,8653,72.77,12394,294,12100,PAS,ISMAIL HANAFI,MALE,,10207,,PSRM,KASSIM AHMAD,MALE,50,1554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TRACTOR,HAJI YUSOFF BIN HAJI ISAHAK,MALE,,339,LOST DEPOSIT,,,,,,,,,,,,
P.4_N.4,KEDAH,P.4,KUBANG PASU,N.4,JITRA,BN - UMNO,Y,16774,,,,,,UMNO,OSMAN @ MD. DAUD BIN AROFF,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.5_N.5,KEDAH,P.5,PADANG TERAP,N.5,KUALA NERANG,BN - UMNO,Y,13704,,,,,,UMNO,DATO' SYED AHMAD BIN SYED MAHMUD SHAHABUDIN,MALE,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.5_N.6,KEDAH,P.5,PADANG TERAP,N.6,POKOK SENA,BN - PAS,,15343,7813,72.88,11182,232,10950,PAS,OTHMAN MARZUKI,MALE,,9272,,PSRM,ABDUL RAHMAN BIN DAUD,MALE,,219,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,SALLEH BIN BAKAR,MALE,,1459,,,,,,,,,,,,,
P.6_N.7,KEDAH,P.6,KUALA KEDAH,N.7,ANAK BUKIT,BN - PAS,,16924,6202,68.43,11581,748,10833,PAS,USTAZ HAJI WAHAB,MALE,,7995,,PSRM,YAHAYA DARUS,MALE,,1793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BOOK,CU MID PADANG HANG,MALE,,1045,LOST DEPOSIT,,,,,,,,,,,,
