UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P.1_N.1,PERLIS,P.1,KANGAR,N.1,TITI TINGGI,BN - MCA,LEONG CHOON LING,MALE,,
P.1_N.2,PERLIS,P.1,KANGAR,N.2,CHUPING,BN - UMNO,AHMAD BIN HAJI SAID,MALE,,
P.1_N.3,PERLIS,P.1,KANGAR,N.3,BINTONG,BN - UMNO,JAAFAR BIN HASSAN,MALE,49,
P.1_N.4,PERLIS,P.1,KANGAR,N.4,BANDAR KANGAR,BN - MCA,TAN THEAN CHOO,MALE,,
P.1_N.5,PERLIS,P.1,KANGAR,N.5,PAYA,BN - UMNO,MAHMUD BIN HJ. HASHIM,MALE,,Y
P.1_N.6,PERLIS,P.1,KANGAR,N.6,ORAN,BN - UMNO,ABDULLAH B. HJ. HASSAN,MALE,,
P.2_N.7,PERLIS,P.2,ARAU,N.7,KUALA PERLIS,BN - UMNO,MD. NOOR BIN YUB,MALE,,
P.2_N.8,PERLIS,P.2,ARAU,N.8,KAYANG,BN - UMNO,HAZIM BIN ABU BAKAR,MALE,,
P.2_N.9,PERLIS,P.2,ARAU,N.9,UTAN AJI,BN - UMNO,SYED DARUS BIN SYED HASHIM,MALE,,
P.2_N.10,PERLIS,P.2,ARAU,N.10,BANDAR ARAU,BN - PAS,HUSSAIN BIN ABDUL RAHMAN,MALE,,
P.2_N.11,PERLIS,P.2,ARAU,N.11,KURONG ANAI,BN - UMNO,HAJI WAN AHMAD BIN WAN ABDULLAH,MALE,,
P.2_N.12,PERLIS,P.2,ARAU,N.12,SANGLANG,BN - PAS,AHMAD BIN LONG,MALE,,
P.3_N.1,KEDAH,P.3,JERLUN-LANGKAWI,N.1,LANGKAWI,BN - UMNO,FADZIL BIN AHMAD,MALE,,Y
P.3_N.2,KEDAH,P.3,JERLUN-LANGKAWI,N.2,JERLUN,BN - UMNO,MAHAMUD B. ABDUL JALIL,MALE,,
P.4_N.3,KEDAH,P.4,KUBANG PASU,N.3,TUNJANG,BN - PAS,ISMAIL HANAFI,MALE,,
