UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PSRM,PSRM CANDIDATE,PSRM CANDIDATE SEX,PSRM CANDIDATE AGE,PSRM VOTE,PSRM CANDIDATE LOST DEPOSIT,PEKEMAS,PEKEMAS CANDIDATE,PEKEMAS CANDIDATE SEX,PEKEMAS CANDIDATE AGE,PEKEMAS VOTE,PEKEMAS CANDIDATE LOST DEPOSIT,DAP,DAP CANDIDATE,DAP CANDIDATE SEX,DAP CANDIDATE AGE,DAP VOTE,DAP CANDIDATE LOST DEPOSIT,I.P.P.P,I.P.P.P. CANDIDATE,I.P.P.P. CANDIDATE SEX,I.P.P.P. CANDIDATE AGE,I.P.P.P VOTE,I.P.P.P CANDIDATE LOST DEPOSIT,K.I.T.A,K.I.T.A CANDIDATE,K.I.T.A CANDIDATE SEX,K.I.T.A CANDIDATE AGE,K.I.T.A VOTE,K.I.T.A CANDIDATE LOST DEPOSIT,SNAP,SNAP CANDIDATE,SNAP CANDIDATE SEX,SNAP CANDIDATE AGE,SNAP VOTE,SNAP CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.1,PERLIS,P.1,KANGAR,BN - UMNO,,29256,8901,79.61,23290,895,22395,UMNO,SHAARI BIN JUSOH,MALE,,14250,,PSRM,SAAD BIN MAN,MALE,,2796,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,RAJA MUKHTARUDDIN BIN RAJA MOHD. DAIN,MALE,,5349,,,,,,,
P.2,PERLIS,P.2,ARAU,BN - UMNO,,29465,8625,76.24,22465,1512,20953,UMNO,SYED HASSAN BIN SYED MOHAMAD,MALE,,14789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,IDRUS BIN OMAR (IDRUS @ DARUS BIN OMAR),MALE,,6164,,,,,,,
P.3,KEDAH,P.3,JERLUN-LANGKAWI,BN - UMNO,Y,30952,,,,,,UMNO,DATO' SYED NAHAR BIN TUN SYED SHEH SHAHABUDDIN,MALE,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.4,KEDAH,P.4,KUBANG PASU,BN - UMNO,Y,33806,,,,,,UMNO,DR MAHATHIR BIN MOHAMAD,MALE,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.5,KEDAH,P.5,PADANG TERAP,BN - PAS,Y,29047,,,,,,PAS,AHMAD SHUKRI BIN HAJI ABDUL SHUKUR,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.6,KEDAH,P.6,KUALA KEDAH,BN - UMNO,,35288,11859,67.44,23797,1070,22727,UMNO,SENU BIN ABDUL RAHMAN,MALE,55,15958,,PSRM,WAN KHAZIM @ WAN HUSSIN BIN WAN DIN (WAN KHAZIM),MALE,50,4099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,MD. ISA BIN HUSSEIN (BONG ISA BIN HUSSEIN),MALE,,2670,LOST DEPOSIT,,,,,,
P.7,KEDAH,P.7,ALOR SETAR,BN - MCA,,37178,3970,64.39,23939,1069,22870,MCA,OO GIN SUN,MALE,,13420,,,,,,,,,,,,,,DAP,KARPAL SINGH A/L RAM SINGH (KARPAL SINGH),MALE,34,9450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.8,KEDAH,P.8,KOTA SETAR,BN - PAS,,28285,14381,70.83,20035,959,19076,PAS,ABU BAKAR BIN UMAR (ABU BAKAR UMAR),MALE,41,16475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,KASSIM BIN AHMAD,MALE,,2094,LOST DEPOSIT,INDEPENDENT,ZAKARIA BIN HAJI AHMAD @CIK MAT (ZAKARIA HAJI AHMAD),MALE,,507,LOST DEPOSIT
P.9,KEDAH,P.9,ULU MUDA,BN - PAS,Y,25254,,,,,,PAS,TUAN HAJI YUSOF BIN HAJI ABDULLAH,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.10,KEDAH,P.10,BALING,BN - UMNO,Y,33331,,,,,,UMNO,SHAFIE BIN ABDULLAH,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.11,KEDAH,P.11,JERAI,BN - UMNO,Y,29265,,,,,,UMNO,SANUSI BIN JUNID,MALE,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.12,KEDAH,P.12,KUALA MUDA,BN - UMNO,Y,28719,,,,,,UMNO,HAJI MOHAMED KHIR BIN JOHARI,MALE,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.13,KEDAH,P.13,SUNGAI PETANI,BN - UMNO,,37126,18250,74.8,27771,1489,26282,UMNO,WAN ZAINAB BINTI M.A. BAKAR,FEMALE,,22266,,,,,,,,,,,,,,,,,,,,,,,,,,K.I.T.A,OSMAN BIN ABU BAKAR,MALE,,4016,,,,,,,,,,,,,,,,,,,
P.14,KEDAH,P.14,PADANG SERAI,BN - MCA,Y,24236,,,,,,MCA,LIM AH YING @KIAM HOON,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.15,KEDAH,P.15,KULIM-BANDAR BAHARU,BN - UMNO,,27798,8688,72.17,20063,975,19088,UMNO,AZAHARI BIN MD. TAIB,MALE,50,13888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,ABDUL AZIZ BIN HAJI KASSIM (ABDUL AZIZ BIN H. KASSIM),MALE,,5200,,,,,,,
P.16,KELANTAN,P.16,TUMPAT,BN - UMNO,,33719,9574,72.51,24450,1036,23414,UMNO,TENGKU NOORASIH BINTI TENGKU AHMED,FEMALE,44,16494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,HASAN ISHAK,MALE,,6920,,,,,,,
P.17,KELANTAN,P.17,PENGKALAN CHEPA,BN - PAS,,27239,8561,70.77,19278,1353,17925,PAS,USTAZ NIK AZIZ,MALE,43,13243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,UMAR BIN IBRAHIM,MALE,,4682,,,,,,,
P.18,KELANTAN,P.18,PASIR MAS,BN - PAS,,29627,12180,69.94,20721,1047,19674,PAS,TENGKU ZAID,MALE,,15927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,MUHAMMAD FAKHRUDDIN,MALE,,3747,,,,,,,
P.19,KELANTAN,P.19,KOTA BHARU,BN - UMNO,Y,35954,,,,,,UMNO,TENGKU AHMAD RITHAUDDEEN BIN TENGKU ISMAIL,MALE,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.20,KELANTAN,P.20,BACHOK,BN - PAS,Y,28221,,,,,,PAS,MOHD. ZAIN BIN ABDULLAH,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.21,KELANTAN,P.21,RANTAU PANJANG,BN - PAS,,22014,8485,72.17,15888,721,15167,PAS,TUAN GURU HAJI ZAKARIA BIN ISMAIL,MALE,,11826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,ABDUL RASHID BIN AHMAD,MALE,,3341,,,,,,,
P.22,KELANTAN,P.22,NILAM PURI,BN - PAS,,28525,11327,74.53,21261,1116,20145,PAS,DATUK ASRI,MALE,51,15736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,ESHAH BINTI HAJI ABDULLAH,MALE,,4409,,,,,,,
P.23,KELANTAN,P.23,TANAH MERAH,BN - UMNO,Y,20002,,,,,,UMNO,MOHAMED BIN YAACOB,MALE,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.24,KELANTAN,P.24,MACHANG,BN - UMNO,,23413,8006,81.82,19156,796,18360,UMNO,DATUK HAJI ABDULLAH AHMAD,MALE,37,13183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,YUSOF HAJI NOR,MALE,,5177,,,,,,,
P.25,KELANTAN,P.25,PASIR PUTEH,BN - PAS,,28084,8183,75.45,21189,688,20501,PAS,WAN SULAIMAN BIN HAJI IBRAHIM,MALE,,14342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,CHIKGU MUSA BIN SALEH,MALE,,6159,,,,,,,
P.26,KELANTAN,P.26,KUALA KRAI,BN - PAS,,17332,7530,78.98,13689,807,12882,PAS,ZAHARA AWANG,FEMALE,,10206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,HAJI WAN ISMAIL BIN WAN AHMAD,MALE,,2676,,,,,,,
P.27,KELANTAN,P.27,ULU KELANTAN,BN - UMNO,Y,17478,,,,,,UMNO,TENGKU RAZALEIGH BIN MOHD. HAMZAH,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.28,TRENGGANU,P.28,BESUT,BN - UMNO,Y,27944,,,,,,UMNO,ZAKARIA @ IBRAHIM BIN ABDUL RAHMAN,MALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.29,TRENGGANU,P.29,ULU NERUS,BN - PAS,,23891,4423,75.56,18051,996,17055,PAS,LUKMAN BIN ABDUL KADIR,MALE,,10739,,PSRM,SITI NOR BINTI ABDUL HAMID TUAH,FEMALE,,6316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
