UNIQUE CODE (1971),STATE (1971),PARLIAMENTARY CONSTITUENCY CODE (1971),PARLIAMENTARY CONSTITUENCY NAME (1971),UNIQUE CODE (1974),PARLIAMENTARY CONSTITUENCY CODE (1974),PARLIAMENTARY CONSTITUENCY NAME (1974),PARLIAMENTARY NAME CHANGE,NOTES
P.105,SABAH,P.105,MARUDU,,P.115,MARUDU,,
P.106,SABAH,P.106,BANDAU,,P.116,BANDAU,,
P.107,SABAH,P.107,KOTA BELUD,,P.117,KOTA BELUD,,
P.108,SABAH,P.108,TUARAN,,P.119,TUARAN,,
P.109,SABAH,P.109,JESSELTON,,P.121,GAYA,YES,
P.110,SABAH,P.110,PENAMPANG,,P.122,PENAMPANG,,
P.111,SABAH,P.111,KIMANIS,,P.125,KIMANIS,,Boundaries were changed
P.112,SABAH,P.112,LABUAN - BEAUFORT,,P.126,HILIR PADAS,YES,Boundaries were changed
P.113,SABAH,P.113,SABAH SELATAN,,P.129,ULU PADAS,YES,
P.114,SABAH,P.114,SABAH DALAM,,P.127,KENINGAU,YES,
P.115,SABAH,P.115,KINABALU,,P.120,KINABALU,,
P.116,SABAH,P.116,SANDAKAN,,P.123,SANDAKAN,,Boundaries were changed
P.117,SABAH,P.117,LABUK - SUGUT,,P.118,LABUK SUGUT,YES,Boundaries were changed
P.118,SABAH,P.118,KINABATANGAN,,P.124,KINABATANGAN,,Boundaries were changed
P.119,SABAH,P.119,DARVEL,,P.128,SILAM,YES,
P.120,SABAH,P.120,TAWAU,,P.130,TAWAU,,
