UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES/ BALLOTS,TOTAL REJECTED VOTES/ BALLOTS,TOTAL VALID VOTES,SABAH ALLIANCE,SABAH ALLIANCE CANDIDATE,SABAH ALLIANCE CANDIDATE SEX,SABAH ALLIANCE CANDIDATE AGE,SABAH ALLIANCE VOTE,SABAH ALLIANCE CANDIDATE LOST DEPOSIT,BERJAYA,BERJAYA CANDIDATE,BERJAYA CANDIDATE SEX,BERJAYA CANDIDATE AGE,BERJAYA VOTE,BERJAYA CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT
P.115_N.1,SABAH,P.115,MARUDU,N.1,BANGGI,SABAH ALLIANCE - USNO,,4266,1617,83.05,3543,,48,3495,USNO,TUN DATU HAJI MUSTAPHA BIN DATU HARUN,MALE,58,2556,,BERJAYA,A. HAMID BIN AHMAD,MALE,,939,,,,,,,,,,,,,
P.115_N.2,SABAH,P.115,MARUDU,N.2,KUDAT,BERJAYA,,5837,1143,81.96,4784,,87,4697,SCA,DATUK HONG KEE SUI,MALE,,1777,,BERJAYA,YONG SZE KIUN,MALE,,2920,,,,,,,,,,,,,
P.115_N.3,SABAH,P.115,MARUDU,N.3,BENGKOKA,SABAH ALLIANCE - USNO,,4478,617,75.97,3402,,88,3314,USNO,DATU ABDUL SALAM BIN DATU HARUN,MALE,,1959,,BERJAYA,MANJIL MADALAG,MALE,,1342,,,,,,,,INDEPENDENT - KEY,OSMAN BIN HJ. ABDUL RAHMAN,MALE,,13,LOST DEPOSIT
P.116_N.4,SABAH,P.116,BANDAU,N.4,MATUNGGONG,BERJAYA,,4205,993,87.35,3673,,92,3581,USNO,PETER BIN HAJI SAMSUDDIN,MALE,,1214,,BERJAYA,MICHAEL WONG,MALE,,2207,,,,,,,,INDEPENDENT - KEY,TAM AH KEN,MALE,,160,LOST DEPOSIT
P.116_N.5,SABAH,P.116,BANDAU,N.5,LANGKON,BERJAYA,,4095,467,80.34,3290,,71,3219,USNO,DATUK HAJI IDRUS MATAKIM,MALE,39,1268,,BERJAYA,MICHAEL MADINAL,MALE,,1735,,PEKEMAS,EDMUNS GOMBOH,MALE,,216,LOST DEPOSIT,,,,,,
P.116_N.6,SABAH,P.116,BANDAU,N.6,TANDEK,BERJAYA,,3997,334,72.03,2879,,115,2764,USNO,HAJI OMAR MAJUN,MALE,,1103,,BERJAYA,VILLSON U. MALINGKA,MALE,,1437,,PEKEMAS,ALBERT SURUBI BIN ADUN,MALE,,65,LOST DEPOSIT,INDEPENDENT - KEY,BAUDI BIN UNGGUT,MALE,,159,LOST DEPOSIT
P.117_N.7,SABAH,P.117,KOTA BELUD,N.7,USUKAN,SABAH ALLIANCE - USNO,,5928,2490,88.31,5235,,144,5091,USNO,TAN SRI HAJI MOHAMMAD SAID BIN KERUAK,MALE,49,3451,,BERJAYA,MOHD. YAKIN BIN ABD. MUMIN,MALE,,961,,PEKEMAS,SHARIF KUARIS,MALE,,679,,,,,,,
P.117_N.8,SABAH,P.117,KOTA BELUD,N.8,TEMPASUK,SABAH ALLIANCE - USNO,,4639,288,86.33,4005,,82,3923,USNO,DATUK HAJI ASHKAR BIN HASBOLLAH,MALE,,1853,,BERJAYA,HAJI MOHD. MANSOOR BIN SANI,MALE,,1565,,PEKEMAS,PINJAMAN HASSIN,MALE,,434,LOST DEPOSIT,INDEPENDENT - TRACTOR,MOHAMED GELUNGAN BIN OMAR @ ROSMAN,MALE,,71,LOST DEPOSIT
P.117_N.9,SABAH,P.117,KOTA BELUD,N.9,KEBAYAU,BERJAYA,,4575,1315,90.84,4156,,137,4019,USNO,DATUK ISMAIL BIN GIMBAD,MALE,38,1352,,BERJAYA,YAPIN GIMPOTON,MALE,,2667,,,,,,,,,,,,,
P.118_N.10,SABAH,P.118,LABUK SUGUT,N.10,SUGUT,SABAH ALLIANCE - USNO,,3884,988,71.14,2763,,77,2686,USNO,BATUA BIN HAJI ABBAH,MALE,,1837,,BERJAYA,PENGIRAN ABDUL KHAFID,MALE,,849,,,,,,,,,,,,,
