Created on,11/3/2024
Created by,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA)
Sources,"Tindak Malaysia (2024), Warta Kerajaan 1st April 1976 and 27th May 1976, Laporan Pilihan Raya Umum  Dewan Undangan Negeri Sabah, Tahun 1976, Suruhanjaya Pilihan Raya  Refer to 1976_Other_Sources for other source files"
Disclaimers,"According to Straits Times 27/7/1975, Sabah Alliance (USNO - SCA) was deemed withdrawn from Barisan Nasional on 22/1/1975. However, there was a denial from Deputy Defense Minister, Datuk Dzulkfili Hamid on 24/7/1975 that Sabah Alliance withdrawn from Barisan Nasional. Some sources claimed Berjaya joined BN in August 1975.  Other sources stated that Berjaya and USNO (for readmission) was brought into Barisan Nasional in June 1976. Users are to make their own judgement in studying categorization of USNO, SCA and Berjaya. Following candidates where the sex category require more validation - Sumi Bhatt (Berjaya), Kok Fung Chong (Pekemas), Wee Eng Leong (Pekemas) and Tam Ah Ken (Independent). TindakMalaysia Network Services PLT is not responsible for any errors or ommissions arising from the original data or its derivatives."
,
Attribute,
,
FIELD NAME,FIELD DESCRIPTION
UNIQUE CODE,Composite between Parliamentary Code and DUN Code (Unique Identifier).
STATE,State Name
PARLIAMENTARY CODE,Parliamentary Code (1974 - 1984)
PARLIAMENTARY NAME,Parliamentary Name (1974 - 1984)
STATE CONSTITUENCY CODE,State Constituency Code (1974 - 1984)
STATE CONSTITUENCY NAME,State Constituency Code (1974 - 1984)
WINNING PARTY,Party/Coalition (with Component Party) who won the seat
UNCONTESTED VICTORY,"Indicator if there was one contestant for the said election. If yes, value Y is affixed. If none, it is left blank"
TOTAL ELECTORATE,Total Elector Count for 1976 Elections (1974/75 Electoral Roll certified on 31/5/1975)
WINNING MAJORITY,The difference between the highest valid votes and second highest valid votes
TURNOUT (%),Proportion of Total Ballots Issued as a share of Total Electorate
TOTAL BALLOTS ISSUED,Total number of ballot papers used at the poll
TOTAL UNRETURNED VOTES/ BALLOTS,Total number of ballot papers issued but not put in the ballot box and not returned (no information is available)
TOTAL REJECTED VOTES/ BALLOTS,Total number of rejected ballot papers
TOTAL VALID VOTES,Total number of votes by electors
SABAH ALLIANCE (1),Sabah Alliance Component Party (USNO/SCA)
SABAH ALLIANCE (1) CANDIDATE,Sabah Alliance Candidate Name
SABAH ALLIANCE (1) CANDIDATE SEX,Male/Female Classification
SABAH ALLIANCE (1) CANDIDATE AGE,Age of Sabah Alliance Candidate
SABAH ALLIANCE (1) VOTE,Sabah Alliance Valid Vote for the Candidate
SABAH ALLIANCE (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Loss Deposit' is affixed. For Sabah, no information is available"
BERJAYA,Bersatu Rakyat Jelata Sabah (BERJAYA)
BERJAYA CANDIDATE,BERJAYA Candidate Name
BERJAYA CANDIDATE SEX,Male/Female Classification
BERJAYA CANDIDATE AGE,Age of BERJAYA Candidate
BERJAYA VOTE,BERJAYA Valid Vote for the Candidate
BERJAYA CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Loss Deposit' is affixed. For Sabah, no information is available"
OTHER PARTY (1),Other Party Name
OTHER PARTY (1) CANDIDATE,Other Party Candidate Name as per the Government Gazette
OTHER PARTY (1) CANDIDATE GENDER,Male/Female Classification
OTHER PARTY (1) CANDIDATE AGE,Age of Party Candidate
OTHER PARTY (1) CANDIDATE VOTE,Party Valid Vote for the Other Party Candidate
OTHER PARTY (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
INDEPENDENT (1),Independent
INDEPENDENT (1) CANDIDATE,Independent Candidate Name as per the Ballot
INDEPENDENT (1) CANDIDATE SEX,Male/Female Classification
INDEPENDENT (1) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (1) VOTE,Independent Valid Vote for the Candidate
INDEPENDENT (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Loss Deposit' is affixed. For Sabah, no information is available"
,
KEY ABBREVIATIONS FOR POLITICAL PARTIES,
USNO,United Sabah National Organisation
SCA,Sabah Chinese Association
PEKEMAS,Parti Keadilan Masyarakat
BERSATU,United Sabah People's Progressive Organisation
