UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY SEAT,UNCONTESTED VICTORY,WINNER,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,DAP,DAP CANDIDATE,DAP CANDIDATE SEX,DAP CANDIDATE AGE,DAP CANDIDATE VOTE,DAP CANDIDATE LOST DEPOSIT,PAS,PAS. CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS CANDIDATE VOTE,PAS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) CANDIDATE VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) CANDIDATE VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P.1,PERLIS,P.1,KANGAR,,BN - UMNO,35625,8862,76.48,27247,,885,26362,UMNO,SHAARI BIN JUSOH,MALE,,17612,,,,,,,,PAS,HJ. AHMAD BIN LONG,MALE,,8750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.2,PERLIS,P.2,ARAU,,BN - UMNO,32947,4927,77.78,25626,,1347,24279,UMNO,SYED HASSAN BIN SYED MOHAMAD,MALE,,13150,,,,,,,,PAS,HJ. MAHAMOOD B. HJ. MOHD. NOOR,MALE,,8223,,,,,,,,,,,,,,INDEPENDENT - AEROPLANE,HUSSAIN BIN AB. RAHMAN,MALE,,2906,LOST DEPOSIT,,,,,,,,,,,,
P.3,KEDAH,P.3,JERLUN-LANGKAWI,,BN - UMNO,33416,1249,76.71,25633,,684,24949,UMNO,SANUSI JUNID,MALE,35,13099,,,,,,,,PAS,HASSIM NAIM,MALE,,11850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.4,KEDAH,P.4,KUBANG PASU,,BN - UMNO,37022,8245,78.37,29014,,863,28151,UMNO,DR MAHATHIR B. MOHAMAD,MALE,53,18198,,,,,,,,PAS,HALIM ARSHAT,MALE,36,9953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.5,KEDAH,P.5,PADANG TERAP,,BN - UMNO,33019,2747,82.54,27255,,508,26747,UMNO,SYED AHMAD BIN SYED MAHMUD SHAHABUDIN,MALE,53,14747,,,,,,,,PAS,DATUK MOHD. ASRI,MALE,55,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.6,KEDAH,P.6,KUALA KEDAH,,BN - UMNO,40445,879,74.32,30057,,814,29243,UMNO,SENU BIN ABDUL RAHMAN,MALE,59,14907,,,,,,,,PAS,ALI @ FADZIL B. MD NOOR,MALE,41,14028,,,,,,,,,,,,,,INDEPENDENT - BOOK,YAACOB @ SALLEH BIN ABDULLAH,MALE,,308,LOST DEPOSIT,,,,,,,,,,,,
P.7,KEDAH,P.7,ALOR SETAR,,BN - MCA,47355,5095,72.49,34326,,900,33426,MCA,OO GIN SUN,MALE,45,14620,,DAP,C. SHANMUGAIAH,MALE,,2828,LOST DEPOSIT,PAS,RAMLEE KARIM,MALE,,9525,,,,,,,,,,,,,,INDEPENDENT - KEY,CHANG BOON HOE,MALE,,6453,,,,,,,,,,,,,
P.8,KEDAH,P.8,KOTA SETAR,,PAS,31351,2635,80.86,25350,,511,24839,UMNO,GHAZALI BIN AHMAD,MALE,,10991,,,,,,,,PAS,DATUK HJ. ABU BAKAR BIN UMAR,MALE,,13626,,,,,,,,,,,,,,INDEPENDENT - BOOK,KASSIM BIN AHMAD,MALE,,222,LOST DEPOSIT,,,,,,,,,,,,
P.9,KEDAH,P.9,ULU MUDA,,BN - UMNO,27605,1098,80.12,22117,,559,21558,UMNO,HASHIM BIN ENDUT,MALE,,11195,,,,,,,,PAS,HARUN JUSOH,MALE,,10097,,,,,,,,,,,,,,INDEPENDENT - BOOK,MOHD. ZABIDI BIN LEBAI AHMAD,MALE,,266,LOST DEPOSIT,,,,,,,,,,,,
P.10,KEDAH,P.10,BALING,,PAS,37072,291,78.18,28983,,867,28116,UMNO,DATUK HJ. SHAFIE BIN HJ. ABDULLAH,MALE,,13332,,,,,,,,PAS,USTAZ NAKHAI,MALE,,13623,,,,,,,,,,,,,,INDEPENDENT - BICYCLE,ABU BAKAR BIN HJ. SARDA,MALE,,1161,LOST DEPOSIT,,,,,,,,,,,,
P.11,KEDAH,P.11,JERAI,,BN - UMNO,32536,3185,76.25,24809,,686,24123,UMNO,ISMAIL BIN ARSHAD,MALE,,13654,,,,,,,,PAS,HUSSEIN BIN ABU BAKAR,MALE,,10469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.12,KEDAH,P.12,KUALA MUDA,,BN - UMNO,34354,9518,78.06,26817,,813,26004,UMNO,KHIR JOHARI,MALE,55,17761,,,,,,,,PAS,USTAZ GHAZALI,MALE,35,8243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.13,KEDAH,P.13,SUNGAI PETANI,,BN - UMNO,45855,14684,77.24,35420,,1260,34160,UMNO,WAN ZAINAB BINTI M.A. BAKAR,FEMALE,,24422,,,,,,,,PAS,ABDUL MAJID BIN JAMALUDIN,MALE,,9738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.14,KEDAH,P.14,PADANG SERAI,,BN - MCA,29444,6682,78.84,23213,,737,22476,MCA,LIM KIAM HOON,MALE,,14579,,,,,,,,PAS,USTAZ KHATIB,MALE,,7897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.15,KEDAH,P.15,KULIM-BANDAR BAHARU,,BN - UMNO,31816,10009,74.2,23608,,897,22711,UMNO,ABDUL KADIR BIN HJ. SHEIKH FADZIR,MALE,39,16360,,,,,,,,PAS,ABDUL AZIZ BIN HAJI KASSIM,MALE,,6351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.16,KELANTAN,P.16,TUMPAT,,BN - UMNO,34667,4254,72.17,25020,,354,24666,UMNO,TENGKU NOOR ASIAH BINTI TENGKU AHMAD,FEMALE,48,14460,,,,,,,,PAS,WAN MAT,MALE,,10206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.17,KELANTAN,P.17,PENGKALAN CHEPA,,PAS,29156,1978,75.83,22109,,293,21816,UMNO,CIKGU MUHAMMAD NOOR HAJI ALI,MALE,,9919,,,,,,,,PAS,USTAZ NIK AZIZ,MALE,47,11897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.18,KELANTAN,P.18,PASIR MAS,,BN - UMNO,30972,2395,73.86,22875,,228,22647,UMNO,CHE GU MAN,MALE,,12521,,,,,,,,PAS,HAJI ZAKARIA B. ISMAIL,MALE,,10126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.19,KELANTAN,P.19,KOTA BAHARU,,BN - UMNO,41162,8682,67.78,27898,,308,27590,UMNO,TENGKU AHMAD RITHAUDDEEN,MALE,50,18136,,,,,,,,PAS,PAK SU HAJI LAH,MALE,,9454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.20,KELANTAN,P.20,BACHOK,,PAS,31256,356,79.49,24844,,262,24582,UMNO,HASSAN HARUN,MALE,33,12113,,,,,,,,PAS,CHE GU HAJI MOHD. ZAIN,MALE,,12469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.21,KELANTAN,P.21,RANTAU PANJANG,,BN - UMNO,23207,1865,74.06,17187,,186,17001,UMNO,IBRAHIM MUHAMMAD,MALE,,9433,,,,,,,,PAS,HAJI ZAIN,MALE,,7568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.22,KELANTAN,P.22,NILAM PURI,,BN - UMNO,30765,2157,78.26,24078,,173,23905,UMNO,CHEGU MAT HAJI ALI,MALE,,13031,,,,,,,,PAS,USTAZ MUSTAPHA B. IBRAHIM,MALE,,10874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.23,KELANTAN,P.23,TANAH MERAH,,BN - UMNO,23500,2349,79.35,18648,,101,18547,UMNO,HUSSEIN BIN MAHMOOD,MALE,,10448,,,,,,,,PAS,HJ. HANAFI BIN HAJI DAUD,MALE,,8099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.24,KELANTAN,P.24,MACHANG,,BN - UMNO,25709,3242,78.92,20290,,118,20172,UMNO,KASSIM AHMED,MALE,,11707,,,,,,,,PAS,HJ. W. ISMAIL B. WAN AHMAD,MALE,,8465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.25,KELANTAN,P.25,PASIR PUTEH,,BN - UMNO,29002,2438,75.45,21883,,285,21598,UMNO,WAN NAJIB WAN MOHAMAD,MALE,43,12018,,,,,,,,PAS,USTAZ YAHYA HAJI OTHMAN,MALE,,9580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.26,KELANTAN,P.26,KUALA KERAI,,BN - UMNO,19697,2931,78.47,15457,,172,15285,UMNO,DR. NIK HUSSAIN,MALE,42,9108,,,,,,,,PAS,ZAHARI AWANG,MALE,,6177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.27,KELANTAN,P.27,ULU KELANTAN,,BN - UMNO,21048,4562,76.45,16092,,120,15972,UMNO,TENGKU RAZALEIGH HAMZAH,MALE,41,10267,,,,,,,,PAS,USTAZ KHAIDIR,MALE,,5705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.28,TRENGGANU,P.28,BESUT,,BN - UMNO,30220,2655,79.95,24160,,917,23243,UMNO,HAJI ZAKARIA BIN HAJI ABDUL RAHMAN,MALE,34,12949,,,,,,,,PAS,MOHD. DAUD BIN ABDUL SAMAD,MALE,54,10294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.29,TRENGGANU,P.29,ULU NERUS,,BN - UMNO,27565,4871,77.03,21232,,1231,20001,UMNO,DATUK ABDULLAH BIN ABDUL RAHMAN @ DATUK BIJAYA DI RAJA,MALE,,12436,,,,,,,,PAS,LUKMAN BIN ABDUL KADIR,MALE,,7565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.30,TRENGGANU,P.30,ULU TRENGGANU,,BN - UMNO,25711,4370,80.83,20783,,1151,19632,UMNO,ALIAS BIN ALI,MALE,39,12001,,,,,,,,PAS,MOHD. GHAZALI BIN HAJI AHMAD,MALE,,7631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.31,TRENGGANU,P.31,KUALA NERUS,Y,BN - UMNO,,,,,,,,UMNO,DATO' NIK HASSAN BIN ABDUL RAHMAN,MALE,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.32,TRENGGANU,P.32,KUALA TRENGGANU,,BN - UMNO,37504,5758,72.14,27057,,1001,26056,UMNO,HAJI ABDUL MANAN BIN OTHMAN,MALE,42,13585,,,,,,,,PAS,MUSTAFA BIN ALI,MALE,34,7827,,PSRM,KASSIM AHMAD,MALE,45,4644,,,,,,,,,,,,,,,,,,,,,,,,,
P.33,TRENGGANU,P.33,DUNGUN,,BN - UMNO,26704,2240,74.5,19895,,993,18902,UMNO,AWANG JABAR,MALE,33,10571,,,,,,,,PAS,ABDUL WAHAB BIN YUNUS,MALE,,8331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
