UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES/BALLOTS,TOTAL REJECTED VOTES/ BALLOTS,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,BERJASA,BERJASA CANDIDATE,BERJASA CANDIDATE SEX,BERJASA CANDIDATE AGE,BERJASA VOTE,BERJASA CANDIDATE LOST DEPOSIT,PAS,PAS CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS CANDIDATE VOTE,PAS CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT
P.16_N.1,KELANTAN,P.16,TUMPAT,N.1,SIMPANGAN,BERJASA,,10155,2983,72.55,7367,,176,7191,,,,,,,BERJASA,TAHIR BIN ABDUL AZIZ,MALE,,5087,,PAS,NIK ABDUL RAHMAN BIN NIK ABDUL MOHAMED,MALE,,2104,,,,,,,
P.16_N.2,KELANTAN,P.16,TUMPAT,N.2,SUNGAI PINANG,BN - UMNO,,11405,2191,70.38,8027,,172,7855,UMNO,CHE LAT BIN KASSIM,MALE,,5023,,,,,,,,PAS,CHE HASSAN BIN CHE ISHAK,MALE,54,2832,,,,,,,
P.16_N.3,KELANTAN,P.16,TUMPAT,N.3,WAKAF BHARU,BN - UMNO,,11958,2886,74.47,8905,,169,8736,UMNO,OMAR BIN AWANG KECHIK,MALE,,5811,,,,,,,,PAS,ISMAIL BIN AWANG,MALE,,2925,,,,,,,
P.17_N.4,KELANTAN,P.17,PENGKALAN CHEPA,N.4,SEMUT API,BN - UMNO,,9585,76,73.63,7057,,185,6872,UMNO,MOHAMED BIN HUSSIN,MALE,,2813,,BERJASA,NIK MAT BIN NIK DIN,MALE,,983,,PAS,WAN MAMAT BIN WAN YUSOFF,MALE,,2737,,INDEPENDENT - CANDLE,SAPEIA BIN NIK YUSOF,MALE,,339,LOST DEPOSIT
P.17_N.5,KELANTAN,P.17,PENGKALAN CHEPA,N.5,KEMUMIN,BERJASA,,8837,1799,71.78,6343,,148,6195,,,,,,,BERJASA,OMAR @ OMAR BIN IBRAHIM,MALE,,3997,,PAS,HAJI DAUD BIN IBRAHIM,MALE,,2198,,,,,,,
P.17_N.6,KELANTAN,P.17,PENGKALAN CHEPA,N.6,SERING,PAS,,9473,84,77.15,7308,,136,7172,,,,,,,BERJASA,CHE ISMAIL BIN CHE ABDULLAH,MALE,,3544,,PAS,ABDULLAH BIN HAJI ARSHAD,MALE,,3628,,,,,,,
P.18_N.7,KELANTAN,P.18,PASIR MAS,N.7,TENDONG,BERJASA,,10632,4429,75.99,8079,,148,7931,,,,,,,BERJASA,HAJI MOHAMED BIN NASIR,MALE,62,6180,,PAS,SAHARUN IBRAHIM,MALE,,1751,,,,,,,
P.18_N.8,KELANTAN,P.18,PASIR MAS,N.8,MERANTI,BERJASA,,9247,949,73.10,6760,,105,6655,,,,,,,BERJASA,NANIFA BIN AHMAD,MALE,,3802,,PAS,ZAID BIN FADZIL,MALE,,2853,,,,,,,
P.18_N.9,KELANTAN,P.18,PASIR MAS,N.9,BANDAR PASIR MAS,BN - UMNO,,10356,919,70.81,7333,,101,7232,UMNO,ABDULLAH BIN CHE HIM,MALE,,3252,,BERJASA,TENGKU ISKANDAR BIN TENGKU AHMAD,MALE,,2333,,PAS,HASHIM BIN HAJI OMAR,MALE,,1647,,,,,,,
P.19_N.10,KELANTAN,P.19,KOTA BAHARU,N.10,SUNGAI KELADI,BN - MCA,,14001,4174,63.08,8832,,136,8696,MCA,FOO CHOW YONG,MALE,,6435,,,,,,,,PAS,NIK MOHD KAMIL BIN NIK ABDULLAH,MALE,,2261,,,,,,,
P.19_N.11,KELANTAN,P.19,KOTA BAHARU,N.11,TELIPOK,BN - UMNO,,11006,2031,66.70,7341,,98,7243,UMNO,AHMAD RASTOM BIN HAJI AHMAD MAHER,MALE,28,3949,,BERJASA,HASSAN BIN YA'ACOB,MALE,,1918,,PAS,DATUK WAN MUSTAPHA BIN HAJI ALI,MALE,,1376,,,,,,,
P.19_N.12,KELANTAN,P.19,KOTA BAHARU,N.12,KUBANG KERIAN,BERJASA,,11277,2352,73.94,8338,,186,8152,,,,,,,BERJASA,NIK BAHARI SHAH BIN JUSOH,MALE,,5252,,PAS,SALAHUDDIN BIN ABDULLAH,MALE,,2900,,,,,,,
P.20_N.13,KELANTAN,P.20,BACHOK,N.13,TAWANG,BERJASA,,10781,1164,78.86,8502,,200,8302,,,,,,,BERJASA,MOHD. DAUD BIN MOHD. ALI,MALE,,4733,,PAS,MOHD. ZAIN BIN ABDULLAH,MALE,,3569,,,,,,,
P.20_N.14,KELANTAN,P.20,BACHOK,N.14,PERUPOK,BERJASA,,8922,1000,76.91,6862,,168,6694,,,,,,,BERJASA,HAJI WAN MOHAMED BIN WAN AHMAD,MALE,,3847,,PAS,OMAR BIN MOHAMMED,MALE,,2847,,,,,,,
P.20_N.15,KELANTAN,P.20,BACHOK,N.15,JELAWAT,BN - UMNO,,10112,790,77.93,7880,,148,7732,UMNO,MOHAMAD BIN HAJI HASSAN,MALE,,4261,,,,,,,,PAS,MOHD. BIN HAJI YAACOB,MALE,,3471,,,,,,,
P.21_N.16,KELANTAN,P.21,RANTAU PANJANG,N.16,GUAL PERIOK,BN - UMNO,,6411,791,75.26,4825,,78,4747,UMNO,HUSSEIN BIN AHMAD,MALE,44,2769,,,,,,,,PAS,HAMZAH BIN AWANG HAMAT,MALE,,1978,,,,,,,
P.21_N.17,KELANTAN,P.21,RANTAU PANJANG,N.17,LEMAL,BERJASA,,7519,1622,71.25,5357,,161,5196,,,,,,,BERJASA,NOOR MOHAMED BIN MOHAMED DIN,MALE,,3409,,PAS,MOHD YUSOF BIN HAJI ABDULLAH,MALE,,1787,,,,,,,
P.21_N.18,KELANTAN,P.21,RANTAU PANJANG,N.18,TOK UBAN,BERJASA,,8343,1385,75.00,6257,,123,6134,,,,,,,BERJASA,DAUD @ DAUD YATIMEE BIN AHMAD,MALE,,3016,,PAS,MUSA BIN MUHAMMAD,MALE,,1487,,INDEPENDENT - TRACTOR,ABDULLAH BIN CHE MAN,MALE,,1631,
P.22_N.19,KELANTAN,P.22,NILAM PURI,N.19,SALOR,BERJASA,,10595,2104,78.52,8319,,123,8196,,,,,,,BERJASA,MOHAMAD SARIAN,MALE,,5150,,PAS,HASAN BIN HAJI MOHAMED,MALE,,3046,,,,,,,
P.22_N.20,KELANTAN,P.22,NILAM PURI,N.20,KETEREH,BN - UMNO,,9728,2503,80.66,7847,,104,7743,UMNO,ARIFFIN BIN MAHMOOD,MALE,,5123,,,,,,,,PAS,HAJI ABDULLAH BIN HAJI HASSAN,MALE,,2620,,,,,,,
P.22_N.21,KELANTAN,P.22,NILAM PURI,N.21,PERINGAT,BERJASA,,9222,2166,76.47,7052,,106,6946,,,,,,,BERJASA,WAN HASHIM BIN HAJI WAN AHMAD,MALE,,4556,,PAS,MOHD AMIN @ ABDUL HAMID BIN SALLEH,MALE,,2390,,,,,,,
P.23_N.22,KELANTAN,P.23,TANAH MERAH,N.22,BUKIT PANAU,BN - UMNO,,8912,1561,77.39,6897,,29,6868,UMNO,AB. LATIF BIN HAJI AB. RAHMAN,MALE,,3936,,BERJASA,SHAHIDIN BIN HAJI AB. RAHMAN,MALE,,557,LOST DEPOSIT,PAS,AB. HALIM BIN AB. RAHMAN,MALE,,2375,,,,,,,
P.23_N.23,KELANTAN,P.23,TANAH MERAH,N.23,LANAS,BN - UMNO,,5626,188,81.78,4601,,24,4577,UMNO,MOHAMED BIN YA'ACOB,MALE,52,2247,,BERJASA,AHMAD BIN HAJI AWANG BESAR,MALE,,166,LOST DEPOSIT,PAS,ABDULLAH BIN CHE HASSAN,MALE,,2059,,INDEPENDENT - BOOK,MOHAMED BIN HUSSIN,MALE,,105,LOST DEPOSIT
P.23_N.24,KELANTAN,P.23,TANAH MERAH,N.24,GUAL IPOH,BN - UMNO,,7245,2762,81.34,5893,,56,5837,UMNO,MUSTAFA BIN HAJI YAAKUB,MALE,,3859,,BERJASA,SHAFII BIN HAJI ABDUL RAHMAN,MALE,,1097,,PAS,MOHD. JAIH BIN MAT PIAH,MALE,,881,,,,,,,
P.24_N.25,KELANTAN,P.24,MACHANG,N.25,PULAI CHONDONG,BN - UMNO,,8032,2603,82.31,6611,,36,6575,UMNO,ABDULLAH BIN HAJI MOHAMED,MALE,,4268,,,,,,,,PAS,YAHYA BIN OTHMAN,MALE,,1665,,INDEPENDENT - BOOK,HAJI HAMZAH BIN HAJI SALLEH,MALE,,642,LOST DEPOSIT
P.24_N.26,KELANTAN,P.24,MACHANG,N.26,BANDAR MACHANG,BN - UMNO,,10688,1474,78.38,8377,,54,8323,UMNO,IBRAHIM BIN MOHAMED,MALE,,3833,,BERJASA,TUAN ISMAIL BIN TUAN MAT,MALE,,2359,,PAS,WAN MAHYUDIN BIN HAJI WAN ABU BAKAR,MALE,,1632,,INDEPENDENT - BOOK,HAJI WAN ISMAIL BIN WAN AHMAD,MALE,,499,LOST DEPOSIT
P.24_N.27,KELANTAN,P.24,MACHANG,N.27,SUNGAI RASAU,BN - UMNO,,5979,1078,80.60,4819,,33,4786,UMNO,YAHYA BIN HAJI YUSOFF,MALE,,2577,,BERJASA,ABDULLAH BIN AHMAD,MALE,,224,LOST DEPOSIT,PAS,RAJA HUSAIN BIN RAJA SALLEH,MALE,,1499,,INDEPENDENT - BOOK,MOHAMAD BIN JUSOH,MALE,,486,LOST DEPOSIT
P.25_N.28,KELANTAN,P.25,PASIR PUTEH,N.28,SELISING,BN - UMNO,,10519,2586,78.02,8207,,108,8099,UMNO,WAN MOHAMED BIN WAN ABU BAKAR,MALE,,4929,,BERJASA,SETAPA BIN ABD. RAHMAN,MALE,,474,LOST DEPOSIT,PAS,MOHAMAD NOR BIN AB. MAJID,MALE,,2343,,INDEPENDENT - BOOK,MAHMUD BIN HUSSIN,MALE,,353,LOST DEPOSIT
P.25_N.29,KELANTAN,P.25,PASIR PUTEH,N.29,BANDAR PASIR PUTEH,BN - UMNO,,8782,1791,75.24,6608,,124,6484,UMNO,RAJA MAHMUD BIN RAJA MAMAT,MALE,,3751,,BERJASA,ABD. RAZAK BIN  AG. KECHIK,MALE,,228,LOST DEPOSIT,PAS,HAJI WAN ISMAIL BIN IBRAHIM,MALE,,1960,,INDEPENDENT - BOOK,CIKGU MUSA BIN SALLEH,MALE,,545,LOST DEPOSIT
P.25_N.30,KELANTAN,P.25,PASIR PUTEH,N.30,CHERANG RUKU,BN - UMNO,,8673,363,78.35,6795,,126,6669,UMNO,WAN OMAR BIN WAN MAJID,MALE,,3484,,,,,,,,PAS,MAT NOR BIN MAMAT,MALE,,3121,,INDEPENDENT - BOOK,MOHAMED NAWI BIN AWANG,MALE,,64,LOST DEPOSIT
P.26_N.31,KELANTAN,P.26,KUALA KERAI,N.31,TEMANGAN,BN - UMNO,,6147,1174,81.60,5016,,79,4937,UMNO,SALLEH BIN CHE HARUN,MALE,,2701,,BERJASA,AHMAD TABARANI BIN HARUN,MALE,,664,,PAS,AB. GHANI BIN ABD. RAHMAN,MALE,,1527,,INDEPENDENT - BOOK,ABD. KADIR BIN AWANG,MALE,,45,LOST DEPOSIT
P.26_N.32,KELANTAN,P.26,KUALA KERAI,N.32,GUCHIL,BN - UMNO,,6324,1119,76.98,4868,,86,4782,UMNO,MOHAMED BIN ISA,MALE,,2594,,BERJASA,MAT HUSSIN BIN HASSAN GUL,MALE,,713,,PAS,MOHAMMAD BIN AWANG,MALE,,1475,,,,,,,
P.26_N.33,KELANTAN,P.26,KUALA KERAI,N.33,PAHI,BN - UMNO,,6115,1761,71.27,4358,,105,4253,UMNO,AB. AZIZ TALIB,MALE,,3007,,,,,,,,PAS,TENGKU ZAID BIN TENGKU AHMAD,MALE,,1246,,,,,,,
P.27_N.34,KELANTAN,P.27,ULU KELANTAN,N.34,JELI,BN - UMNO,,5868,660,82.86,4862,,33,4829,UMNO,AB. SAMAT BIN HJ. DRAHMAN,MALE,,2549,,BERJASA,CHE MAHMOOD BIN MOHD. ALI,MALE,,391,LOST DEPOSIT,PAS,KHAIDER BIN KHATIB,MALE,,1889,,,,,,,
P.27_N.35,KELANTAN,P.27,ULU KELANTAN,N.35,GUA MUSANG,BN - UMNO,,8015,2163,65.64,5261,,80,5181,UMNO,ABDUL GHANI BIN ABU BAKAR,MALE,,3672,,,,,,,,PAS,HJ. CHE YUSOFF BIN CHE NOH,MALE,,1509,,,,,,,
P.27_N.36,KELANTAN,P.27,ULU KELANTAN,N.36,MANEK URAI,PAS,,5179,98,73.41,3802,,48,3754,UMNO,HUSSEIN BIN SULAIMAN,MALE,,1828,,,,,,,,PAS,WAN ABDULLAH BIN WAN SU,MALE,,1926,,,,,,,
