Created on,22/3/2024,
Created by,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA),
Sources,"Tindak Malaysia (2024), Penyata Pilihanraya umum Dewan Undangan Negeri Kelantan, 1978 by Election Commission (SPR),Government Gazettes of 9/3/1978 and 6/4/1978",
Disclaimers,There are missing gaps for candidate age data. Refer to Section of Candidate Name Discrepancy for multiple names for the candidates. EC's Publication wrongly attributed of Independent candidate losing deposit for DUN Bukit Panau when there was no independent candidate was contesting. Refer to KELANTAN_1978_DUN_CANDIDATE_AGE_SOURCE for candidate age source data.  EC Publication missed out in listing Berjasa candidate losing deposit in Lanas. TindakMalaysia Network Services PLT is not responsible for any errors or omissions arising from the original data or its derivatives,
,,
Candidate Name Discrepancy,,
DUN Name,Candidate (EC' Published Name),Candidate (Gazette's Name)
SEMUT API,SAPEIA BIN NIK YUSOF,SOFIAN
LANAS,MOHAMED BIN HUSSIN,MAT HAJI HUSSIN
CHERANG RUKU,MOHAMED NAWI BIN AWANG,HJ. NAWI BIN AWANG
,,
Attribute,,
,,
FIELD NAME,FIELD DESCRIPTION,
UNIQUE CODE,Composite between Parliamentary Code and DUN Code (Unique Identifier),
STATE,State Name,
PARLIAMENTARY CODE,Parliamentary Constituency Code (1974 - 1984),
PARLIAMENTARY NAME,Parliamentary Constituency Name (1974 - 1984),
STATE CONSTITUENCY CODE,State Constituency Code (1974 - 1984),
STATE CONSTITUENCY NAME,State Constituency Name (1974 - 1984),
WINNING PARTY,Party/Coalition (with Component Party) who won the seat,
UNCONTESTED VICTORY,"Indicator if there was one contestant for the said election. If yes, value Y is affixed. If none, it is left blank",
TOTAL ELECTORATE,Total Elector count using 1976/77 Electoral Roll that was certified on 13th February 1977,
WINNING MAJORITY,The difference between the highest valid votes and second highest valid votes,
TURNOUT (%),Proportion of Total Ballots Issued as a share of Total Electorate,
TOTAL BALLOTS ISSUED,Total number of ballot papers issued at the poll,
TOTAL UNRETURNED VOTES/ BALLOTS,Total number of ballot papers issued but not put in the ballot box (no information is available),
TOTAL REJECTED VOTES/ BALLOTS,Total number of rejected ballot papers,
TOTAL VALID VOTES,Total number of votes by electors,
BN,Barisan Nasional Component Party,
BN CANDIDATE,Barisan Nasional Candidate Name as per the Government Gazette,
BN CANDIDATE SEX,Male/Female Classification,
BN CANDIDATE AGE,Age of Barisan Nasional Candidate,
BN VOTE,Barisan Nasional Valid Vote for the Candidate,
BN CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
BERJASA,Barisan Jemaah Islamiah Se-Malaysia (BERJASA),
BERJASA CANDIDATE,BERJASA Candidate Name as per the Government Gazette,
BERJASA CANDIDATE SEX,Male/Female Classification,
BERJASA CANDIDATE AGE,Age of PSRM Candidate,
BERJASA VOTE,BERJASA Valid Vote for the Candidate,
BERJASA CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
PAS,Pan Malayan Islamic Party (PAS),
PAS CANDIDATE,PAS Candidate Name as per the Government Gazette,
PAS CANDIDATE SEX,Male/Female Classification,
PAS CANDIDATE AGE,Age of Party Candidate,
PAS CANDIDATE VOTE,PAS Valid Vote for the Candidate,
PAS CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
INDEPENDENT (1),Independent with Symbol,
INDEPENDENT (1) CANDIDATE,Independent Candidate Name,
INDEPENDENT (1) CANDIDATE SEX,Male/Female Classification,
INDEPENDENT (1) CANDIDATE AGE,Age of Independent Candidate,
INDEPENDENT (1) VOTE,Independent Valid Vote for the Candidate,
INDEPENDENT (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
,,
,,
KEY ABBREVIATIONS FOR POLITICAL PARTIES,,
UMNO,United Malays National Organisation,
MCA,Malaysian Chinese Association,
