UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,BSABAH,BSABAH CANDIDATE,BSABAH CANDIDATE SEX,BSABAH CANDIDATE AGE,BSABAH VOTE,BSABAH CANDIDATE LOST DEPOSIT,PASOK,PASOK CANDIDATE,PASOK CANDIDATE SEX,PASOK CANDIDATE AGE,PASOK VOTE,PASOK CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P.115_N.1,SABAH,P.115,MARUDU,N.1,BANGGI,BSABAH - USNO,,4885,475,72.73,3553,120,3433,BERJAYA,MOTIMBUN BIN STUJONGKOK,MALE,,1261,,USNO,DATUK ABDUL SALAM BIN DATUK ABDUL HARUN,MALE,,1736,,PASOK,MALINDAW BIN SINONG,MALE,,379,LOST DEPOSIT,PUSAKA,SALUDIN BIN ALI BESAR,MALE,,43,LOST DEPOSIT,,,,,,,INDEPENDENT - KEY,HAJI TAMANONG B. SUAIB,MALE,,14,LOST DEPOSIT,,,,,,,,,,,,
P.115_N.2,SABAH,P.115,MARUDU,N.2,KUDAT,BN - BERJAYA,,8335,1895,76.52,6378,116,6262,BERJAYA,CHONG KAH KIAT,MALE,33,3775,,SCCP,LAWRENCE THIEN SHIN HING,MALE,,1880,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,WILLIE CHONG KAI SHEN,MALE,,355,LOST DEPOSIT,INDEPENDENT - CANDLE,SAIT B. GIUK,MALE,,252,LOST DEPOSIT,,,,,,
P.115_N.3,SABAH,P.115,MARUDU,N.3,BENGKOKA,BN - BERJAYA,,5203,1058,70.27,3656,47,3609,BERJAYA,JOHNES BIN PIUT,MALE,,2305,,USNO,MUHAMAD BIN HAJI SAID,MALE,,1247,,PASOK,JAIR BIN MATTAHIR,MALE,,20,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - BICYCLE,ALI AKBAR,MALE,,37,LOST DEPOSIT,,,,,,,,,,,,
P.116_N.4,SABAH,P.116,BANDAU,N.4,MATUNGGONG,BN - BERJAYA,,4858,835,81.19,3944,66,3878,BERJAYA,MICHAEL WONG,MALE,,2336,,,,,,,,PASOK,MATHIUS BIN MAJIHI,MALE,,1501,,,,,,,,,,,,,,INDEPENDENT - OIL PALM,JAMUD BIN SEBOY,MALE,,41,LOST DEPOSIT,,,,,,,,,,,,
P.116_N.5,SABAH,P.116,BANDAU,N.5,LANGKON,BN - BERJAYA,,4908,138,72.9,3578,78,3500,BERJAYA,MICHAEL MADINAL,MALE,,1819,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - BUS,ALMALEK B. ABD HAMID,MALE,,1681,,,,,,,,,,,,,
P.116_N.6,SABAH,P.116,BANDAU,N.6,TANDEK,BN - BERJAYA,,4705,700,65.93,3102,128,2974,BERJAYA,DASON GABAN,MALE,,1504,,USNO,ZULKIFLE MAJUN @ MARALANG,MALE,,804,,PASOK,MASINGKAN BIN MASAMPUN @ SHINGKAN,MALE,,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.117_N.7,SABAH,P.117,KOTA BELUD,N.7,USUKAN,BSABAH - USNO,,7436,89,86.07,6400,169,6231,BERJAYA,YAHYA LAMPONG,MALE,,3071,,USNO,TAN SRI HAJI MOHAMMAD SAID KERUAK,MALE,55,3160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.117_N.8,SABAH,P.117,KOTA BELUD,N.8,TEMPASUK,BN - BERJAYA,,6358,1017,80.06,5090,112,4978,BERJAYA,DATUK HAJI MOHD. NOOR MANSOR,MALE,,2906,,USNO,DATUK HAJI ASKHAR BIN HASBOLLAH,MALE,,1889,,PASOK,NARATINE BIN SAGIDON,MALE,,103,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - TIGER,ABDUL MUMIN BIN HAJI MULIA,MALE,,80,LOST DEPOSIT,,,,,,,,,,,,
P.117_N.9,SABAH,P.117,KOTA BELUD,N.9,KEBAYAU,BN - BERJAYA,,5597,2545,85.71,4797,79,4718,BERJAYA,YAPIN GIMPOTON,MALE,,3280,,USNO,MOHD. YAHYA BIN ZAKARIA,MALE,,735,,PASOK,SOLETEN SOMPONG,MALE,,703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.118_N.10,SABAH,P.118,LABUK SUGUT,N.10,SUGUT,BN - BERJAYA,,4724,705,59.36,2804,80,2724,BERJAYA,PENGIRAN KHAFID,MALE,,1441,,USNO,MOHD. SAID BIN IMAM PUYOH,MALE,,529,,PASOK,JULIUS NIYO,MALE,,736,,PUSAKA,ABDUL NASRI BIN KIWANG,MALE,,18,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
