Created on,17/7/2024
Created by,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA)
Sources,"Tindak Malaysia (2024), Government Gazette P.U. (B) 184 19th March 1981, Laporan Pilihanraya Umum Dewan Undangan Negeri Sabah 1981, Suruhanjaya Pilihan Raya  Refer to 1981_Other_Sources for other source files"
Disclaimers,"According to the New Sunday Times of 11th March 1981, Barisan Sabah consists of USNO, SCCP, and PASOK. However, PASOK and USNO did clash with each other. Hence, PASOK is separated from Barisan Sabah list. USNO is part of Barisan Nasional (BN) until it was kicked out from BN in April 1984 but played as a state opposition. Following candidates where the sex category require more validation - Chin Kok Kong (BERJAYA), Mok Shuo Khyun (DAP), Liew Kong Khai (DAP), Yong Yung Lee (Independent - Candle) and Thu Voi Hiang (Independent - Wau). There are missing information of Independent Symbol for certain Independent Candidates. Independent Candidates of Tham Yin Kong and Stanislaus Puyuseh Masri pulled out from election race after nomination, according to New Straits Times 11/3/1981. Bengkoka Elections were postponed after one candidate passed away on 17th March 1981, 6 days before elections and new nomination date was 9th April 1981 and elections were held for Bengkoka from 24th April to 29th April 1981. TindakMalaysia Network Services PLT is not responsible for any errors or ommissions arising from the original data or its derivatives."
,
Attribute,
,
FIELD NAME,FIELD DESCRIPTION
UNIQUE CODE,Composite between Parliamentary Code and DUN Code (Unique Identifier).
STATE,State Name
PARLIAMENTARY CONSTITUENCY CODE,Parliamentary Constituency Code (1974 - 1984)
PARLIAMENTARY CONSTITUENCY NAME,Parliamentary Constituency Name (1974 - 1984)
STATE CONSTITUENCY CODE,State Constituency Code (1974 - 1984)
STATE CONSTITUENCY NAME,State Constituency Code (1974 - 1984)
WINNING PARTY,Party/Coalition (with Component Party) who won the seat
UNCONTESTED VICTORY,"Indicator if there was one contestant for the said election. If yes, value Y is affixed. If none, it is left blank"
TOTAL ELECTORATE,Total Elector Count for 1981 Elections using 1979/80 Electoral Roll certified on 22/5/1980
WINNING MAJORITY,The difference between the highest valid votes and second highest valid votes
TURNOUT (%),Proportion of Total Ballots Issued as a share of Total Electorate
TOTAL BALLOTS ISSUED,Total number of ballot papers used at the poll
TOTAL REJECTED VOTES,Total number of rejected ballot papers
TOTAL VALID VOTES,Total number of votes by electors
BN,Barisan Nasional (BN) Component Party
BN CANDIDATE,Barisan Nasional Candidate Name
BN CANDIDATE SEX,Male/Female Classification
BN CANDIDATE AGE,Age of Barisan Nasional Candidate
BN VOTE,Barisan Nasional Valid Vote for the Candidate
