UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY SEAT,UNCONTESTED VICTORY,WINNER,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,DAP,DAP CANDIDATE,DAP CANDIDATE SEX,DAP CANDIDATE AGE,DAP CANDIDATE VOTE,DAP CANDIDATE LOST DEPOSIT,PAS,PAS. CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS CANDIDATE VOTE,PAS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) CANDIDATE VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) CANDIDATE VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
P.1,PERLIS,P.1,KANGAR,,BN - UMNO,41983,13385,77.16,32396,,1279,31117,UMNO,MOHD. RADZI BIN TAN SRI SHEIKH AHMAD,MALE,,22251,,,,,,,,PAS,MUSA BIN HAJI MOHD. YATIM,MALE,,8866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.2,PERLIS,P.2,ARAU,,BN - UMNO,37035,7470,76.85,28462,,1004,27458,UMNO,DR. ABDUL HAMID BIN PAWAN TEH,MALE,,17464,,,,,,,,PAS,HJ. MAHAMOOD BIN HAJI MOHAMAD,MALE,,9994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.3,KEDAH,P.3,JERLUN-LANGKAWI,,BN - UMNO,38958,7496,78.1,30425,,735,29690,UMNO,DATO' SANUSI BIN JUNID,MALE,39,18593,,,,,,,,PAS,HALIM BIN ARSHAT,MALE,,11097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.4,KEDAH,P.4,KUBANG PASU,,BN - UMNO,43583,15761,78.79,34340,,1053,33287,UMNO,DOKTOR MAHATHIR BIN MOHAMAD,MALE,57,24524,,,,,,,,PAS,HAJI YUSOF RAWA BIN HAJI ABDULLAH,MALE,,8763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.5,KEDAH,P.5,PADANG TERAP,,BN - UMNO,38831,6308,82.54,32051,,1085,30966,UMNO,TAN SRI SYED AHMAD BIN SYED MAHMUD SHAHABUDIN,MALE,,18637,,,,,,,,PAS,DATO' SUDIN BIN WAHAB,MALE,,12329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.6,KEDAH,P.6,KUALA KEDAH,,BN - UMNO,46123,5464,74.89,34543,,854,33689,UMNO,DATO' HAJI MOHAMMAD ABU BAKAR BIN RAUTIN IBRAHIM,MALE,,18624,,DAP,WONG KOK WAH,MALE,,1905,LOST DEPOSIT,PAS,AHMAD BIN DIN,MALE,,13160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.7,KEDAH,P.7,ALOR SETAR,,BN - MCA,58456,12261,71.42,41749,,818,40931,MCA,OO GIN SUN,MALE,49,21908,,DAP,GEORGE JOHN A/L K.M. GEORGE,MALE,,9376,,PAS,HAJI AHMAD BIN AWANG,MALE,,9647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.8,KEDAH,P.8,KOTA SETAR,,PAS,37073,1403,81.09,30061,,580,29481,UMNO,HAJI MUSTAPHA AHAMD,MALE,,14039,,,,,,,,PAS,DATO' HAJI ABU BAKAR BIN OMAR,MALE,,15442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.9,KEDAH,P.9,ULU MUDA,,BN - UMNO,34203,3560,81.29,27803,,821,26982,UMNO,HAJI HASHIM BIN ENDUT,MALE,,15271,,,,,,,,PAS,ALI @ FAZDIL BIN MD. NOOR,MALE,45,11711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.10,KEDAH,P.10,BALING,,BN - UMNO,41626,6349,77.63,32315,,1178,31137,UMNO,HAJI SEROJI BIN HAJI HARON,MALE,,18743,,,,,,,,PAS,MOHD. NAPI @ NAKHAIE HAJI AHMAD,MALE,,12394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.11,KEDAH,P.11,JERAI,,BN - UMNO,36957,6286,77.35,28587,,871,27716,UMNO,ISMAIL BIN ARSHAD,MALE,,17001,,,,,,,,PAS,USTAZ AHMAD YUSOF,MALE,,10715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.12,KEDAH,P.12,KUALA MUDA,,BN - UMNO,39810,14058,76.79,30570,,1064,29506,UMNO,CHE' ABDUL DAIM BIN HAJI ZAINUDDIN,MALE,,21782,,,,,,,,PAS,GHAZALI BIN HJ. DIN,MALE,,7724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.13,KEDAH,P.13,SUNGAI PETANI,,BN - UMNO,56093,16057,75.45,42321,,1041,41280,UMNO,WAN ZAINAB BT. M. A. BAKAR,FEMALE,,24554,,DAP,CHONG KOK HEONG @ CHONG AH LEK,MALE,,8497,,PAS,OSMAN BIN DARUS,MALE,,7864,,,,,,,,,,,,,,INDEPENDENT,ISMAIL BIN MAIN,MALE,,365,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.14,KEDAH,P.14,PADANG SERAI,,BN - MCA,33812,11860,77.19,26098,,966,25132,MCA,TAN KOW KIA @ TAN KOK HOOI,MALE,,18043,,,,,,,,PAS,KHATIB SHORBAINI BIN HJ. HASSAN,MALE,,6183,,,,,,,,,,,,,,INDEPENDENT,RAMLEY BIN ISMAIL,MALE,,906,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.15,KEDAH,P.15,KULIM-BANDAR BAHARU,,BN - UMNO,36399,12254,75.24,27388,,872,26516,UMNO,ABDUL KADIR BIN HAJI SHEIKH FADZIL,MALE,43,17097,,DAP,LEE CHUAN SUN @ LEE CHUAN SAM,MALE,,4576,,PAS,MOHD. SALLEH BIN HAJI MOHAMAD,MALE,,4843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.16,KELANTAN,P.16,TUMPAT,,BN - UMNO,40502,2125,76.89,31141,,1092,30049,UMNO,DUSUKI BIN HAJI AHMAD,MALE,,16087,,,,,,,,PAS,ISMAIL AWANG,MALE,,13962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
