STATE,MILITARY (301),MALAYSIAN RANGERS (302),SENOI PRAAK (501),ABSENT VOTERS (601),POLICE (701),POLICE HEADQUARTERS (IPP) (702),POLICE DEPOT (703),JUNGLE SQUAD (PPH) (704),GRAND TOTAL
PERLIS,1013,0,0,29,330,0,0,0,1372
KEDAH,6386,0,2,234,2403,0,0,875,9900
KELANTAN,4981,0,6,111,1859,0,0,674,7631
TRENGGANU,1306,0,0,41,503,0,0,942,2792
PULAU PINANG,3379,0,0,182,1751,0,0,0,5312
PERAK,9705,0,222,160,5019,0,0,3800,18906
PAHANG,1812,0,26,84,2311,0,0,1584,5817
SELANGOR,3573,0,4,459,2168,190,8,9,6411
WILAYAH PERSEKUTUAN KUALA LUMPUR,2982,0,3,315,2238,1197,1154,1482,9371
NEGERI SEMBILAN,4356,0,2,153,1211,0,0,327,6049
MELAKA,4229,0,0,77,1020,0,0,678,6004
JOHOR,8015,0,3,324,2092,0,0,1199,11633
SABAH,0,190,0,119,2533,0,0,504,3346
SARAWAK,1337,1,0,117,3172,1,0,3457,8085
