Created on,"1/5/2026, updated on 4/5/2026",
Created by,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA),
Sources,"Penyata Pilihan Raya Umum (Dewan Rakyat  dan Dewan Undangan Negeri), Tahun 1982, Suruhanjaya Pilihan Raya, New Straits Times, 7th April 1982; Almanak keputusan pilihan raya umum : Parlimen dan Dewan Undangan Negeri 1959-1999 (Anzagain); Malaysia's 1982 General Election (by Harold Crouch)(http://lib.perdana.org.my/PLF/News_2008/JOURNAL/250308/%5B1006348%5D.pdf), Mahathir 'Machiavelli' Malaysia? Sarjana Enterprise (by Zakry Abadi), 1990 (https://s3.us-west-1.wasabisys.com/p-library/singapore-malaysia/Zakry%20Abadi/Mahathir%20Machiavelli%20Malaysia%20%28567%29/Mahathir%20Machiavelli%20Malaysia%20-%20Zakry%20Abadi.pdf). For specific DUN Candidate background details, refer to 1982_Other_Sources_DUN_File",
Disclaimers,"EC missed out the Lost Deposit Association for the PAS Candidate for DUN Sungai Nibong. Constituency Spelling follows the 1974 EC Maps of Peninsular Malaysia. Total electorates from Tindak Malaysia's computation is 848,885, but in the EC appendix is 848,855. Tindak compilation may be correct, and the EC appendix may be due to misprinting/typo. There are two sets of interpretations of the seats allocated to UMNO and Berjasa if one compares Harold Crouch's publication with the New Straits Times, 7th April 1982. Refer to the notes below for the discrepancy. According to New Straits Times 19/4/1982, Independent Candidate (Tahar) of DUN Salor joined BN-UMNO after nominations. There are a number of candidates were sex category is not ascertained and significant gaps for the candidate age. TindakMalaysia Network Services PLT is not responsible for any errors or omissions arising from the original data or its derivatives",
,,
Notes on party allocation discrepancies,,
BN COMPONENT PARTY,Harold Crouch (1982),New Straits Times (7th April 1982)
UMNO,207,206
MCA,62,62
MIC,9,9
GERAKAN,18,18
PPP,3,3
Non-Party,13,
BERJASA,,14
,,
"According to Harold Crouch, after nomination, UMNO contested 205 seats and 11 Berjasa seats because of rejected nominations. Tindak Malaysia has established that UMNO candidates were disqualified for DUN Bintong (Perak) and DUN Selising (Kelantan). Tindak Malaysia has established two Berjasa Candidates were disqualified for DUN Kemumin and DUN Salor",,
"According to Harold Crouch, Berjasa was given 12 seats in Kelantan (contested) and one state seat in Perak. Zakry Abadi's 'Mahathir' Machiavelli (1990) indicated the contestant fof BN in DUN Kuala Kurau (Perak) is from Berjasa",,
,,
Attribute,,
,,
FIELD NAME,FIELD DESCRIPTION,
UNIQUE CODE,"Unique Identifier. For this case, it is the Parliamentary Code",
STATE,State Name,
PARLIAMENTARY CONSTITUENCY CODE,"Parliamentary Constituency Code (for Peninsular Malaysia, 1974 - 1984)",
PARLIAMENTARY CONSTITUENCY NAME,"Parliamentary Constituency Name (for Peninsular Malaysia, 1974 - 1984)",
STATE CONSTITUENCY CODE,"State Constituency Code (for Peninsular Malaysia, 1974 - 1984)",
STATE CONSTITUENCY NAME,"State Constituency Name (for Peninsular Malaysia, 1974 - 1984)",
WINNING PARTY,Party/Coalition (with Component Party) who won the seat,
UNCONTESTED VICTORY,"Indicator if there was one contestant for the said election. If yes, value Y is affixed. If none, it is left blank",
TOTAL ELECTORATE,Total Elector count using 1982 Elections Electoral Roll which was based on an Electoral Roll revised up to 14th February 1982 and certified on 15th March 1982,
WINNING MAJORITY,The difference between the highest valid votes and second highest valid votes,
TURNOUT (%),Proportion of Total Ballots Issued as a share of Total Electorate,
TOTAL BALLOTS ISSUED,Total number of ballot papers issued at the poll,
TOTAL REJECTED VOTES,Total number of rejected ballot papers,
TOTAL VALID VOTES,Total number of votes by electors,
BN,Barisan Nasional (BN) Component Party,
BN CANDIDATE,Barisan Nasional Candidate Name,
BN CANDIDATE SEX,Male/Female Classification,
BN CANDIDATE AGE,Age of Barisan Nasional Candidate,
BN VOTE,Barisan Nasional Valid Vote for the Candidate,
BN CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
DAP,Democratic Action Party (DAP) Name,
DAP CANDIDATE,DAP Candidate Name,
DAP CANDIDATE SEX,Male/Female Classification,
DAP CANDIDATE AGE,Age of Party Candidate,
DAP VOTE,Party Valid Vote for the DAP Candidate,
DAP CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
PAS,Parti Islam Se-Malaysia (PAS),
PAS CANDIDATE,PAS Candidate Name,
PAS CANDIDATE SEX,Male/Female Classification,
PAS CANDIDATE AGE,Age of PAS Candidate,
PAS VOTE,PAS Valid Vote for the Candidate,
PAS CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
OTHER PARTY (1),Other Party,
OTHER PARTY (1) CANDIDATE,Other Party Candidate Name,
OTHER PARTY (1) CANDIDATE SEX,Male/Female Classification,
OTHER PARTY (1) CANDIDATE AGE,Age of Other Party Candidate,
OTHER PARTY (1) VOTE,Other Party Candidate Valid Vote,
OTHER PARTY (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
OTHER PARTY (2),Other Party,
OTHER PARTY (2) CANDIDATE,Other Party Candidate Name,
OTHER PARTY (2) CANDIDATE SEX,Male/Female Classification,
OTHER PARTY (2) CANDIDATE AGE,Age of Other Party Candidate,
OTHER PARTY (2) VOTE,Other Party Candidate Valid Vote,
OTHER PARTY (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
INDEPENDENT (1),Independent,
INDEPENDENT (1) CANDIDATE,Independent Candidate Name,
INDEPENDENT (1) CANDIDATE SEX,Male/Female Classification,
INDEPENDENT (1) CANDIDATE AGE,Age of Independent Candidate,
INDEPENDENT (1) VOTE,Independent Valid Vote for the Candidate,
INDEPENDENT (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
INDEPENDENT (2),Independent,
INDEPENDENT (2) CANDIDATE,Independent Candidate Name,
INDEPENDENT (2) CANDIDATE SEX,Male/Female Classification,
INDEPENDENT (2) CANDIDATE AGE,Age of Independent Candidate,
INDEPENDENT (2) VOTE,Independent Valid Vote for the Candidate,
INDEPENDENT (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
INDEPENDENT (3),Independent,
INDEPENDENT (3) CANDIDATE,Independent Candidate Name,
INDEPENDENT (3) CANDIDATE SEX,Male/Female Classification,
INDEPENDENT (3) CANDIDATE AGE,Age of Independent Candidate,
INDEPENDENT (3) VOTE,Independent Valid Vote for the Candidate,
INDEPENDENT (3) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
INDEPENDENT (4),Independent,
INDEPENDENT (4) CANDIDATE,Independent Candidate Name,
INDEPENDENT (4) CANDIDATE SEX,Male/Female Classification,
INDEPENDENT (4) CANDIDATE AGE,Age of Independent Candidate,
INDEPENDENT (4) VOTE,Independent Valid Vote for the Candidate,
INDEPENDENT (4) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank",
,,
KEY ABBREVIATIONS FOR POLITICAL PARTIES,,
UMNO,United Malays National Organisation,
MCA,Malaysian Chinese Association,
MIC,Malaysian Indian Congress,
GERAKAN,Parti Gerakan Rakyat Malaysia,
BERJASA,Barisan Jemaah Islamiah Se-Malaysia,
KITA,Kesatuan Insaf Tanah Air,
PSRM,Parti Sosialis Rakyat Malaysia,
PEKEMAS,Parti Keadilan Masyarakat Malaysia,
PP,Parti Pekerja,
SDP,Social Democratic Party,
