UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,SNAP,SNAP CANDIDATE,SNAP CANDIDATE SEX,SNAP CANDIDATE AGE,SNAP VOTE,SNAP CANDIDATE LOST DEPOSIT,PBDS,PBDS CANDIDATE,PBDS CANDIDATE SEX,PBDS CANDIDATE AGE,PBDS VOTE,PBDS  CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE NAME,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE NAME,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE NAME,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE NAME,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT,INDEPENDENT (5),INDEPENDENT (5) CANDIDATE NAME,INDEPENDENT (5) CANDIDATE SEX,INDEPENDENT (5) CANDIDATE AGE,INDEPENDENT (5) VOTE,INDEPENDENT (5) CANDIDATE LOST DEPOSIT
P.131_N. 1,SARAWAK,P.131,MAS GADING,N. 1,LUNDU,LUNDU,BN - SUPP,,10003,2054,76.67,7669,161,7508,SUPP,RAMSAY NOEL JITAM,MALE,51,4146,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TELEPHONE,WINSTON TUNJANG AK PATA,MALE,,44,LOST DEPOSIT,INDEPENDENT - BICYCLE,JEHEM AK MILOS,MALE,,891,LOST DEPOSIT,INDEPENDENT - OIL PALM,AHMAD BIN SOM,MALE,,208,LOST DEPOSIT,INDEPENDENT - CLOCK,MOHAMAD SHAMSUDDIN BIN MOKHTAR,MALE,,2092,,INDEPENDENT - CANDLE,HASAN @ HASSAN BIN MAWI,MALE,,127,LOST DEPOSIT
P.131_N. 2,SARAWAK,P.131,MAS GADING,N. 2,TASIK BIRU,TASIK BIRU,SNAP,,15292,2675,76.53,11703,136,11567,PBB,PETER AK. MINOS,MALE,34,4389,,SNAP,PATAU AK. RUBIS @ DR PATAU RUBIS,MALE,37,7064,,,,,,,,,,,,,,INDEPENDENT - BUS,GUING AK NYANGU @ ALOYSIUS DOM NAGOK,MALE,,114,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.132_N. 3,SARAWAK,P.132,BANDAR KUCHING,N. 3,PADUNGAN,PADUNGAN,BN - SUPP,,26966,3544,77.76,20968,124,20844,SUPP,SONG SWEE GUAN,MALE,42,11665,,SNAP,ALEXANDER JOHN SHEK KWOK BUN,MALE,,1058,LOST DEPOSIT,,,,,,,DAP,SIM KENG SOON @ SIM KWANG YANG,MALE,35,8121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.132_N. 4,SARAWAK,P.132,BANDAR KUCHING,N. 4,STAMPIN,STAMPIN,BN - SUPP,,29062,8710,77.14,22417,269,22148,SUPP,SIM KENG HONG,MALE,,15429,,,,,,,,,,,,,,DAP,YONG SEN CHAN,MALE,,6719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.133_N. 5,SARAWAK,P.133,SANTUBONG,N. 5,PETRA JAYA,PETRA JAYA,BN - PBB,,10996,4842,73.43,8074,158,7916,PBB,HAFSAH BINTI HARUN,FEMALE,43,6107,,,,,,,,,,,,,,BERSATU,EDEN BIN ABDULLAH,MALE,,544,LOST DEPOSIT,INDEPENDENT - TELEPHONE,MOHD. PAUZI BIN BOL HASSAN,MALE,,1265,,,,,,,,,,,,,,,,,,,,,,,,,
P.133_N. 6,SARAWAK,P.133,SANTUBONG,N. 6,SATOK,SATOK,BN - PBB,,19242,8596,62.98,12118,246,11872,PBB,ABG. ABD. RAHMAN ZOHARI BIN TUN ABD. HAJI OPENG,MALE,33,10234,,,,,,,,,,,,,,BERSATU,ABG. ARRIFIN ABG SHEBLI @ ABG. BUNSU,MALE,,1638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.134_N. 7,SARAWAK,P.134,SAMARAHAN,N. 7,SEBANDI,SEBANDI,BN - PBB,,6969,2314,75.61,5269,77,5192,PBB,DATUK PATINGGI HJ. ABDUL TAIB B MAHMUD,MALE,47,3720,,,,,,,,,,,,,,BERSATU,ABG. SAUFI ADENAN @ ABANG SUPI BIN ABG ADENAN,MALE,,66,LOST DEPOSIT,INDEPENDENT - KEY,BUJANG B. BAKAR,MALE,,1406,,,,,,,,,,,,,,,,,,,,,,,,,
P.134_N. 8,SARAWAK,P.134,SAMARAHAN,N. 8,MUARA TUANG,MUARA TUANG,BN - PBB,,7391,3696,78.04,5768,136,5632,PBB,ADENAN BIN HAJI SATEM,MALE,39,4518,,,,,,,,,,,,,,BERSATU,ABANG HJ. MOHD. KASSIM B. ABG. MOHD. TAHA,MALE,,292,LOST DEPOSIT,INDEPENDENT - UMBRELLA,ABANG IBRAHIM B. ABANG OTHMAN,MALE,,822,,,,,,,,,,,,,,,,,,,,,,,,,
P.135_N. 9,SARAWAK,P.135,PADAWAN,N. 9,BATU KAWAH,BATU KAWAH,BN - SUPP,,14520,6076,70.55,10244,302,9942,SUPP,CHONG KIUN KONG,MALE,53,7517,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CANDLE,PETER AK NUAB,MALE,,1441,,INDEPENDENT - TIGER,ANGGA AK SORET @ JOHN LAWRENCE,MALE,,984,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P.135_N. 10,SARAWAK,P.135,PADAWAN,N. 10,BENGOH,BENGOH,INDEPENDENT - KEY,,13108,1126,80.43,10543,133,10410,SUPP,WILLIAM TANYUH AK NUB,MALE,37,4594,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,WILFRED RATA NISSOM,MALE,,5720,,INDEPENDENT - TIGER,GEORGE SIRICORD,MALE,,96,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
