UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY SEAT,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,VALID VOTE CHECKER,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PAS,PAS CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS VOTE,PAS CANDIDATE LOST DEPOSIT,DAP,DAP CANDIDATE,DAP CANDIDATE SEX,DAP CANDIDATE AGE,DAP VOTE,DAP CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.1_N.1,PERLIS,P.1,KANGAR,N.1,TITI TINGGI,BN - MCA,,6152,1760,71.34,4389,,208,4181,4181,MCA,LAI KUAN FOOK @ LAI KONG FOOK,MALE,,2640,,PAS,ISHAK BIN ISMAIL,MALE,,880,,,,,,,,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,LOH SIN POH,,,661,,,,,,,
P.1_N.2,PERLIS,P.1,KANGAR,N.2,BESERI,BN - UMNO,,6138,1277,72.66,4460,,169,4291,4291,UMNO,NORDIN BIN HJ. ABDULLAH,MALE,,2784,,PAS,YAHAYA BIN AHMAD,MALE,,1507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.1_N.3,PERLIS,P.1,KANGAR,N.3,ORAN,BN - UMNO,,6642,2375,79.19,5260,,235,5025,5025,UMNO,YAZIZ @ YAZID BIN MAT,MALE,,3700,,PAS,BAKAR BIN ISMAIL,MALE,,1325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.1_N.4,PERLIS,P.1,KANGAR,N.4,PADANG PAUH,BN - UMNO,,6234,1359,74.3,4632,,155,4477,4477,UMNO,BAHARI BIN HJ. TAIB,MALE,,2918,,PAS,AHMAD BIN SALLEH,MALE,,1559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.1_N.5,PERLIS,P.1,KANGAR,N.5,BINTONG,BN - UMNO,,6411,1784,74.06,4748,,230,4518,4518,UMNO,MD. ISA BIN SABU,MALE,,3151,,PAS,MOHD ABIDIN B. HALIFAH,MALE,,1367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.1_N.6,PERLIS,P.1,KANGAR,N.6,SENA,BN - UMNO,,5573,1147,70.02,3902,,131,3771,3771,UMNO,SELAMAT BIN SAAD,MALE,,2459,,PAS,SHUIB BIN HJ. MOHAMAD,MALE,,1312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.1_N.7,PERLIS,P.1,KANGAR,N.7,INDERA KAYANGAN,BN - MCA,,7932,2632,69.91,5545,,141,5404,5404,MCA,LEE KIM CHENG,MALE,,4018,,PAS,HAMID BIN MOHAMOOD,MALE,,1386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.2_N.8,PERLIS,P.2,ARAU,N.8,KUALA PERLIS,BN - UMNO,,5841,897,74.87,4373,,158,4215,4215,UMNO,AHMAD BIN OSMAN,MALE,,2556,,PAS,DIN BIN SAAID,MALE,,1659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.2_N.9,PERLIS,P.2,ARAU,N.9,KAYANG,BN - UMNO,,6107,1382,73.37,4481,,195,4286,4286,UMNO,TALIB BIN ALI,MALE,,2834,,PAS,OTHMAN BIN HJ. GHAZALI,MALE,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.2_N.10,PERLIS,P.2,ARAU,N.10,UTAN AJI,BN - UMNO,,4832,1010,75.39,3643,,113,3530,3530,UMNO,FADZIL BIN MAHMOOD,MALE,,2270,,PAS,AHMAD TAJUDDIN BIN SALLEH,MALE,,1260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
