UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY SEAT,UNCONTESTED VICTORY,WINNER,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED BALLOTS,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PAS,PAS CANDIDATE,PAS CANDIDATE SEX,PAS CANDIDATE AGE,PAS VOTE,PAS CANDIDATE LOST DEPOSIT,DAP,DAP CANDIDATE,DAP CANDIDATE SEX,DAP CANDIDATE AGE,DAP CANDIDATE VOTE,DAP CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) CANDIDATE VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) CANDIDATE VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
P.1,PERLIS,P.1,KANGAR,,BN - UMNO,45082,13066,72.29,32590,,730,31860,UMNO,MOHD. RADZI BIN SHEIKH AHMAD,MALE,44,22463,,PAS,SHUIB BIN HJ. MOHAMAD,MALE,,9397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.2,PERLIS,P.2,ARAU,,BN - UMNO,40312,7065,74.61,30077,,830,29247,UMNO,SHAHIDAN BIN KASSIM,MALE,35,18156,,PAS,TENGKU ABDUL RAHMAN B. TENGKU ISMAIL,MALE,,11091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.3,KEDAH,P.3,JERLUN-LANGKAWI,,BN - UMNO,42597,6303,75.17,32021,,698,31323,UMNO,SANUSI BIN JUNID,MALE,46,18813,,PAS,HAJI AHMAD BIN DIN,MALE,,12510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.4,KEDAH,P.4,KUBANG PASU,,BN - UMNO,49059,15298,74.21,36409,,803,35606,UMNO,DR MAHATHIR BIN MOHAMAD,MALE,61,25452,,PAS,AZIZAN BIN ISMAIL,MALE,,10154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.5,KEDAH,P.5,PADANG TERAP,,BN - UMNO,40884,5535,78.73,32188,,683,31505,UMNO,AFFIFUDIN BIN HAJI OMAR,MALE,43,18520,,PAS,MAHMUD @ MOHAMOOD B CHE MAT @ HAJI AHMAD,MALE,,12985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.6,KEDAH,P.6,KOTA SETAR,,BN - UMNO,39775,1394,72.22,28726,,644,28082,UMNO,DR. ANDUL HADI BIN DERANI,MALE,,14738,,PAS,HALIM BIN ARSHAT,MALE,44,13344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.7,KEDAH,P.7,ALOR SETAR,,BN - MCA,54803,7452,65.4,35843,,710,35133,MCA,OO GIN SUN,MALE,53,16647,,PAS,SUHAIMI BIN HJ. AHMAD,MALE,,9195,,DAP,GEORGE JOHN A/L K.M. GEORGE,MALE,,9042,,,,,,,,SDP,MOHD NOORIK BIN ABD. RAHMAN,MALE,,249,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P.8,KEDAH,P.8,KUALA KEDAH,,BN - UMNO,42665,1957,72.13,30775,,748,30027,UMNO,MOHAMMAD ABU BAKAR BIN RAUTIN IBRAHIM,MALE,,15992,,PAS,ALI @ FADZIL B. MD. NOOR,MALE,49,14035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.9,KEDAH,P.9,PENDANG,,BN - UMNO,42930,900,77.92,33452,,580,32872,UMNO,OTHMAN BIN ABDUL,MALE,,16886,,PAS,PHAHROLRAZI BIN MOHD ZAWAWI,MALE,33,15986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.10,KEDAH,P.10,JERAI,,BN - UMNO,34741,2900,71.69,24907,,535,24372,UMNO,GHAZALI BIN AHMAD,MALE,,13636,,PAS,MOHD. NAPI @NAKHARI BIN HJ. AHMAD,MALE,,10736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.11,KEDAH,P.11,MERBOK,,BN - UMNO,40636,13745,70.12,28495,,816,27679,UMNO,CHE ABDUL DAIM BIN HAJI ZAINUDDIN,MALE,48,20712,,PAS,MOHD REDHUAN DANIEL ONN BIN ABDULLAH,MALE,,6967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.12,KEDAH,P.12,SIK,,BN - UMNO,40806,7431,75.66,30874,,823,30051,UMNO,DATO' ZAINOL ABIDIN BIN JOHARI,MALE,,18741,,PAS,RAMLI BIN HASSAN,MALE,,11310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.13,KEDAH,P.13,BALING,,BN - UMNO,40008,6289,76.12,30455,,754,29701,UMNO,RAJA ARRIFIN BIN RAJA SULAIMAN,MALE,45,17995,,PAS,HARON BIN OTHMAN,MALE,,11706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.14,KEDAH,P.14,SUNGAI PETANI,,BN - UMNO,48478,9889,71.94,34875,,840,34035,UMNO,ABD MANAF BIN HAJI AHAD,MALE,52,18269,,PAS,ABDUL LAZAR @ ABDUL RAZAK BIN DAUD,MALE,,7386,,DAP,KARUPPAIAH A/L RAMASAMY,MALE,,8380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.15,KEDAH,P.15,PADANG SERAI,,BN - MCA,39128,10926,73.04,28581,,1015,27566,MCA,CHEW KAM HOY,MALE,,19246,,PAS,MOHD. RADZI BIN HJ. HUSSAIN,MALE,,8320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
