Created on,12/5/2026
Created by,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA)
Sources,"Laporan Pilihanraya Umum Malaysia 1986, Suruhanjaya Pilihanraya Malaysia (EC), New Straits Times 5 August 1986, Analisis pilihanraya umum 1990 (by Zakry Abadi). For specific Parliamentarian Candidate background details, refer to 1986_Other_Sources_DUN_File"
Disclaimers,"EC erroneously reported the total electorate for Bukit Chandan (Perak) as 19357. However, to achieve the reported EC electorate total of Perak (954180), the value of 19537 was used (as per Almanak keputusan pilihan raya umum : Parlimen dan Dewan Undangan Negeri 1959-1999 (by Anzagain)). EC erroneously reported the total electorate for DUN Jimah (Negeri Sembilan) as 9762. However, to achieve the reported EC electorate total of Negeri Sembilan (298660), the value of 9763 was used (as per Almanak keputusan pilihan raya umum : Parlimen dan Dewan Undangan Negeri 1959-1999 (by Anzagain)). EC placed a contradictory figure for the DAP candidate (DUN Batu Berendam, Melaka) where it placed 2970 in the main table of the full candidate list, while the actual figure is 2979 (as per Appendix L10 of the EC's Election Report). PAS created the Harakah Keadilan Rakyat Coalition, which includes PAS, PRM, Nasma, and SDP; however, the SDP of Perak and Johor chapters pulled out from the Coalition. Constituency Spelling follows the 1984 Peninsular Malaysia EC Map. There are significant gaps for sex categories and age of candidates. TindakMalaysia Network Services PLT is not responsible for any errors or omissions arising from the original data or its derivatives"
,
DUN Seats with contradictory names,
EC Election Report (1986),EC Map
SUNGAI AIR TAWAR,SUNGEI AYER TAWAR
SEKINCAN,SEKINCHAN
SUNGAI BURUNG,SUNGAI BURONG
KELOMPANG,KALUMPANG
KUALA KUBU BAHARU,KUALA KUBU BHARU
HULU KELANG,ULU KLANG
LINDUNGAN,LINDONGAN
TELUK GADUNG,TELOK GADONG
SUNGAI PELIK,SUNGAI PELEK
,
Attribute,
,
FIELD NAME,FIELD DESCRIPTION
UNIQUE CODE,"Unique Identifier. For this case, it is the Parliamentary Code"
STATE,State Name
PARLIAMENTARY CONSTITUENCY CODE,"Parliamentary Constituency Code (for Peninsular Malaysia, 1984 - 1994)"
PARLIAMENTARY CONSTITUENCY NAME,"Parliamentary Constituency Name (for Peninsular Malaysia, 1984 - 1994)"
STATE CONSTITUENCY CODE,"State Constituency Code (for Peninsular Malaysia, 1984 - 1994)"
STATE CONSTITUENCY NAME,"State Constituency Name (for Peninsular Malaysia, 1984 - 1994)"
WINNING PARTY,Party/Coalition (with Component Party) who won the seat
UNCONTESTED VICTORY,"Indicator if there was one contestant for the said election. If yes, value Y is affixed. If none, it is left blank"
TOTAL ELECTORATE,Total Elector count using 1986 Elections Electoral Roll which was based on the revised Electoral roll of 1985 revised up to 28th November 1985 and certified on 2nd February 1986 (Peninsular Malaysia).
WINNING MAJORITY,The difference between the highest valid votes and second highest valid votes
TURNOUT (%),Proportion of Total Ballots Issued as a share of Total Electorate
TOTAL BALLOTS ISSUED,Total number of ballot papers issued at the poll
TOTAL REJECTED VOTES,Total number of rejected ballot papers
TOTAL VALID VOTES,Total number of votes by electors
BN,Barisan Nasional (BN) Component Party
BN CANDIDATE,Barisan Nasional Candidate Name as per the Government Gazette
BN CANDIDATE SEX,Male/Female Classification
BN CANDIDATE AGE,Age of Barisan Nasional Candidate
