UNIQUE CODE (1982),STATE (1982),PARLIAMENTARY CONSTITUENCY CODE (1982),PARLIAMENTARY CONSTITUENCY NAME (1982),UNIQUE CODE (1986),STATE (1986),PARLIAMENTARY CONSTITUENCY CODE (1986),PARLIAMENTARY CONSTITUENCY NAME (1986),PARLIAMENTARY NAME CHANGE,NEW PARLIAMENTARY SEAT,NOTES
P.1,PERLIS,P.1,KANGAR,P. 1,PERLIS,P. 1,KANGAR,,,Boundary has changed
P.2,PERLIS,P.2,ARAU,P. 2,PERLIS,P. 2,ARAU,,,Boundary has changed
P.3,KEDAH,P.3,JERLUN-LANGKAWI,P. 3,KEDAH,P. 3,JERLUN - LANGKAWI,,,Boundary has changed
P.4,KEDAH,P.4,KUBANG PASU,P. 4,KEDAH,P. 4,KUBANG PASU,,,Boundary has changed
P.5,KEDAH,P.5,PADANG TERAP,P. 5,KEDAH,P. 5,PADANG TERAP,,,Boundary has changed
P.6,KEDAH,P.6,KUALA KEDAH,P. 8,KEDAH,P. 8,KUALA KEDAH,,,Boundary has changed
P.7,KEDAH,P.7,ALOR SETAR,P. 7,KEDAH,P. 7,ALOR SETAR,,,Boundary has changed
P.8,KEDAH,P.8,KOTA SETAR,P. 6,KEDAH,P. 6,KOTA SETAR,,,Boundary has changed
P.9,KEDAH,P.9,ULU MUDA,P. 12,KEDAH,P. 12,SIK,YES,,Boundary has changed
P.10,KEDAH,P.10,BALING,P. 13,KEDAH,P. 13,BALING,,,Boundary has changed
P.11,KEDAH,P.11,JERAI,P. 10,KEDAH,P. 10,JERAI,,,Boundary has changed
P.12,KEDAH,P.12,KUALA MUDA,P. 11,KEDAH,P. 11,MERBOK,YES,,Boundary has changed
P.13,KEDAH,P.13,SUNGAI PETANI,P. 14,KEDAH,P. 14,SUNGAI PETANI,,,Boundary has changed
P.14,KEDAH,P.14,PADANG SERAI,P. 15,KEDAH,P. 15,PADANG SERAI,,,Boundary has changed
P.15,KEDAH,P.15,KULIM-BANDAR BAHARU,P. 16,KEDAH,P. 16,KULIM - BANDAR BAHARU,,,Boundary has changed
,,,,P. 9,KEDAH,P. 9,PENDANG,,YES,"Formed from the formerly named constituencies of Ulu Muda, Kota Setar, and Padang Terap"
P.16,KELANTAN,P.16,TUMPAT,P. 17,KELANTAN,P. 17,TUMPAT,,,Boundary has changed
P.17,KELANTAN,P.17,PENGKALAN CHEPA,P. 18,KELANTAN,P. 18,PENGKALAN CHEPA,,,Boundary has changed
P.18,KELANTAN,P.18,PASIR MAS,P. 20,KELANTAN,P. 20,PASIR MAS,,,Boundary has changed
P.19,KELANTAN,P.19,KOTA BAHARU,P. 19,KELANTAN,P. 19,KOTA BAHARU,,,Boundary has changed
P.20,KELANTAN,P.20,BACHOK,P. 23,KELANTAN,P. 23,BACHOK,,,Boundary has changed
P.21,KELANTAN,P.21,RANTAU PANJANG,P. 21,KELANTAN,P. 21,RANTAU PANJANG,,,Boundary has changed
P.22,KELANTAN,P.22,NILAM PURI,P. 22,KELANTAN,P. 22,NILAM PURI,,,Boundary has changed
P.23,KELANTAN,P.23,TANAH MERAH,P. 26,KELANTAN,P. 26,TANAH MERAH,,,Boundary has changed
P.24,KELANTAN,P.24,MACHANG,P. 27,KELANTAN,P. 27,MACHANG,,,Boundary has changed
P.25,KELANTAN,P.25,PASIR PUTEH,P. 24,KELANTAN,P. 24,PASIR PUTEH,,,Boundary has changed
P.26,KELANTAN,P.26,KUALA KERAI,P. 28,KELANTAN,P. 28,KUALA KRAI,YES,,Boundary has changed
P.27,KELANTAN,P.27,ULU KELANTAN,P. 29,KELANTAN,P. 29,GUA MUSANG,,,Boundary has changed
,,,,P. 25,KELANTAN,P. 25,KOK LANAS,,YES,"Formed from the constituencies of Nilam Puri, Pasir Puteh, and Machang"
P.28,TRENGGANU,P.28,BESUT,P. 30,TERENGGANU,P. 30,BESUT,,,Boundary has changed
P.29,TRENGGANU,P.29,ULU NERUS,P. 31,TERENGGANU,P. 31,SETIU,YES,,Boundary has changed
P.30,TRENGGANU,P.30,ULU TRENGGANU,P. 35,TERENGGANU,P. 35,HULU TERENGGANU,YES,,Boundary has changed
P.31,TRENGGANU,P.31,KUALA NERUS,P. 32,TERENGGANU,P. 32,KUALA NERUS,,,Boundary has changed
P.32,TRENGGANU,P.32,KUALA TRENGGANU,P. 33,TERENGGANU,P. 33,KUALA TERENGGANU,YES,,Boundary has changed
P.33,TRENGGANU,P.33,DUNGUN,P. 36,TERENGGANU,P. 36,DUNGUN,,,Boundary has changed
P.34,TRENGGANU,P.34,KEMAMAN,P. 37,TERENGGANU,P. 37,KEMAMAN,,,Boundary has changed
,,,,P. 34,TERENGGANU,P. 34,MARANG,,YES,"Formed from the constituencies of Dungun, (formerly named) Ulu Trengganu, Kuala Nerus and (formerly named) Kuala Trengganu"
