UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,USNO,USNO CANDIDATE,USNO CANDIDATE SEX,USNO CANDIDATE AGE,USNO VOTE,USNO CANDIDATE LOST DEPOSIT,PBS,PBS CANDIDATE,PBS CANDIDATE SEX,PBS CANDIDATE AGE,PBS VOTE,PBS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
P. 134_N. 1,SABAH,P. 134,MARUDU,N. 1,BANGGI,USNO,,6051,929,62.19,3763,80,3683,BERJAYA,JOSE BIN MODSINUPU,MALE,,258,LOST DEPOSIT,USNO,DATU AMIR KAHAR B. TUN DATU HJ. MUSTAPHA,MALE,,2177,,PBS,GOHONG B. MASONTI,MALE,,1248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 134_N. 2,SABAH,P. 134,MARUDU,N. 2,KUDAT,PBS,,10363,891,76.94,7973,79,7894,BERJAYA,CHONG KAH KIAT,MALE,,3489,,,,,,,,PBS,WONG PHIN CHUNG,MALE,,4380,,,,,,,,,,,,,,INDEPENDENT - KEY,DINGLE ANTHONY @ ERIC CRISTOPHER,MALE,,25,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 134_N. 3,SABAH,P. 134,MARUDU,N. 3,BENGKOKA,USNO,,7127,120,68.32,4869,73,4796,BERJAYA,FAUZIAH BTE. TAN SRI HJ. MOHD. FUAD STEPHENS,FEMALE,,672,,USNO,YUSSOF BIN ABD. MANAN @ YUMA,MALE,,1862,,PBS,PAULUS ITOM @ PAUL TOM,MALE,,1742,,,,,,,,,,,,,,INDEPENDENT - FISH,CHEE SYN FOOK,,,84,LOST DEPOSIT,INDEPENDENT - OIL PALM,JOHNES PIUT @ ONIS @ HAJI JASNI PIUT,MALE,,436,LOST DEPOSIT,,,,,,,,,,,,
P. 135_N. 4,SABAH,P. 135,BANDAU,N. 4,MATUNGGONG,PBS,,7269,2499,78.65,5717,95,5622,BERJAYA,JOHNNY KOLOLONG SOKUROH,MALE,,441,LOST DEPOSIT,USNO,SAGID BIN MONGULINTAD,MALE,,1145,,PBS,MATHIUS BIN MAJIHI,MALE,,3644,,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,ABAH BIN MENGIMPAL @ GEORGE ABAH,MALE,,392,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 135_N. 5,SABAH,P. 135,BANDAU,N. 5,TANDEK,PBS,,5751,853,68.42,3935,51,3884,BERJAYA,MAJAWAB BIN MASANTUN,MALE,,242,LOST DEPOSIT,USNO,SAIDI BIN SUARI @ RAMLI,MALE,,1202,,PBS,SAIBUL BIN SUPU @ CYRIL SAIBUL SUPU,MALE,,2055,,,,,,,,,,,,,,INDEPENDENT - OIL PALM,UHOT BIN MALINGKA @ HEROWAN V. MALINGKA,MALE,,385,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 135_N. 6,SABAH,P. 135,BANDAU,N. 6,LANGKON,PBS,,6405,1672,73.91,4734,42,4692,BERJAYA,DASON SURAN @ GABAN,MALE,,217,LOST DEPOSIT,USNO,YAIN BIN ABAK @ MD. ZAIN ABAG,MALE,,857,,PBS,BUGIE GALADAM @ BUGIE TINGGAL,MALE,,2529,,,,,,,,,,,,,,INDEPENDENT - OIL PALM,MICHAEL MADINAL @ EDWARD,MALE,,688,,INDEPENDENT - TIGER,SUINI GABAN @ GEOFFRY,MALE,,308,LOST DEPOSIT,INDEPENDENT - UMBRELLA,JOSEPH STALIN SUNSULIT @ AHKAH,MALE,,93,LOST DEPOSIT,,,,,,
P. 136_N. 7,SABAH,P. 136,KOTA BELUD,N. 7,TEMPASUK,PBS,,8815,260,79.34,6994,54,6940,BERJAYA,ADAM BIN SAMPOLI,MALE,,1445,,USNO,LAMSIL BIN AMIDSOR,MALE,,2609,,PBS,ROBERT RIPIN MINGGIR,MALE,,2869,,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,SANTRI BIN RAKMAN @ SAN LUCIANA,MALE,,17,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 136_N. 8,SABAH,P. 136,KOTA BELUD,N. 8,USUKAN,USNO,,9575,1785,78.62,7528,65,7463,,,,,,,USNO,DATU ABDUL HAMID BIN TUN DATU HAJI MUSTAPHA,MALE,,4249,,PBS,JABAR KHAN B. NAPI @ HAJI YASSER ARAFAT,MALE,,2464,,,,,,,,,,,,,,INDEPENDENT - BOOK,LIEW VUI KONG,MALE,,473,LOST DEPOSIT,INDEPENDENT - KEY,CHIN ING HING,,,277,LOST DEPOSIT,,,,,,,,,,,,
P. 136_N. 9,SABAH,P. 136,KOTA BELUD,N. 9,KADAMAIAN,PBS,,6961,1665,84.33,5870,61,5809,BERJAYA,YAPIN GIMPOTON @ TIMOTHY,MALE,,2072,,,,,,,,PBS,BAGGAI BIN BASIRUN,MALE,,3737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 137_N. 10,SABAH,P. 137,TUARAN,N. 10,TAMPARULI,PBS,,8149,3423,77.48,6314,105,6209,BERJAYA,JOHNNY TANGGAR @ JOHNNIE,MALE,,1393,,,,,,,,PBS,MOJILIP BIN BUMBURING @ WILFRED,MALE,,4816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
