Created on,23/11/2024
Created by,TINDAKMALAYSIA NETWORK SERVICES PLT (TINDAK MALAYSIA)
Sources,"Tindak Malaysia (2024), LAPORAN PILIHANRAYA UMUM DEWAN UNDANGAN NEGERI SABAH - 1986, Suruhanjaya Pilihan Raya, Government Gazette P.U. (B) 204 1/5/1986, Government Gazette P.U. (B) 23 22/5/1986, New Straits Times 8/5/1986.  Refer to 1986_Other_Sources for other sources"
Disclaimers,"This file does not have the candidate's age information. On 5th June 1986 (Bernama Report), PBS and USNO were accepted as Barisan Nasional (BN) members. According to the 1986 Elections Report by EC,  Berjaya (BN) gained 54124 votes though counted votes for Berjaya 54121. According to Government Gazette P.U. (B) 23 22/5/1986 - there are no errors in the total count of 54121 votes of Berjaya and total ballots issued of 312542. EC report may have errors.  This impacted total votes of 312545 (according to the EC report) instead of 312542. During the campaign period in April 1986, the two PCBS candidates of DUN Sri Tanjung and DUN Balung pledged support for PBS. PCBS is the Malay acronym of Sabah Chinese Consolidated Party (SCCP) which contested in 1981 Sabah State Elections. Parti Murut Sabah contested in the Sabah via five Independents as the party symbol wasn't register in time for the elections. TindakMalaysia Network Services PLT is not responsible for any errors or omissions arising from the original data or its derivatives."
,
Attribute,
,
FIELD NAME,FIELD DESCRIPTION
UNIQUE CODE,Composite between Parliamentary Code and DUN Code (Unique Identifier).
STATE,State Name
PARLIAMENTARY CONSTITUENCY CODE,Parliamentary Constituency Code (1984 - 1994)
PARLIAMENTARY CONSTITUENCY NAME,Parliamentary Constituency Name (1984 - 1994)
STATE CONSTITUENCY CODE,State Constituency Code (1984 - 1994)
STATE CONSTITUENCY NAME,State Constituency Code (1984 - 1994)
WINNING PARTY,Party/Coalition (with Component Party) who won the seat
UNCONTESTED VICTORY,"Indicator if there was one contestant for the said election. If yes, value Y is affixed. If none, it is left blank"
TOTAL ELECTORATE,Total Elector Count for 1986 Elections using  Electoral Roll certified on 2/2/1986
WINNING MAJORITY,The difference between the highest valid votes and second highest valid votes
TURNOUT (%),Proportion of Total Ballots Issued as a share of Total Electorate
TOTAL BALLOTS ISSUED,Total number of ballot papers used at the poll
TOTAL REJECTED VOTES,Total number of rejected ballot papers
TOTAL VALID VOTES,Total number of votes by electors
BN,Barisan Nasional (BN) Component Party
BN CANDIDATE,Barisan Nasional Candidate Name
BN CANDIDATE SEX,Male/Female Classification
BN CANDIDATE AGE,Age of Barisan Nasional Candidate
BN VOTE,Barisan Nasional Valid Vote for the Candidate
BN CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Loss Deposit' is affixed. For Sabah, no information is available"
USNO,United Sabah National Organisation (USNO)
USNO CANDIDATE,USNO Candidate Name
USNO CANDIDATE SEX,Male/Female Classification
USNO CANDIDATE AGE,Age of USNO Candidate
USNO VOTE,USNO Valid Vote for the Candidate
USNO CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Loss Deposit' is affixed. For Sabah, no information is available"
PBS,Parti Bersatu Sabah (PBS)
PBS CANDIDATE,PBS Candidate Name
PBS CANDIDATE SEX,Male/Female Classification
PBS CANDIDATE AGE,Age of PBS Candidate
PBS VOTE,PBS Valid Vote for the Candidate
PBS CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Loss Deposit' is affixed. For Sabah, no information is available"
OTHER PARTY (1),Other Party Name
OTHER PARTY (1) CANDIDATE,Other Party Candidate Name
OTHER PARTY (1) CANDIDATE SEX,Male/Female Classification
OTHER PARTY (1) CANDIDATE AGE,Age of Party Candidate
OTHER PARTY (1) VOTE,Party Valid Vote for the Other Party Candidate
OTHER PARTY (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
OTHER PARTY (2),Other Party Name
OTHER PARTY (2) CANDIDATE,Other Party Candidate Name
OTHER PARTY (2) CANDIDATE SEX,Male/Female Classification
OTHER PARTY (2) CANDIDATE AGE,Age of Party Candidate
OTHER PARTY (2) VOTE,Party Valid Vote for the Other Party Candidate
OTHER PARTY (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Lost Deposit' is affixed. If none, it is left blank"
INDEPENDENT (1),Independent with Symbol
INDEPENDENT (1) CANDIDATE,Independent Candidate Name
INDEPENDENT (1) CANDIDATE SEX,Male/Female Classification
INDEPENDENT (1) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (1) VOTE,Independent Valid Vote for the Candidate
INDEPENDENT (1) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Loss Deposit' is affixed. For Sabah, no information is available"
INDEPENDENT (2),Independent with Symbol
INDEPENDENT (2) CANDIDATE,Independent Candidate Name
INDEPENDENT (2) CANDIDATE SEX,Male/Female Classification
INDEPENDENT (2) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (2) VOTE,Independent Valid Vote for the Candidate
INDEPENDENT (2) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Loss Deposit' is affixed. For Sabah, no information is available"
INDEPENDENT (3),Independent with Symbol
INDEPENDENT (3) CANDIDATE,Independent Candidate Name
INDEPENDENT (3) CANDIDATE SEX,Male/Female Classification
INDEPENDENT (3) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (3) VOTE,Independent Valid Vote for the Candidate
INDEPENDENT (3) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Loss Deposit' is affixed. For Sabah, no information is available"
INDEPENDENT (4),Independent with Symbol
INDEPENDENT (4) CANDIDATE,Independent Candidate Name
INDEPENDENT (4) CANDIDATE SEX,Male/Female Classification
INDEPENDENT (4) CANDIDATE AGE,Age of Independent Candidate
INDEPENDENT (4) VOTE,Independent Valid Vote for the Candidate
INDEPENDENT (4) CANDIDATE LOST DEPOSIT,"Indicated if the contestant has lost deposit. If yes, value 'Loss Deposit' is affixed. For Sabah, no information is available"
,
KEY ABBREVIATIONS FOR POLITICAL PARTIES,
BERJAYA,Parti Bersatu Rakyat Jelata Sabah
PCBS,Parti Cina Sabah Bersekutu (also known as Sabah Chinese Consolidated Party (SCCP))
DAP,Democratic Action Party
PASOK,Pertubuhan Kebangsaan Pasok Nunukragang Bersatu
PCS,Parti Cina Sabah
