UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE NAME,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE NAME,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE NAME,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 154_N. 1,SARAWAK,P. 154,MAS GADING,N. 1,LUNDU,LUNDU,BN - SUPP,,10910,1329,78.28,8540,89,8451,SUPP,RAMSAY NOEL JITAM,MALE,55,4890,,PERMAS,DATUK Hj. NOOR BIN HJ. TAHIR,MALE,,3561,,,,,,,,,,,,,,,,,,,,,,,,,
P. 154_N. 2,SARAWAK,P. 154,MAS GADING,N. 2,TASIK BIRU,TASIK BIRU,BN - SNAP,,17220,417,74.84,12888,167,12721,SNAP,PATAU AK. RUBIS,MALE,41,6569,,PBDS,WILFRED RATA NISSOM @ WILFRED RHATA,MALE,,6152,,,,,,,,,,,,,,,,,,,,,,,,,
P. 155_N. 3,SARAWAK,P. 155,BANDAR KUCHING,N. 3,PADUNGAN,PADUNGAN,BN - SUPP,,30882,5961,74.89,23129,92,23037,SUPP,SONG SWEE GUAN,MALE,46,14499,,,,,,,,DAP,TAY CHEO HUONG @ CHENG HUI HONG,MALE,,8538,,,,,,,,,,,,,,,,,,,
P. 155_N. 4,SARAWAK,P. 155,BANDAR KUCHING,N. 4,STAMPIN,STAMPIN,BN - SUPP,,34937,7066,76.55,26745,231,26514,SUPP,SIM KHENG HONG,MALE,,16790,,,,,,,,DAP,SIM KENG SOON @ SIM KWANG YANG,MALE,39,9724,,,,,,,,,,,,,,,,,,,
P. 156_N. 5,SARAWAK,P. 156,SANTUBONG,N. 5,PETRA JAYA,PETRA JAYA,BN - PBB,,11825,3310,74.51,8811,109,8702,PBB,SHARIFAH MORDIAH NT. TKU FAUZI,FEMALE,39,6006,,PERMAS,HAFSAH BT. HARUN,FEMALE,47,2696,,,,,,,,,,,,,,,,,,,,,,,,,
P. 156_N. 6,SARAWAK,P. 156,SANTUBONG,N. 6,SATOK,SATOK,BN - PBB,,20014,5585,70.65,14139,120,14019,PBB,ABG. ABD. RAHMAN ZOHARI BIN TUN ABG. HAJI OPENG @ ABG. JOHARI BIN TUN ABG. HAJI OPENG,MALE,37,9760,,PERMAS,WAN ALI B. TKU. HJ. MADHI,MALE,,4175,,BERSATU,ABANG ARRIFIN BIN ABANG SEBLI @ ABANG BUNGSU,MALE,,84,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 157_N. 7,SARAWAK,P. 157,SAMARAHAN,N. 7,SEBANDI,SEBANDI,BN - PBB,,8428,2194,79,6658,58,6600,PBB,DATUK PATINGGI HAJI ABDUL TAIB BIN MAHMUD,MALE,51,4397,,PERMAS,WAN YUSOF TUN DATUK PATINGGI TUANKU HAJI BUJANG,MALE,,2203,,,,,,,,,,,,,,,,,,,,,,,,,
P. 157_N. 8,SARAWAK,P. 157,SAMARAHAN,N. 8,MUARA TUANG,MUARA TUANG,BN - PBB,,8525,3441,82.48,7031,80,6951,PBB,ADENAN BIN HAJI SATEM,MALE,43,5196,,PERMAS,ABDUL RAHMAN HAMZAH,MALE,,1755,,,,,,,,,,,,,,,,,,,,,,,,,
P. 158_N. 9,SARAWAK,P. 158,PADAWAN,N. 9,BATU KAWAH,BATU KAWAH,BN - SUPP,,17455,5821,73.39,12810,134,12676,SUPP,CHONG KIUN KONG,MALE,57,8228,,PERMAS,JAPAT AK SIMOL,MALE,,2407,,DAP,LIM GUAN SIN,MALE,47,2041,,,,,,,,,,,,,,,,,,,
P. 158_N. 10,SARAWAK,P. 158,PADAWAN,N. 10,BENGOH,BENGOH,PBDS,,15021,219,76.38,11473,166,11307,SUPP,LOUIS NIGEL GINES,MALE,,5429,,PBDS,SURA AK SAH @ SORA AK RUSAH,MALE,,5648,,,,,,,,,CHONG KUET BUI @ ROBERT ABUI,MALE,,230,LOST DEPOSIT,,,,,,,,,,,,
