Unique Code,State,Parliamentary Code,Parliamentary Seat Name,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,APU,APU CANDIDATE,APU CANDIDATE SEX,APU CANDIDATE AGE,APU VOTE,APU CANDIDATE LOST DEPOSIT,GR,GR CANDIDATE,GR CANDIDATE SEX,GR CANDIDATE AGE,GR VOTE,GR CANDIDATE LOST DEPOSIT,S46,S46 CANDIDATE,S46 CANDIDATE SEX,S46 CANDIDATE AGE,S46 VOTE,S46 CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT,INDEPENDENT (4),INDEPENDENT (4) CANDIDATE,INDEPENDENT (4) CANDIDATE SEX,INDEPENDENT (4) CANDIDATE AGE,INDEPENDENT (4) VOTE,INDEPENDENT (4) CANDIDATE LOST DEPOSIT
P.1,PERLIS,P.1,KANGAR,BN - UMNO,,53634,14763,76.66,41114,789,1450,38875,UMNO,ISHAK BIN ARSHAD,MALE,,26819,,,,,,,,,,,,,,S46,HAJJAH ROSNAH BT. DARUS,FEMALE,,12056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.2,PERLIS,P.2,ARAU,BN - UMNO,,45463,7794,77.5,35233,37,1094,34102,UMNO,SHAHIDAN BIN KASSIM,MALE,39,20948,,PAS,KHALID BIN ABD. SAMAD,MALE,33,13154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.3,KEDAH,P.3,JERLUN-LANGKAWI,BN - UMNO,,46489,8265,78.36,36427,31,1281,35115,UMNO,DATO' SERI SANUSI JUNID,MALE,50,21690,,,,,,,,,,,,,,S46,SYED MUSTAFA ALJAFREE,MALE,,13425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.4,KEDAH,P.4,KUBANG PASU,BN - UMNO,,52341,22062,77.68,40659,89,1270,39300,UMNO,DR. MAHATHIR BIN MOHAMAD,MALE,65,30681,,HAMIM,DATO' SUDIN BIN WAHAB,MALE,,8619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.5,KEDAH,P.5,PADANG TERAP,BN - UMNO,,44957,7489,78.79,35422,35,1482,33905,UMNO,AFFIFUDIN BIN HAJI OMAR,MALE,47,20697,,,,,,,,,,,,,,S46,BAHAROM BIN HAJI BAKAR,MALE,,13208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.6,KEDAH,P.6,KOTA SETAR,BN - UMNO,,45042,3367,75.08,33816,0,737,33079,UMNO,WAN HANAFIAH BIN WAN MAT SAMAN,MALE,51,18223,,PAS,MOHAMAD SHAUKI B. HAJI IBRAHIM,MALE,,14856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.7,KEDAH,P.7,ALOR SETAR,BN - MCA,,59144,5135,70.72,41824,129,1402,40293,MCA,CHOR CHEE HEUNG,MALE,,22714,,,,,,,,,,,,,,S46,TENGKU MOHAMMAD FARRIS BIN TENGKU AHMAD RAYAN,MALE,,17579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.8,KEDAH,P.8,KUALA KEDAH,BN - UMNO,,43669,2605,75.41,32931,25,717,32189,UMNO,MOHD. ABU BAKAR BIN RAUTIN IBRAHIM,MALE,,17397,,PAS,HALIM BIN ARSHAT,MALE,48,14792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.9,KEDAH,P.9,PENDANG,BN - UMNO,,46952,3205,82.68,38820,52,865,37903,UMNO,OTHMAN BIN ABDUL,MALE,,20554,,PAS,ALI @ FADZIL BIN MAT NOOR,MALE,53,17349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.10,KEDAH,P.10,JERAI,BN - UMNO,,37171,4602,73.93,27482,18,620,26844,UMNO,HJ GHAZALI AHMAD,MALE,,15723,,PAS,SUBKY ABD. LATIF,MALE,50,11121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
