Perak Candidates requiring more verification for sex category,,,
Parliamentary Constituency,Party,Candidate Name,Sex Category
BATU GAJAH,MCA,LEE CHAN FAI,MALE
LUMUT,MCA,DATIN LING CHOOI SENG,FEMALE
BATU GAJAH,DAP,FOO PIEW KOK,MALE
GOPENG,DAP,HONG CHIN POH,MALE
LUMUT,DAP,CHEW PANG KEE,MALE
,,,
Johor Candidates requiring more verification for sex category,,,
Parliamentary Constituency,Party,Candidate Name,Sex Category
BAKRI,DAP,LEE BAN CHEN,MALE
SENAI,DAP,LIEW KON CHIN,MALE
,,,
Sabah Candidates requiring more verification for sex category,,,
Parliamentary Constituency,Party,Candidate Name,Sex Category
PENSIANGAN,DAP,AMPON @ FOO TUN BOON,MALE
SANDAKAN,PBS,LAI LUN TZEE,MALE
,,,
Sarawak Candidates requiring more verification for sex category,,,
Parliamentary Constituency,Party,Candidate Name,Sex Category
LANANG,SUPP,TIEU SUNG SEE,MALE
SARIKEI,DAP,CHIAN PAO KOH,MALE
MIRI,DAP,LO YUNG TEE,MALE
SIBU,PLUS,TANG LUNG CHIEW,MALE
