UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN (1),BN (1) CANDIDATE,BN (1) CANDIDATE SEX,BN (1) CANDIDATE AGE,BN (1) VOTE,BN (1) CANDIDATE LOST DEPOSIT,BN (2),BN (2) CANDIDATE,BN (2) CANDIDATE SEX,BN (2) CANDIDATE AGE,BN (2) VOTE,BN (2) CANDIDATE LOST DEPOSIT,BERJAYA,BERJAYA CANDIDATE,BERJAYA CANDIDATE SEX,BERJAYA CANDIDATE AGE,BERJAYA VOTE,BERJAYA CANDIDATE LOST DEPOSIT,AKAR,AKAR CANDIDATE,AKAR CANDIDATE SEX,AKAR CANDIDATE AGE,AKAR VOTE,AKAR CANDIDATE LOST DEPOSIT,PRS,PRS CANDIDATE,PRS CANDIDATE SEX,PRS CANDIDATE AGE,PRS VOTE,PRS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2 CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P. 134_N. 1,SABAH,P. 134,MARUDU,N. 1,BANGGI,BN - USNO,,6104,1200,66.58,4064,0,102,3962,USNO,DATU AMIR KAHAR BIN TUN DATU HJ. MUSTAPHA,MALE,,2284,,PBS,ABIDULA BIN AMSANA,MALE,,1084,,BERJAYA,HJ SALUDIN BIN HAJI ALI BESAR,MALE,,251,LOST DEPOSIT,AKAR,EYON BIN ANGIS,MALE,,175,LOST DEPOSIT,PRS,MOTIMBUN BIN STUJONGKOK,MALE,,168,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 134_N. 2,SABAH,P. 134,MARUDU,N. 2,KUDAT,BN - PBS,,12610,624,75.05,9464,5,111,9348,,,,,,,PBS,WONG PHIN CHUNG,MALE,,4667,,BERJAYA,YONG SZE KIUN,MALE,,309,LOST DEPOSIT,AKAR,WILLIE CHONG KUI SHEN,MALE,,48,LOST DEPOSIT,PRS,LEE TAIN SOONG,MALE,,127,LOST DEPOSIT,LDP,CHONG KAH KIAT,MALE,,4043,,DAP,CHONG JAN FAH,MALE,,94,LOST DEPOSIT,INDEPENDENT - FISH,GURAHMAN B. HJ. LOLONG,MALE,,60,LOST DEPOSIT,,,,,,
P. 134_N. 3,SABAH,P. 134,MARUDU,N. 3,BENGKOKA,BN - PBS,,7328,357,71.21,5218,0,65,5153,USNO,MASRANI BIN PARMAN,MALE,,2135,,PBS,PAUL TOM IMBAYAN,MALE,,2492,,BERJAYA,ALIN BIN DOLONG,MALE,,161,LOST DEPOSIT,AKAR,MOLUPIN BIN MOJULUO,MALE,,71,LOST DEPOSIT,PRS,TUAN HAJI JASNI PIUT,MALE,,261,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,PADDIN BIN HJ. PAITU,MALE,,33,LOST DEPOSIT,,,,,,
P. 135_N. 4,SABAH,P. 135,BANDAU,N. 4,MATUNGGONG,BN - PBS,,7421,2396,75.96,5637,1,132,5504,,,,,,,PBS,MATHIUS MAJIHI,MALE,,3411,,BERJAYA,ABAH BIN MENGIMPAL @ GEORGE ABAH,MALE,,325,LOST DEPOSIT,AKAR,ROSLEY ASANTIE,MALE,,1015,,PRS,JOHNNY KOLOLONG SOKUROH,MALE,,753,,,,,,,,,,,,,,,,,,,,,,,,,
P. 135_N. 5,SABAH,P. 135,BANDAU,N. 5,TANDEK,BN - PBS,,6676,1136,74.57,4978,0,219,4759,USNO,SAIDI BIN SUARI,MALE,,1313,,PBS,SAIBUL BIN SUPU,MALE,,2449,,BERJAYA,DASON GABAN,MALE,,271,LOST DEPOSIT,AKAR,SAIBON BIN PAPALAN,MALE,,354,LOST DEPOSIT,PRS,HEROWAN V MALINGKA,MALE,,372,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 135_N. 6,SABAH,P. 135,BANDAU,N. 6,LANGKON,BN - PBS,,6943,1756,72.53,5036,0,84,4952,,,,,,,PBS,BUGIE GALADAM,MALE,,2804,,BERJAYA,KAMEDIS BIN MALINTAN,MALE,,252,LOST DEPOSIT,AKAR,SAMPALADON BIN SODIKI,MALE,,1048,,PRS,MICHAEL MADINAL,MALE,,537,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,NEWMAN GABAN,MALE,,311,LOST DEPOSIT,,,,,,
P. 136_N. 7,SABAH,P. 136,KOTA BELUD,N. 7,TEMPASUK,BN - PBS,,9655,343,83.97,8107,173,99,7835,USNO,HJ. MUSBAH B. HJ. JAMLI,MALE,,2572,,PBS,ROBERT RIPIN MINGGIR,MALE,,2915,,BERJAYA,HJ. MOHAMMAD NOOR MANSOOR,MALE,,1089,,AKAR,PENDIKAR AMIN,MALE,,1139,,PRS,JUMIT B. PANAU,MALE,,105,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - KEY,MUKAMMAD B. ABDULLAH,MALE,,15,LOST DEPOSIT,,,,,,
P. 136_N. 8,SABAH,P. 136,KOTA BELUD,N. 8,USUKAN,BN - USNO,,10710,2657,78.77,8436,13,91,8332,USNO,TUN DATU HAJI MUSTAPHA DATU HARUN,MALE,,4805,,PBS,PINJAMAN BIN HASSIN,MALE,,2148,,BERJAYA,RASKAN BIN ASING,MALE,,583,LOST DEPOSIT,AKAR,EDHAM BIN SAKMAD,MALE,,407,LOST DEPOSIT,PRS,MELIN BIN LAUT,MALE,,208,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - KEY,CHING ING HING,MALE,,106,LOST DEPOSIT,INDEPENDENT - TRACTOR,JAMRAH BIN KANTOH,MALE,,75,LOST DEPOSIT
P. 136_N. 9,SABAH,P. 136,KOTA BELUD,N. 9,KADAMAIAN,BN - PBS,,7977,3289,86,6860,0,112,6748,USNO,AWADNIR BIN MATANGGAL,MALE,,1130,,PBS,BAGGAI BIN BASIRUN,MALE,,4419,,BERJAYA,MANIK BTE TANGGAU,FEMALE,,60,LOST DEPOSIT,AKAR,MEISIN SENDELUN @ ROBERT,MALE,,204,LOST DEPOSIT,PRS,YAPIN GIMPOTON,MALE,,935,,,,,,,,,,,,,,,,,,,,,,,,,
P. 137_N. 10,SABAH,P. 137,TUARAN,N. 10,TAMPARULI,BN - PBS,,8114,4223,82.04,6657,9,67,6581,USNO,NORI BINTI LUMPISAU,FEMALE,,638,LOST DEPOSIT,PBS,WILFRED MOJILIP BUMBURING,MALE,,4971,,BERJAYA,JOHNNY TANGGAR,MALE,,80,LOST DEPOSIT,AKAR,RAJI BIN MANDAILI,MALE,,144,LOST DEPOSIT,PRS,DATUK DR. JAMES ONGKILI,MALE,,748,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 137_N. 11,SABAH,P. 137,TUARAN,N. 11,SULAMAN,BN - USNO,,10250,281,80.17,8217,15,61,8141,USNO,HAJIJI BIN HAJI NOOR,MALE,,3575,,PBS,JAHID BIN JAHIM,MALE,,3294,,BERJAYA,ALIASGAR BIN HAJI BASRI,MALE,,538,LOST DEPOSIT,AKAR,KALAKAU BIN UNTOL,MALE,,565,LOST DEPOSIT,PRS,SHAFIE BIN ANTERAK,MALE,,120,LOST DEPOSIT,,,,,,,,,,,,,INDEPENDENT - OIL PALM,YUSOF BIN AWANG LUDIN,MALE,,38,LOST DEPOSIT,INDEPENDENT - KEY,HJ. LAUGAN TARKI BIN HJ. NOOR,MALE,,11,LOST DEPOSIT
P. 137_N. 12,SABAH,P. 137,TUARAN,N. 12,KIULU,BN - PBS,,7144,2816,78.09,5579,2,78,5499,USNO,GAIBIN BIN RANSOI,MALE,,893,,PBS,GISIN LOMBUT,MALE,,3709,,BERJAYA,PATRICK GODOMON,MALE,,552,LOST DEPOSIT,AKAR,MICKEY B. SALLEH,MALE,,90,LOST DEPOSIT,PRS,LAKUMAN BI GISUG,MALE,,255,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 138_N. 13,SABAH,P. 138,KINABALU,N. 13,KUNDASANG,BN - PBS,,10016,1955,79.09,7922,2,183,7737,USNO,MASIDI MANJUN,MALE,,2054,,PBS,EWON EBIN,MALE,,4009,,BERJAYA,JAPIRIL BIN SUHAIMIN,MALE,,193,LOST DEPOSIT,AKAR,SAMAT DIMOK,MALE,,212,LOST DEPOSIT,PRS,MYNOOR GINGGOR,MALE,,1269,,,,,,,,,,,,,,,,,,,,,,,,,
P. 138_N. 14,SABAH,P. 138,KINABALU,N. 14,RANAU,BN - PBS,,8356,1232,80.88,6758,0,79,6679,,,,,,,PBS,SIRINGAN GUBAT @ ALIANCE,MALE,,3790,,BERJAYA,MINSUAN BIN PATOH @ WASNIN,MALE,,177,LOST DEPOSIT,AKAR,DATUK MARK KODING,MALE,,2558,,PRS,BENEDICT YASIN,MALE,,154,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 139_N. 15,SABAH,P. 139,JAMBONGAN,N. 15,SUGUT,BN - PBS,,4878,459,69.7,3400,4,107,3289,USNO,MUSA BIN AMAN,MALE,,1207,,PBS,JUBLEE BIN ZEN,MALE,,1666,,BERJAYA,ABDUL RAHMAN BIN ATANG,MALE,,114,LOST DEPOSIT,AKAR,RONALD KIANDEE,MALE,,231,LOST DEPOSIT,PRS,JULIUS NIYO,MALE,,71,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,
P. 139_N. 16,SABAH,P. 139,JAMBONGAN,N. 16,LABUK,BN - PBS,,7987,1665,75.86,6059,24,70,5965,USNO,HAMZA BIN A. ABDULLAH,MALE,,1502,,PBS,TANG YONG GEE,MALE,,3167,,BERJAYA,HAJI SALLEH O.T. OTIK,MALE,,345,LOST DEPOSIT,AKAR,THAMRIN HAJI MOHD. ZAINI,MALE,,140,LOST DEPOSIT,PRS,PAUL BAKLIN GURANDI,MALE,,811,,,,,,,,,,,,,,,,,,,,,,,,,
P. 139_N. 17,SABAH,P. 139,JAMBONGAN,N. 17,SUNGAI SIBUGA,BN - PBS,,13494,85,65.9,8893,0,121,8772,USNO,JUSLIE BIN AJIROL,MALE,,3823,,PBS,THIEN FUI YUN,MALE,,3908,,BERJAYA,MUKRI BIN TAIPSAPARA,MALE,,457,LOST DEPOSIT,AKAR,SAMAN BIN HJ. GULAM,MALE,,260,LOST DEPOSIT,PRS,DATUK JAMES B. WILLIE,MALE,,197,LOST DEPOSIT,LDP,LAI VAI MING,MALE,,127,LOST DEPOSIT,,,,,,,,,,,,,,,,,,
P. 140_N. 18,SABAH,P. 140,SANDAKAN,N. 18,ELOPURA,BN - PBS,,12942,3959,71.06,9197,144,81,8972,,,,,,,PBS,THAM NYIP SHEN,MALE,,5543,,BERJAYA,DATUK YAP PAK LEONG,MALE,,937,LOST DEPOSIT,,,,,,,,,,,,,LDP,CHU YIN FOH,MALE,,1584,,DAP,ANG LIAN HAI,MALE,,908,LOST DEPOSIT,,,,,,,,,,,,
