Sabah Candidates require more verification for sex category,,,
State Constituency,Party,Candidate Name,Sex Category
SEMBULAN,BERJAYA,CHONG JOCK CHIN,MALE
KUDAT,AKAR,WILLIE CHONG KUI SHEN,MALE
PETAGAS,AKAR,OOI KONG EOW,MALE
KUDAT,PRS,LEE TAIN SOONG,MALE
API-API,PRS,CHANG KOK FAH,MALE
SEMBULAN,PRS,LIM NYUK CHAN,MALE
MEROTAI,PRS,ROSAIDY LANDANG,MALE
ELOPURA,LDP,CHU YIN FOH,MALE
LIKAS,LDP,CHIN NYUK FATT,MALE
LAHAD DATU,LDP,PANG YEE VUN,MALE
BALUNG,LDP,LIEW THIEW CHAI,MALE
KUDAT,DAP,CHONG JAN FAH,MALE
KARAMUNTING,DAP,PHANG YAU WING,MALE
LIKAS,DAP,QUEK YI THAN,MALE
USUKAN,INDEPENDENT - KEY,CHING ING HING,MALE
