UNIQUE CODE (1987 PRE REDELINEATION),STATE (1987 PRE REDELINEATION),PARLIAMENTARY CONSTITUENCY CODE (1987 PRE REDELINEATION),PARLIAMENTARY CONSTITUENCY NAME (1987 PRE REDELINEATION),STATE CONSTITUENCY CODE (1987 PRE REDELINEATION),STATE CONSTITUENCY NAME (1987 PRE REDELINEATION),UNIQUE CODE (1987),STATE (1987),PARLIAMENTARY CONSTITUENCY CODE (1987),PARLIAMENTARY CONSTITUENCY NAME (1987),STATE CONSTITUENCY CODE (1987),STATE CONSTITUENCY NAME (1987),DUN NAME CHANGE,NEW DUN SEAT,NOTES
P. 154_N. 1,SARAWAK,P. 154,MAS GADING,N. 1,LUNDU,P. 154_N. 1,SARAWAK,P. 154,MAS GADING,N. 1,TANJONG DATU,Y,,Boundary has changed
P. 154_N. 2,SARAWAK,P. 154,MAS GADING,N. 2,TASIK BIRU,P. 154_N. 2,SARAWAK,P. 154,MAS GADING,N. 2,TASIK BIRU,,,Boundary has changed
P. 155_N. 3,SARAWAK,P. 155,BANDAR KUCHING,N. 3,PADUNGAN,P. 157_N. 7,SARAWAK,P. 157,BANDAR KUCHING,N. 7,PADUNGAN,,,Boundary has changed
P. 155_N. 4,SARAWAK,P. 155,BANDAR KUCHING,N. 4,STAMPIN,P. 157_N. 9,SARAWAK,P. 157,BANDAR KUCHING,N. 9,BATU LINTANG,Y,,Boundary has changed
,,,,,,P. 157_N. 8,SARAWAK,P. 157,BANDAR KUCHING,N. 8,PENDING,,Y,Constituency largely formed from formerly names DUN Stampin and a part of Padungan
,,,,,,P. 156_N. 5,SARAWAK,P. 156,PETRA JAYA,N. 5,TUPONG,,Y,"Constituency largely formed from DUN Satok, parts of former DUNs Stampin and Petra Jaya"
P. 156_N. 5,SARAWAK,P. 156,SANTUBONG,N. 5,PETRA JAYA,P. 155_N. 3,SARAWAK,P. 155,SANTUBONG,N. 3,PANTAI DAMAI,Y,,"Boundary has changed. According to the EC Redelineation Report, the Santubong parliamentary constituency of post-1987 Sarawak Redelineation is considered new"
P. 156_N. 6,SARAWAK,P. 156,SANTUBONG,N. 6,SATOK,P. 156_N. 6,SARAWAK,P. 156,PETRA JAYA,N. 6,SATOK,,,"Boundary has changed. Since EC Redelineation report claims Santubong is a new parliamentary constituency, the old Santubong parliamentary constituency was renamed as Petra Jaya"
,,,,,,P. 155_N. 4,SARAWAK,P. 155,SANTUBONG,N. 4,SEJINGKAT,,Y,Constituency largely formed from DUN Muara Tuang and a part of former DUN Stampin
P. 157_N. 7,SARAWAK,P. 157,SAMARAHAN,N. 7,SEBANDI,P. 159_N. 12,SARAWAK,P. 159,KOTA SAMARAHAN,N. 12,ASAJAYA,Y,,Parent Parliamentary constituency renamed from Samarahan to Kota Samarahan
P. 157_N. 8,SARAWAK,P. 157,SAMARAHAN,N. 8,MUARA TUANG,P. 159_N. 13,SARAWAK,P. 159,KOTA SAMARAHAN,N. 13,MUARA TUANG,,,Boundary has changed. Parent Parliamentary constituency renamed from Samarahan to Kota Samarahan
P. 158_N. 9,SARAWAK,P. 158,PADAWAN,N. 9,BATU KAWAH,P. 158_N. 10,SARAWAK,P. 158,PADAWAN,N. 10,BATU KAWAH,,,Boundary has changed
P. 158_N. 10,SARAWAK,P. 158,PADAWAN,N. 10,BENGOH,P. 158_N. 11,SARAWAK,P. 158,PADAWAN,N. 11,BENGOH,,,Boundary has changed
P. 159_N. 11,SARAWAK,P. 159,SERIAN,N. 11,TARAT,P. 160_N. 14,SARAWAK,P. 160,SERIAN,N. 14,TARAT,,,Boundary has changed
P. 159_N. 12,SARAWAK,P. 159,SERIAN,N. 12,TEBAKANG,P. 160_N. 15,SARAWAK,P. 160,SERIAN,N. 15,TEBEDU,Y,,Boundary has changed
P. 160_N. 13,SARAWAK,P. 160,SIMUNJAN,N. 13,SEMERA,P. 161_N. 16,SARAWAK,P. 161,BATANG SADONG,N. 16,SEMERA,,,Boundary has changed. Parent Parliamentary constituency renamed from Simunjan to Batang Sadong
P. 160_N. 14,SARAWAK,P. 160,SIMUNJAN,N. 14,GEDONG,P. 161_N. 17,SARAWAK,P. 161,BATANG SADONG,N. 17,SIMUNJAN,Y,,Boundary has changed. Parent Parliamentary constituency renamed from Simunjan to Batang Sadong
P. 161_N. 15,SARAWAK,P. 161,BATANG LUPAR,N. 15,LINGGA,P. 163_N. 20,SARAWAK,P. 163,SRI AMAN,N. 20,BUKIT BEGUNAN,Y,,Boundary has changed. DUN Lingga (renamed as Bukit Begunan) has shifted from parliamentary constituency of Batang Lupar to new parliamentary constituency of Sri Aman
P. 161_N. 16,SARAWAK,P. 161,BATANG LUPAR,N. 16,SRI AMAN,P. 163_N. 21,SARAWAK,P. 163,SRI AMAN,N. 21,SIMANGGANG,Y,,Boundary has changed. DUN Sri Aman (renamed as Simanggang) has shifted from parliamentary constituency of Batang Lupar to new parliamentary constituency of Sri Aman
,,,,,,P. 162_N. 19,SARAWAK,P. 162,BATANG LUPAR,N. 19,BELADIN,,Y,Constituency largely formed from DUN Saribas and a part of former DUN Lingga
,,,,,,P. 162_N. 18,SARAWAK,P. 162,BATANG LUPAR,N. 18,SEBUYAU,,Y,Constituency largely from former DUN Lingga and parts of DUN Semera
P. 162_N. 17,SARAWAK,P. 162,LUBOK ANTU,N. 17,ENGKILILI,P. 164_N. 22,SARAWAK,P. 164,LUBOK ANTU,N. 22,ENGKILILI,,,
P. 162_N. 18,SARAWAK,P. 162,LUBOK ANTU,N. 18,BATANG AIR,P. 164_N. 23,SARAWAK,P. 164,LUBOK ANTU,N. 23,BATANG AIR,,,
P. 163_N. 19,SARAWAK,P. 163,BETONG,N. 19,SARIBAS,P. 165_N. 24,SARAWAK,P. 165,BETONG,N. 24,SARIBAS,,,Boundary has changed
P. 163_N. 20,SARAWAK,P. 163,BETONG,N. 20,LAYAR,P. 165_N. 25,SARAWAK,P. 165,BETONG,N. 25,LAYAR,,,Boundary has changed
P. 164_N. 21,SARAWAK,P. 164,SARATOK,N. 21,KALAKA,P. 166_N. 26,SARAWAK,P. 166,SARATOK,N. 26,KALAKA,,,Boundary has changed
P. 164_N. 22,SARAWAK,P. 164,SARATOK,N. 22,KRIAN,P. 166_N. 27,SARAWAK,P. 166,SARATOK,N. 27,KRIAN,,,Boundary has changed
P. 165_N. 23,SARAWAK,P. 165,PALOH,N. 23,KUALA RAJANG,P. 167_N. 28,SARAWAK,P. 167,KUALA RAJANG,N. 28,BELAWAI,Y,,Parent Parliamentary constituency renamed from Paloh to Kuala Rajang
P. 165_N. 24,SARAWAK,P. 165,PALOH,N. 24,MATU - DARO,P. 167_N. 30,SARAWAK,P. 167,KUALA RAJANG,N. 30,MATU-DARO,,,Boundary has changed. Parent Parliamentary constituency renamed from Paloh to Kuala Rajang
P. 166_N. 25,SARAWAK,P. 166,SARIKEI,N. 25,REPOK,P. 168_N. 32,SARAWAK,P. 168,SARIKEI,N. 32,REPOK,,,Boundary has changed
P. 166_N. 26,SARAWAK,P. 166,SARIKEI,N. 26,MERADONG,P. 168_N. 31,SARAWAK,P. 168,SARIKEI,N. 31,MERADONG,,,Boundary has changed
,,,,,,P. 167_N. 29,SARAWAK,P. 167,KUALA RAJANG,N. 29,SERDENG,,Y,Constituency formed from DUNs Meradong and Matu - Daro
P. 167_N. 27,SARAWAK,P. 167,SIBU,N. 27,MALING,P. 171_N. 38,SARAWAK,P. 171,LANANG,N. 38,BUKIT ASSEK,Y,,Boundary has changed. DUN Maling (renamed as Bukit Assek) shifted from Parent Parliamentary constituency of Sibu to Lanang
P. 167_N. 28,SARAWAK,P. 167,SIBU,N. 28,SEDUAN,P. 172_N. 40,SARAWAK,P. 172,SIBU,N. 40,SEDUAN,,,Boundary has changed
P. 168_N. 29,SARAWAK,P. 168,RAJANG,N. 29,IGAN,P. 172_N. 39,SARAWAK,P. 172,SIBU,N. 39,BAWANG ASSAN,Y,,Boundary has changed. There is contesting views whether Rajang is now renamed as Sibu or not
P. 168_N. 30,SARAWAK,P. 168,RAJANG,N. 30,DUDONG,P. 171_N. 37,SARAWAK,P. 171,LANANG,N. 37,DUDONG,,,Boundary has changed. There is contesting views whether Rajang is now renamed as Sibu or not
P. 169_N. 31,SARAWAK,P. 169,MUKAH,N. 31,BALINGIAN,P. 173_N. 42,SARAWAK,P. 173,MUKAH,N. 42,BALINGIAN,,,Boundary has changed
P. 169_N. 32,SARAWAK,P. 169,MUKAH,N. 32,OYA,P. 173_N. 41,SARAWAK,P. 173,MUKAH,N. 41,DALAT,Y,,Boundary has changed
P. 170_N. 33,SARAWAK,P. 170,JULAU,N. 33,PAKAN,P. 169_N. 33,SARAWAK,P. 169,JULAU,N. 33,PAKAN,,,Boundary has changed
P. 170_N. 34,SARAWAK,P. 170,JULAU,N. 34,MELUAN,P. 169_N. 34,SARAWAK,P. 169,JULAU,N. 34,MELUAN,,,
P. 171_N. 35,SARAWAK,P. 171,KANOWIT,N. 35,MACHAN,P. 170_N. 36,SARAWAK,P. 170,KANOWIT,N. 36,MACHAN,,,Boundary has changed
P. 171_N. 36,SARAWAK,P. 171,KANOWIT,N. 36,NGEMAH,P. 170_N. 35,SARAWAK,P. 170,KANOWIT,N. 35,NGEMAH,,,Boundary has changed
P. 172_N. 37,SARAWAK,P. 172,KAPIT,N. 37,KATIBAS,P. 175_N. 46,SARAWAK,P. 175,KAPIT,N. 46,KATIBAS,,,
P. 172_N. 38,SARAWAK,P. 172,KAPIT,N. 38,PELAGUS,P. 175_N. 45,SARAWAK,P. 175,KAPIT,N. 45,PELAGUS,,,
P. 173_N. 39,SARAWAK,P. 173,ULU RAJANG,N. 39,BALEH,P. 176_N. 47,SARAWAK,P. 176,HULU RAJANG,N. 47,BALEH,,,Parent Parliamentary constituency renamed from Ulu Rajang to Hulu Rajang
P. 173_N. 40,SARAWAK,P. 173,ULU RAJANG,N. 40,BELAGA,P. 176_N. 48,SARAWAK,P. 176,HULU RAJANG,N. 48,BELAGA,,,Parent Parliamentary constituency renamed from Ulu Rajang to Hulu Rajang
,,,,,,P. 174_N. 43,SARAWAK,P. 174,SELANGAU,N. 43,TAMIN,,Y,Constituency largely created from DUN Dudong and a part of Balingian
P. 174_N. 41,SARAWAK,P. 174,BINTULU,N. 41,TATAU,P. 174_N. 44,SARAWAK,P. 174,SELANGAU,N. 44,KAKUS,Y,,Boundary has changed. DUN Tatau (renamed as Kakus) shifted from parent parliamentary constituency of Bintulu to new parliamentary constituency of Selangau
P. 174_N. 42,SARAWAK,P. 174,BINTULU,N. 42,KEMENA,P. 177_N. 49,SARAWAK,P. 177,BINTULU,N. 49,KEMENA,,,Boundary has changed
,,,,,,P. 177_N. 50,SARAWAK,P. 177,BINTULU,N. 50,KIDURONG,,Y,Constituency largely formed from Kemena and a part of former DUN Subis
P. 175_N. 43,SARAWAK,P. 175,LAMBIR,N. 43,SUBIS,P. 178_N. 51,SARAWAK,P. 178,MIRI,N. 51,LAMBIR,Y,,Boundary has changed. Parent Parliamentary constituency of Lambir renamed to Miri
P. 175_N. 44,SARAWAK,P. 175,LAMBIR,N. 44,MIRI,P. 178_N. 52,SARAWAK,P. 178,MIRI,N. 52,PIASAU,Y,,Boundary has changed. Parent Parliamentary constituency of Lambir renamed to Miri
P. 176_N. 45,SARAWAK,P. 176,BARAM,N. 45,MARUDI,P. 179_N. 53,SARAWAK,P. 179,BARAM,N. 53,MARUDI,,,Boundary has changed
P. 176_N. 46,SARAWAK,P. 176,BARAM,N. 46,TELANG USAN,P. 179_N. 54,SARAWAK,P. 179,BARAM,N. 54,TELANG USAN,,,Boundary has changed
P. 177_N. 47,SARAWAK,P. 177,BUKIT MAS,N. 47,LIMBANG,P. 180_N. 55,SARAWAK,P. 180,BUKIT MAS,N. 55,LIMBANG,,,
P. 177_N. 48,SARAWAK,P. 177,BUKIT MAS,N. 48,LAWAS,P. 180_N. 56,SARAWAK,P. 180,BUKIT MAS,N. 56,LAWAS,,,
