UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (3),OTHER PARTY (3) CANDIDATE,OTHER PARTY (3) CANDIDATE SEX,OTHER PARTY (3) CANDIDATE AGE,OTHER PARTY (3) VOTE,OTHER PARTY (3) CANDIDATE LOST DEPOSIT,OTHER PARTY (4),OTHER PARTY (4) CANDIDATE,OTHER PARTY (4) CANDIDATE SEX,OTHER PARTY (4) CANDIDATE AGE,OTHER PARTY (4) VOTE,OTHER PARTY (4) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE NAME,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE NAME,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P. 154_N. 1,SARAWAK,P. 154,MAS GADING,N. 1,TANJONG DATU,BN - SUPP,,13167,794,77.72,10233,353,97,9783,SUPP,DATUK RAMSAY NOEL JITAM,MALE,59,5088,,PBDS,SIDI MUNAN,MALE,55,4294,,,,,,,,,,,,,,NEGARA,ATON AK KAJIT,MALE,,133,LOST DEPOSIT,INDEPEDENT - SCISSOR,AHMED B. ABG. ALI,MALE,,268,LOST DEPOSIT,,,,,,
P. 154_N. 2,SARAWAK,P. 154,MAS GADING,N. 2,TASIK BIRU,BN - SNAP,,16943,4167,74.57,12634,242,153,12239,SNAP,DR. PATAU RUBIS,MALE,45,7759,,PBDS,PATRICK ANEK UREN,MALE,,3592,,,,,,,,,,,,,,NEGARA,ALOYSIUS DOM NAGOK,MALE,,215,LOST DEPOSIT,INDEPENDENT - KEY,ABDUL KARIM HJ. AYUB,MALE,,673,LOST DEPOSIT,,,,,,
P. 155_N. 3,SARAWAK,P. 155,SANTUBONG,N. 3,PANTAI DAMAI,BN - PBB,Y,11011,,,,,,,PBB,HAJAH SHARIFAH MORDIAH TUANKU HAJI FAUZI,FEMALE,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 155_N. 4,SARAWAK,P. 155,SANTUBONG,N. 4,SEJINGKAT,BN - PBB,,7748,3346,74.1,5741,0,85,5656,PBB,DR. ABANG HAJI DRAUP ZAMAHARI @ ABDUL RAUF BIN ABANG HAJI ZEN,MALE,44,4381,,,,,,,,,,,,,,,,,,,,NEGARA,SAIDN @ MASSUDIN BIN SAHINI,MALE,,48,LOST DEPOSIT,INDEPENDENT - UMBRELLA,JEMI B. ALEH,MALE,,192,LOST DEPOSIT,INDEPENDENT - KEY,SUHAILI BIN HAMID,MALE,,1035,
P. 156_N. 5,SARAWAK,P. 156,PETRA JAYA,N. 5,TUPONG,BN - PBB,,14730,5761,69.76,10275,137,156,9982,PBB,HAJI DAUD B. ABDUL RAHMAN,MALE,40,7806,,,,,,,,,,,,,,PERMAS,BAHARUDDIN HAJI MOKHSEN,MALE,,2045,,NEGARA,SUHAILI BIN MUMIN,MALE,,131,LOST DEPOSIT,,,,,,,,,,,,
P. 156_N. 6,SARAWAK,P. 156,PETRA JAYA,N. 6,SATOK,BN - PBB,,10992,4522,62.5,6870,196,96,6578,PBB,ABANG JOHARI TUN ABG. HAJI OPENG,MALE,40,5550,,,,,,,,,,,,,,PERMAS,FAISAL B. HJ. OTHMAN,MALE,,1028,,,,,,,,,,,,,,,,,,,
P. 157_N. 7,SARAWAK,P. 157,BANDAR KUCHING,N. 7,PADUNGAN,BN - SUPP,,19101,4190,71.06,13574,25,67,13482,SUPP,SONG SWEE GUAN,MALE,50,8836,,,,,,,,DAP,NG KIM HO,MALE,30,4646,,,,,,,,,,,,,,,,,,,,,,,,,
P. 157_N. 8,SARAWAK,P. 157,BANDAR KUCHING,N. 8,PENDING,BN - SUPP,,23873,5537,70.95,16939,46,90,16803,SUPP,SIM KHENG HUI,MALE,,11170,,,,,,,,DAP,CHENG HUI HONG,MALE,,5633,,,,,,,,,,,,,,,,,,,,,,,,,
P. 157_N. 9,SARAWAK,P. 157,BANDAR KUCHING,N. 9,BATU LINTANG,BN - SUPP,,21291,2434,66.6,14179,107,94,13978,SUPP,CHAN SENG KHAI,MALE,,8206,,,,,,,,DAP,SIM KWANG YANG,MALE,43,5772,,,,,,,,,,,,,,,,,,,,,,,,,
P. 158_N. 10,SARAWAK,P. 158,PADAWAN,N. 10,BATU KAWAH,BN - SUPP,,20682,6696,69.05,14280,239,235,13806,SUPP,CHONG KIUN KONG,MALE,61,10201,,,,,,,,DAP,YONG SEN CHAN,MALE,,3505,,,,,,,,,,,,,,INDEPENDENT - TIGER,CHONG JU SIAW,MALE,,100,LOST DEPOSIT,,,,,,
