UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,PBS,PBS CANDIDATE,PBS CANDIDATE SEX,PBS CANDIDATE AGE,PBS VOTE,PBS CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2 CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 134_N. 1,SABAH,P. 134,MARUDU,N. 1,BANGGI,PBS,,6555,347,70.5,4621,94,67,4554,UMNO,ABD MIJUL BIN UNAINI,MALE,,1988,,PBS,DATU AMIR KAHAR BIN DATU MUSTAPHA,MALE,,2335,,SETIA,SARABAN BIN LAHAMAN,MALE,,44,LOST DEPOSIT,BERSEKUTU,NAPSON BIN TAHIR,MALE,,93,LOST DEPOSIT,INDEPENDENT,ABIDULA BIN AMSANA,MALE,,94,LOST DEPOSIT,,,,,,,,,,,,
P. 134_N. 2,SABAH,P. 134,MARUDU,N. 2,KUDAT,BN - LDP,,15298,279,72.21,11046,15,147,10884,LDP,KONG HONG MING,MALE,,5476,,PBS,WONG PHIN CHUNG,MALE,,5197,,SETIA,CHIN KET PHIN @ ABDUL HALIM,MALE,,59,LOST DEPOSIT,BERSEKUTU,MOHD HAIRUL BIN EBUK,MALE,,123,LOST DEPOSIT,INDEPENDENT,DATUK HAJI TAULANI HAJI JALALUDIN,MALE,,29,LOST DEPOSIT,,,,,,,,,,,,
P. 134_N. 3,SABAH,P. 134,MARUDU,N. 3,BENGKOKA,BN - UMNO,,9033,833,69.59,6286,1,96,6189,UMNO,MASRANI PARMAN,MALE,,3511,,PBS,PAUL TOM IMBAYAN,MALE,,2678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 135_N. 4,SABAH,P. 135,BANDAU,N. 4,MATUNGGONG,PBS,,8350,1843,75.17,6277,0,87,6190,UMNO,JELIN DASANAP @ JENALI BIN HAMDAN,MALE,,1983,,PBS,MARKUS B. MAJIHI,MALE,,3826,,,,,,,,,,,,,,INDEPENDENT,HENRY MADATANG,MALE,,344,LOST DEPOSIT,INDEPENDENT,APIN BIN SANTI,MALE,,37,LOST DEPOSIT,,,,,,
P. 135_N. 5,SABAH,P. 135,BANDAU,N. 5,TANDEK,PBS,,6938,673,77.07,5347,1,80,5266,UMNO,SAIDI BIN SUARI,MALE,,2258,,PBS,SAIBUL BIN SUPU,MALE,,2931,,,,,,,,,,,,,,INDEPENDENT,BAINTIN BIN ADUN,MALE,,77,LOST DEPOSIT,,,,,,,,,,,,
P. 135_N. 6,SABAH,P. 135,BANDAU,N. 6,LANGKON,PBS,,7677,2719,74.64,5730,3,50,5677,UMNO,NEWMAN GABAN,MALE,,1452,,PBS,DR. MAXIMUM JOHNITY ONGKALI,MALE,,4171,,,,,,,,,,,,,,INDEPENDENT,LINGGU LINCOLN LUWING,MALE,,54,LOST DEPOSIT,,,,,,,,,,,,
P. 136_N. 7,SABAH,P. 136,KOTA BELUD,N. 7,TEMPASUK,BN - AKAR,,10858,947,79.38,8619,145,121,8353,AKAR,PANDIKAR AMIN,MALE,,4142,,PBS,DAUSIN B. PANGALIN,MALE,,3195,,,,,,,,,,,,,,INDEPENDENT,SUWAH BIN BULEH @ BULLEH,MALE,,1016,LOST DEPOSIT,,,,,,,,,,,,
P. 136_N. 8,SABAH,P. 136,KOTA BELUD,N. 8,USUKAN,BN - UMNO,,12452,2683,82.61,10287,10,103,10174,UMNO,MD SALLEH MD SAID,MALE,,6274,,PBS,DATUK BADARUDDIN BIN TUN DATU HJ MUSTAPHA,MALE,,3591,,SETIA,SEMAT BIN HAJI ABDUL KARIM,MALE,,159,LOST DEPOSIT,,,,,,,INDEPENDENT,SALISI UKOH,MALE,,150,LOST DEPOSIT,,,,,,,,,,,,
P. 136_N. 9,SABAH,P. 136,KOTA BELUD,N. 9,KADAMAIAN,PBS,,8945,3032,85.37,7636,4,66,7566,UMNO,AWADNIR B. MATANGGAL,MALE,,2095,,PBS,DATUK BAGGAI BIN BASIRUN,MALE,,5127,,,,,,,,,,,,,,INDEPENDENT,MEISIN SENDELUN @ ROBERT,MALE,,23,LOST DEPOSIT,INDEPENDENT,SINDEH TELIBAN,MALE,,9,LOST DEPOSIT,INDEPENDENT,SEBAGANG BIN RUMPIT @ HANDRY,MALE,,312,LOST DEPOSIT
P. 137_N. 10,SABAH,P. 137,TUARAN,N. 10,TAMPARULI,PBS,,9658,5087,80.44,7769,14,56,7699,AKAR,RAJI MANDAILI,MALE,,1260,,PBS,MOLIJIP BIN BUMBURING @ WILFRED,MALE,,6347,,,,,,,,,,,,,,INDEPENDENT,JUNAIDI B. INDAN @ JUNAIDI TUN HAMDAN,MALE,,92,LOST DEPOSIT,,,,,,,,,,,,
